,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
6,M,"Um, I mean, it's, it is a problem, but it's not a problem that just many people have.","M|Um, I mean, it's, it is a problem, but it's not a problem that just many people have."
7,B,"Uh, where I live now it's, it's not so bad. I mean I can basically leave my front door unlocked and not have to worry about it. Uh, but I do have friends that live in the city and I think that they get a lot of fallout from this war on drug thing. Uh, just because there are, like, crack houses, you know, on their street and stuff like this.","B|Uh, where I live now it's, it's not so bad. I mean I can basically leave my front door unlocked and not have to worry about it. Uh, but I do have friends that live in the city and I think that they get a lot of fallout from this war on drug thing. Uh, just because there are, like, crack houses, you know, on their street and stuff like this."
8,M,Yeah.,M|Yeah.
9,B,"I live out in the country, yeah.","B|I live out in the country, yeah."
10,M,"Oh, I see.","M|Oh, I see."
11,B,I'm about fifteen miles out.,B|I'm about fifteen miles out.
12,M,"Oh, that's a pretty small town.","M|Oh, that's a pretty small town."
13,B,Uh-huh.,B|Uh-huh.
14,M,and so I have to drive about twenty miles each way.,M|and so I have to drive about twenty miles each way.
15,B,Um.,B|Um.
16,M,"and we have a couple of areas that are really, really bad areas.","M|and we have a couple of areas that are really, really bad areas."
17,B,Um.,B|Um.
18,M,"It's, it's, uh, it, it has a lot of different problems. I mean, you have to, you know, you're not sure, you don't know who you're going to come up against,","M|It's, it's, uh, it, it has a lot of different problems. I mean, you have to, you know, you're not sure, you don't know who you're going to come up against,"
19,B,Uh-huh.,B|Uh-huh.
20,M,"So, it's, uh.","M|So, it's, uh."
21,B,Uh-huh.,B|Uh-huh.
22,M,"But I, I, you have to wonder about the, uh...","M|But I, I, you have to wonder about the, uh..."
23,B,Wow. That's huge .,B|Wow. That's huge .
24,M,Yeah.,M|Yeah.
25,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
26,M,"So, uh  it's a real problem.","M|So, uh  it's a real problem."
27,B,"Are there, are there any theories on why this is happening?","B|Are there, are there any theories on why this is happening?"
28,M,"Well, the, the one theory I have is that, uh it's not, uh the crime is not going to go down as much as it used to, and that, that's one theory, but, uh.","M|Well, the, the one theory I have is that, uh it's not, uh the crime is not going to go down as much as it used to, and that, that's one theory, but, uh."
29,B,Uh-huh.,B|Uh-huh.
30,M,I don't know.,M|I don't know.
31,B,But why? Why is it happening?,B|But why? Why is it happening?
32,M,I don't know.,M|I don't know.
33,B,Uh-huh.,B|Uh-huh.
34,M,"And, uh, so, it's, it, it keeps the family budget from, uh uh, you know, it makes it, uh  easier to, uh","M|And, uh, so, it's, it, it keeps the family budget from, uh uh, you know, it makes it, uh  easier to, uh"
35,B,Uh-huh.,B|Uh-huh.
36,M,"And, uh, you know, it's, it is a big problem. I, I don't know what the solution is. I think we have to do something. I don tought about this at all.","M|And, uh, you know, it's, it is a big problem. I, I don't know what the solution is. I think we have to do something. I don tought about this at all."
37,B,So they're professionals?,B|So they're professionals?
38,M,Yes.,M|Yes.
39,B,Um.,B|Um.
40,M,"They're not, uh","M|They're not, uh"
41,B,Uh-huh.,B|Uh-huh.
42,M,"And, uh.","M|And, uh."
43,B,Uh-huh.,B|Uh-huh.
44,M,"and, uh","M|and, uh"
45,B,Um.,B|Um.
46,M,"I, I don't know, I think that's a little far fetched, but I think it would be a great idea.","M|I, I don't know, I think that's a little far fetched, but I think it would be a great idea."
47,B,"Well, what do you think can be done to reduce that sort of crime?","B|Well, what do you think can be done to reduce that sort of crime?"
48,M,"Well I think, I think the thing is, is that, that, uh, you see, you, you say, well, I don't know. What do you do about, uh,","M|Well I think, I think the thing is, is that, that, uh, you see, you, you say, well, I don't know. What do you do about, uh,"
49,B,Uh-huh. Uh-huh. Right.,B|Uh-huh. Uh-huh. Right.
50,M,"And, uh.","M|And, uh."
51,B,"But, I mean, that's going to tend to, I mean it seems to me that sort of approach will tend to simply make the cost of committing the crime slightly higher in other words, you've increased the probability of somebody being caught a little bit. The real question is how do you convince people not to commit such crimes in the first place.","B|But, I mean, that's going to tend to, I mean it seems to me that sort of approach will tend to simply make the cost of committing the crime slightly higher in other words, you've increased the probability of somebody being caught a little bit. The real question is how do you convince people not to commit such crimes in the first place."
52,M,Right.,M|Right.
53,B,"Right. They're doing that in our state, too.","B|Right. They're doing that in our state, too."
54,M,Yeah.,M|Yeah.
