,Speaker,Utterance,Unified
5,B,What part of Pittsburgh?,B|What part of Pittsburgh?
6,M,"Uh, I live in the city.","M|Uh, I live in the city."
7,B,Uh-huh.,B|Uh-huh.
8,M,"And, uh,","M|And, uh,"
9,B,"Uh, Clarion County.","B|Uh, Clarion County."
10,M,"Oh, really.","M|Oh, really."
11,B,I we live out in the country.,B|I we live out in the country.
12,M,Uh-uh. Okay.,M|Uh-uh. Okay.
13,B,"Yeah, we have, we have two children that live in Pittsburgh","B|Yeah, we have, we have two children that live in Pittsburgh"
14,M,Uh-huh.,M|Uh-huh.
15,B,"Oh, oh, you are?","B|Oh, oh, you are?"
16,M,Yeah.,M|Yeah.
17,B,"Do you work, do you work for Texas Instruments then?","B|Do you work, do you work for Texas Instruments then?"
18,M,"No, no, no.","M|No, no, no."
19,B,"Oh, uh-huh.","B|Oh, uh-huh."
20,M,"Uh,","M|Uh,"
21,B,"No, I'm just, Uh, federal company, you know,","B|No, I'm just, Uh, federal company, you know,"
22,M,Okay.,M|Okay.
23,B,"so, yeah.","B|so, yeah."
24,M,"but, um, we're, we have, we've had a lot of, uh, real problems with, uh with pension funds in the past, you can't always get a good pension.","M|but, um, we're, we have, we've had a lot of, uh, real problems with, uh with pension funds in the past, you can't always get a good pension."
25,B,"Uh, we have a big old farmhouse that we've you know, remodeled.","B|Uh, we have a big old farmhouse that we've you know, remodeled."
26,M,Uh-huh.,M|Uh-huh.
27,B,"It had been, you know, of course, a farm.","B|It had been, you know, of course, a farm."
28,M,Uh-huh.,M|Uh-huh.
29,B,"It's a farm community, and we.","B|It's a farm community, and we."
30,M,!!!%!! Remind me of that,M|!!!%!! Remind me of that
31,B,Ours is not a working farm,B|Ours is not a working farm
32,M,!!!etankerous!!,M|!!!etankerous!!
33,B,"Yeah, I have a garden but you know, we have a garden.","B|Yeah, I have a garden but you know, we have a garden."
34,M,"Oh, yeah.","M|Oh, yeah."
35,B,But we don't farm.,B|But we don't farm.
36,M,"Oh, I see.","M|Oh, I see."
37,B,Uh-huh.,B|Uh-huh.
38,M,"But, um, we're just north of Baltimore, so.","M|But, um, we're just north of Baltimore, so."
39,B,Uh-huh.,B|Uh-huh.
40,M,"And, uh.","M|And, uh."
41,B,Uh-huh.,B|Uh-huh.
42,M,"and then we moved to, uh, Utah and then, uh","M|and then we moved to, uh, Utah and then, uh"
43,B,Uh-huh.,B|Uh-huh.
44,M,"but they have a radio station down there that plays, uh, country and western","M|but they have a radio station down there that plays, uh, country and western"
45,B,Uh-huh.,B|Uh-huh.
46,M,"so, um.","M|so, um."
47,B,"Oh, uh-huh.","B|Oh, uh-huh."
48,M,"And so, uh.","M|And so, uh."
49,B,"Uh, Grapevine, do you know Grapevine?","B|Uh, Grapevine, do you know Grapevine?"
50,M,"Yeah, yeah, yeah.","M|Yeah, yeah, yeah."
51,B,"Yeah, my brother has a home there he's trying to sell. He, he's living now up, uh, in, in Maryland but, uh, he, lived in Grapevine for a long time.","B|Yeah, my brother has a home there he's trying to sell. He, he's living now up, uh, in, in Maryland but, uh, he, lived in Grapevine for a long time."
52,M,"Oh, yeah, uh.","M|Oh, yeah, uh."
53,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
54,M,"but, uh.","M|but, uh."
55,B,"Oh, it's terrible. I,","B|Oh, it's terrible. I,"
56,M,!!!%!! Remind me of that one.,M|!!!%!! Remind me of that one.
57,B,"Oh, I'm not surprised.","B|Oh, I'm not surprised."
58,M,"And it's not, it, it doesn't look like it'll last, you know,","M|And it's not, it, it doesn't look like it'll last, you know,"
59,B,"Uh, right, right. Right, right.","B|Uh, right, right. Right, right."
60,M,!!!%!!;!!etwork!! Remind me of that.,M|!!!%!!;!!etwork!! Remind me of that.
61,B,"Yeah, yeah, it's not good","B|Yeah, yeah, it's not good"
62,M,"I, I, I think I'm one of the few people, you, you have to watch your children and, and your wife and your children, and, uh, just everything, you don't have to worry about, you've got to be careful.","M|I, I, I think I'm one of the few people, you, you have to watch your children and, and your wife and your children, and, uh, just everything, you don't have to worry about, you've got to be careful."
63,B,"And the people think the income is really great in some of those areas but when they sit down and look at what it costs to live and, uh, of course, most of the homes are, you know, fairly nice, they're, uh, done up fairly nice, uh,","B|And the people think the income is really great in some of those areas but when they sit down and look at what it costs to live and, uh, of course, most of the homes are, you know, fairly nice, they're, uh, done up fairly nice, uh,"
64,M,Uh-huh.,M|Uh-huh.
65,B,"Right, uh-huh, Uh-huh.","B|Right, uh-huh, Uh-huh."
66,M,"Yeah, I don't know what the, what the actual, uh laws are on that. I know that in California they're really strict about it.","M|Yeah, I don't know what the, what the actual, uh laws are on that. I know that in California they're really strict about it."
67,B,"Well, prices have come down on the homes, the duplexes.","B|Well, prices have come down on the homes, the duplexes."
