,Speaker,Utterance,Unified
5,B,"Well, do we?","B|Well, do we?"
6,M,"I mean, I think we pay a lot more taxes than we do.","M|I mean, I think we pay a lot more taxes than we do."
7,B,"Um,","B|Um,"
8,M,What part of California are you from?,M|What part of California are you from?
9,B,"My tax bracket is, is pretty high up there. I pay the, I generally pay the maximum tax bracket.","B|My tax bracket is, is pretty high up there. I pay the, I generally pay the maximum tax bracket."
10,M,Yeah.,M|Yeah.
11,B,"And, uh, I think that we're paying too much because I don't have any children.","B|And, uh, I think that we're paying too much because I don't have any children."
12,M,Yeah.,M|Yeah.
13,B,And I pay a lot of property taxes.,B|And I pay a lot of property taxes.
14,M,Yeah.,M|Yeah.
15,B,"I don't have any, um, I don't, you know, I don't use an awful lot of city services. It, it, you know it's like I have to work I have to work all the time just to make enough money to pay the taxes.","B|I don't have any, um, I don't, you know, I don't use an awful lot of city services. It, it, you know it's like I have to work I have to work all the time just to make enough money to pay the taxes."
16,M,Yeah.,M|Yeah.
17,B,"And, um, there's so many people who want a, a of the federal money or the state money or whatever it is","B|And, um, there's so many people who want a, a of the federal money or the state money or whatever it is"
18,M,Uh.,M|Uh.
19,B,"and I just, sometimes, many times I end up feeling like I'm paying too much in taxes.","B|and I just, sometimes, many times I end up feeling like I'm paying too much in taxes."
20,M,Yeah.,M|Yeah.
21,B,How about you? Do you pay too much?,B|How about you? Do you pay too much?
22,M,"Well, I don't know, I guess I, I pay too little in taxes, but I,","M|Well, I don't know, I guess I, I pay too little in taxes, but I,"
23,B,"Well, when you  when you go out into the, uh, when you go out into the working world it, it changes quickly.","B|Well, when you  when you go out into the, uh, when you go out into the working world it, it changes quickly."
24,M,"Yeah, it does.","M|Yeah, it does."
25,B,"Um, you look at your paycheck and you go, oh, my gosh where did it all go Um, what kind of, what kind of, uh, well have you pay a lot of in have you been out working and then gone back to school or are you, did you go directly from high school into, into college?","B|Um, you look at your paycheck and you go, oh, my gosh where did it all go Um, what kind of, what kind of, uh, well have you pay a lot of in have you been out working and then gone back to school or are you, did you go directly from high school into, into college?"
26,M,"No, I went straight from high to college.","M|No, I went straight from high to college."
27,B,To worry about it.,B|To worry about it.
28,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
29,B,"Have you, have you been active in, in politics trying to, concerning this? Have you like worked on political action committees or something like that?","B|Have you, have you been active in, in politics trying to, concerning this? Have you like worked on political action committees or something like that?"
30,M,"Uh, not really, I don't really know. I, uh","M|Uh, not really, I don't really know. I, uh"
31,B,"I, uh, I haven't done any of that type of work myself.","B|I, uh, I haven't done any of that type of work myself."
32,M,"Oh, you haven't?","M|Oh, you haven't?"
33,B,"Um, but every once in a while when I hear up here at, at, uh, in D C area, um, one of the radio stations has been talking about the, the Congress, um, Congress has added too towards the Members Bank there, you know, there's a bank that they all bank with, and I guess it went defunct recently.","B|Um, but every once in a while when I hear up here at, at, uh, in D C area, um, one of the radio stations has been talking about the, the Congress, um, Congress has added too towards the Members Bank there, you know, there's a bank that they all bank with, and I guess it went defunct recently."
34,M,"Oh, I see.","M|Oh, I see."
35,B,"And one of the Congressmen has, has written in the last three years about a thousand bad checks.","B|And one of the Congressmen has, has written in the last three years about a thousand bad checks."
36,M,"Oh, I didn't know that.","M|Oh, I didn't know that."
37,B,"And we, we the taxpayers float him a loan for all all those bad checks,  no interest, no repayment schedule.","B|And we, we the taxpayers float him a loan for all all those bad checks,  no interest, no repayment schedule."
38,M,Right.,M|Right.
39,B,"And, um, it's causing quite a stir up here,  because we're so close to D C anyway.","B|And, um, it's causing quite a stir up here,  because we're so close to D C anyway."
40,M,Uh-huh.,M|Uh-huh.
41,B,It's really kind of curious to watch this thing occur.,B|It's really kind of curious to watch this thing occur.
42,M,"Well, I'm not sure what the status of the loan is.","M|Well, I'm not sure what the status of the loan is."
43,B,"Um, I, I, I think we pay too much. And I've, I look at my paycheck and I make, well, let's see. They take out in state and federal taxes","B|Um, I, I, I think we pay too much. And I've, I look at my paycheck and I make, well, let's see. They take out in state and federal taxes"
44,M,"Uh,","M|Uh,"
45,B,I think I pay forty-two percent.,B|I think I pay forty-two percent.
46,M,"Uh, that's, that is a lot.","M|Uh, that's, that is a lot."
47,B,"Forty-two cents out of every dollar I make goes to the government, and then they charge me sales tax and they charge me gasoline taxes,","B|Forty-two cents out of every dollar I make goes to the government, and then they charge me sales tax and they charge me gasoline taxes,"
48,M,"Oh, I see.","M|Oh, I see."
49,B,"and they charge me all these others, and it's just too expensive.","B|and they charge me all these others, and it's just too expensive."
50,M,I know.,M|I know.
51,B,"I can't believe that I, I'm just thankful that I don't get all the government that I pay for.","B|I can't believe that I, I'm just thankful that I don't get all the government that I pay for."
52,M,"Well, I know, I mean, I just, I don, I, you know, it's, it just seems like there's just so much, you just don't know how much you're spending, and, you don't really know how you're going to pay for it, and I, it, it really bothers me.","M|Well, I know, I mean, I just, I don, I, you know, it's, it just seems like there's just so much, you just don't know how much you're spending, and, you don't really know how you're going to pay for it, and I, it, it really bothers me."
53,B,You know what I mean?,B|You know what I mean?
54,M,I know.,M|I know.
55,B,"Do you, have you used, um, student loans and things like that that were guaranteed by the government?","B|Do you, have you used, um, student loans and things like that that were guaranteed by the government?"
56,M,"Uh, I had student loans that I think I paid off, but they were, uh, like, well, I think they were like, uh three hundred and fifty dollars a year.","M|Uh, I had student loans that I think I paid off, but they were, uh, like, well, I think they were like, uh three hundred and fifty dollars a year."
57,B,What are you studying down there?,B|What are you studying down there?
58,M,"Uh, it's, uh it's a science class down here.","M|Uh, it's, uh it's a science class down here."
59,B,Physics.,B|Physics.
60,M,I see.,M|I see.
61,B,"Oh, that sounds like a fun, fun field.","B|Oh, that sounds like a fun, fun field."
62,M,It is.,M|It is.
63,B,Scientific.,B|Scientific.
64,M,"Yeah, it is.","M|Yeah, it is."
65,B,"Heavy science. Are you like in the particle, particle research or anything like that or is it more, um, applied physics?","B|Heavy science. Are you like in the particle, particle research or anything like that or is it more, um, applied physics?"
66,M,"Yeah, I'm in the, I, I work for Bell Labs.","M|Yeah, I'm in the, I, I work for Bell Labs."
67,B,"Okay. Well maybe, maybe you can figure out how we can stop this inertia that's, come rolling towards, whatever it's rolling toward.","B|Okay. Well maybe, maybe you can figure out how we can stop this inertia that's, come rolling towards, whatever it's rolling toward."
68,M,Yeah.,M|Yeah.
69,B,"Actually, I don't think we are.","B|Actually, I don't think we are."
70,M,You don't?,M|You don't?
71,B,"Um, like, like Europe,  um, England. I know the taxes are a lot higher.","B|Um, like, like Europe,  um, England. I know the taxes are a lot higher."
72,M,Yeah.,M|Yeah.
73,B,But they do have socialized medicine and things like that.,B|But they do have socialized medicine and things like that.
74,M,Yeah.,M|Yeah.
75,B,"And, um, I know I was reading in the paper I believe yesterday that, um, they're talking, or maybe it was on the","B|And, um, I know I was reading in the paper I believe yesterday that, um, they're talking, or maybe it was on the"
