,Speaker,Utterance,Unified
5,B,"Yeah, uh, I was","B|Yeah, uh, I was"
6,M,"Well, you know, I, I think we're going to see a lot more recycling centers and a lot, a lot going on here in this area.","M|Well, you know, I, I think we're going to see a lot more recycling centers and a lot, a lot going on here in this area."
7,B,"My community, that's cute. I live in a place called Dye Mound.","B|My community, that's cute. I live in a place called Dye Mound."
8,M,"Oh, okay.","M|Oh, okay."
9,B,Or Dye Community.,B|Or Dye Community.
10,M,"Oh, Dye,","M|Oh, Dye,"
11,B,"And it's not a city, not incorporated, my nearest neighbor's about a half a mile at least, I can't even see their house and, uh,","B|And it's not a city, not incorporated, my nearest neighbor's about a half a mile at least, I can't even see their house and, uh,"
12,M,"Uh,","M|Uh,"
13,B,"Yeah, I mean, uh, I'm out in, I'm out in the wilderness. Literally.","B|Yeah, I mean, uh, I'm out in, I'm out in the wilderness. Literally."
14,M,"Oh, I see.","M|Oh, I see."
15,B,"And, uh, well, give you an idea, it's three and a half miles of dirt road to the concrete, I mean, to the asphalt, we're out there.","B|And, uh, well, give you an idea, it's three and a half miles of dirt road to the concrete, I mean, to the asphalt, we're out there."
16,M,Uh-huh.,M|Uh-huh.
17,B,"And, uh, we, I do some interesting recycling things.","B|And, uh, we, I do some interesting recycling things."
18,M,"Oh, really.","M|Oh, really."
19,B,"I'm building our house right now and I'm going to incorporate into my, uh, garage area a weight activated, uh, crusher.","B|I'm building our house right now and I'm going to incorporate into my, uh, garage area a weight activated, uh, crusher."
20,M,"Oh, great.","M|Oh, great."
21,B,"So when I drive the car in the, in the driveway in the afternoon, it, it will just drive it up on a ramp that actually puts me on top of the, the, uh, pressure side of a, uh, hydraulic cylinder.","B|So when I drive the car in the, in the driveway in the afternoon, it, it will just drive it up on a ramp that actually puts me on top of the, the, uh, pressure side of a, uh, hydraulic cylinder."
22,M,Uh-huh.,M|Uh-huh.
23,B,"And the weight of the car will crush, what's ever in the disposer.","B|And the weight of the car will crush, what's ever in the disposer."
24,M,Right.,M|Right.
25,B,"hopefully, it's not my wife.","B|hopefully, it's not my wife."
26,M,Yeah.,M|Yeah.
27,B,"Well, I thought I'd, you know, I'd use it as a, an escapement type thing. I don't know if you're familiar with that operation, but, what you do is you just build up the pressure","B|Well, I thought I'd, you know, I'd use it as a, an escapement type thing. I don't know if you're familiar with that operation, but, what you do is you just build up the pressure"
28,M,Uh-huh.,M|Uh-huh.
29,B,"and then you go over and release it and then it just, it just drops, you know.","B|and then you go over and release it and then it just, it just drops, you know."
30,M,"Uh, I've heard of it, but I haven't done it.","M|Uh, I've heard of it, but I haven't done it."
31,B,"Very similar, yeah.","B|Very similar, yeah."
32,M,Yeah.,M|Yeah.
33,B,"Well, what, what it will be, you just, you drive up on the jack, but you, it won't go down.","B|Well, what, what it will be, you just, you drive up on the jack, but you, it won't go down."
34,M,"Oh, okay, yeah, that's what it's for.","M|Oh, okay, yeah, that's what it's for."
35,B,"Until you pull the pin, yeah.","B|Until you pull the pin, yeah."
36,M,Yeah.,M|Yeah.
37,B,"Anyway I have another, uh, recycling method I use.","B|Anyway I have another, uh, recycling method I use."
38,M,Uh-huh.,M|Uh-huh.
