,Speaker,Utterance,Unified
5,B,Do they have many buildings that have security there?,B|Do they have many buildings that have security there?
6,M,"Yes, they have security.","M|Yes, they have security."
7,B,"Yeah, yeah, well I, I went to Dallas, uh, when I worked for T I in Abilene and, uh, I'm a little familiar with the city area, Forest Lane and, you know, through that, off, off the freeway.","B|Yeah, yeah, well I, I went to Dallas, uh, when I worked for T I in Abilene and, uh, I'm a little familiar with the city area, Forest Lane and, you know, through that, off, off the freeway."
8,M,Uh-huh.,M|Uh-huh.
9,B,"And, uh, it didn't seem like it was that congested in that, that part. You know because to me where we live out here in the north east, it, it's there are a lot of buildings very close to each other,","B|And, uh, it didn't seem like it was that congested in that, that part. You know because to me where we live out here in the north east, it, it's there are a lot of buildings very close to each other,"
10,M,Uh.,M|Uh.
11,B,"and the cities are very populated with tenement housing, where there are more than one family in a house. And with the, uh, people that are coming into the country from other countries, not knowing the language","B|and the cities are very populated with tenement housing, where there are more than one family in a house. And with the, uh, people that are coming into the country from other countries, not knowing the language"
12,M,Uh.,M|Uh.
13,B,"and, uh, they're going to the big cities. It makes it very difficult.","B|and, uh, they're going to the big cities. It makes it very difficult."
14,M,"Uh, I know, uh.","M|Uh, I know, uh."
15,B,"It really does, and, and I've seen the same thing that you're talking about, uh, much more crime than ever before. Drugs of course, uh, a big part of it I think.","B|It really does, and, and I've seen the same thing that you're talking about, uh, much more crime than ever before. Drugs of course, uh, a big part of it I think."
16,M,Yeah.,M|Yeah.
17,B,"And, uh, I don't know, a lot of younger people, you know, into more violent crimes.","B|And, uh, I don't know, a lot of younger people, you know, into more violent crimes."
18,M,Yeah.,M|Yeah.
19,B,"that, that's really sad, you know, you got young boys or girls, that at fourteen or twelve years old that are committing murders and, no remorse, what so ever.","B|that, that's really sad, you know, you got young boys or girls, that at fourteen or twelve years old that are committing murders and, no remorse, what so ever."
20,M,"Yeah, I, I think that's true.","M|Yeah, I, I think that's true."
21,B,Yeah.,B|Yeah.
22,M,"And, you just don't hear anybody talk about it.","M|And, you just don't hear anybody talk about it."
23,B,"It is and, and I don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television.","B|It is and, and I don't know if it's, uh, the family, you know, thing where they're not bonding anymore, where mothers are working all the time and, the kids aren't getting the attention that they need, or the television."
24,M,"Well, that, that would be a good idea. I think, I think the other thing that's good is the fact that the, uh the parents are always saying, you, you can do this or you can stay at home.","M|Well, that, that would be a good idea. I think, I think the other thing that's good is the fact that the, uh the parents are always saying, you, you can do this or you can stay at home."
25,B,"And I, I really think that we're, we're falling by the wayside with not incarcerating these people.","B|And I, I really think that we're, we're falling by the wayside with not incarcerating these people."
26,M,"!!!% Yeah, I agree.","M|!!!% Yeah, I agree."
27,B,"Uh, uh.","B|Uh, uh."
28,M,"I mean, they, they've got the, the parole thing and the, uh they've, they have the, they just, you, you go through the, you just go through a period of time where you say okay, this is the punishment phase, and then when it's all over and over and it's over and they just hang around for a while and then they, you get out and they're paroled.","M|I mean, they, they've got the, the parole thing and the, uh they've, they have the, they just, you, you go through the, you just go through a period of time where you say okay, this is the punishment phase, and then when it's all over and over and it's over and they just hang around for a while and then they, you get out and they're paroled."
29,B,"Yeah, exactly.","B|Yeah, exactly."
30,M,and they're out there doing it again.,M|and they're out there doing it again.
