,Speaker,Utterance,Unified
5,B,"and, uh. Yeah, how do you feel about it?","B|and, uh. Yeah, how do you feel about it?"
6,M,"Well, I, uh","M|Well, I, uh"
7,B,Uh-huh.,B|Uh-huh.
8,M,"but, uh I don tinker with it too much. Uh, I, I just think it's, it's not very good for the people who have, have to live with it.","M|but, uh I don tinker with it too much. Uh, I, I just think it's, it's not very good for the people who have, have to live with it."
9,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
10,M,"But I, I don't think that's right.","M|But I, I don't think that's right."
11,B,"Right, exactly.","B|Right, exactly."
12,M,"You know, so I, I, you're right, you see, I don't know.","M|You know, so I, I, you're right, you see, I don't know."
13,B,Uh-huh.,B|Uh-huh.
14,M,"I don't, I think that's true.","M|I don't, I think that's true."
15,B,"Right. If, if the evidence wasn't overwhelming, right?","B|Right. If, if the evidence wasn't overwhelming, right?"
16,M,"Yeah, if it wasn't, if, if they didn't have the, the, uh, the peer pressure there wouldn't be that much of a problem.","M|Yeah, if it wasn't, if, if they didn't have the, the, uh, the peer pressure there wouldn't be that much of a problem."
17,B,Uh-huh.,B|Uh-huh.
18,M,"I mean, I mean, it, it's, it was a case of, uh, it seemed, uh-hilmable. I mean the, the, uh the evidence was, was presented so openly and, uh.","M|I mean, I mean, it, it's, it was a case of, uh, it seemed, uh-hilmable. I mean the, the, uh the evidence was, was presented so openly and, uh."
19,B,"Well, I think that should be likewise decided by the jury, you know, because, I don't know, I think a jury would be less likely to just send a man to death just for, any reason,","B|Well, I think that should be likewise decided by the jury, you know, because, I don't know, I think a jury would be less likely to just send a man to death just for, any reason,"
20,M,Right.,M|Right.
21,B,I don't know a judge might be a little more cold-blooded about it.,B|I don't know a judge might be a little more cold-blooded about it.
22,M,"Uh, I guess it's, it's the idea that if you have a trial by jury, that, uh that if they can't prove beyond a reasonable doubt that the person is guilty, then they have the right to, to, uh you know take their first, first, second, third, and fourth degree.","M|Uh, I guess it's, it's the idea that if you have a trial by jury, that, uh that if they can't prove beyond a reasonable doubt that the person is guilty, then they have the right to, to, uh you know take their first, first, second, third, and fourth degree."
23,B,"Yeah, I don't think we,","B|Yeah, I don't think we,"
24,M,"I mean, I've been in Texas and Pennsylvania and, and, uh, I guess there's some, there's a lot of things that I would like to know more about.","M|I mean, I've been in Texas and Pennsylvania and, and, uh, I guess there's some, there's a lot of things that I would like to know more about."
25,B,"No, huh-uh. No we don't.","B|No, huh-uh. No we don't."
26,M,We don't either.,M|We don't either.
27,B,Yeah.,B|Yeah.
28,M,"But, uh, we're, we are doing it this year, so.","M|But, uh, we're, we are doing it this year, so."
29,B,"Uh-huh. Oh, yeah they're always in Florida. Florida and Louisiana, I think, and, uh, some of the,  other southern states.","B|Uh-huh. Oh, yeah they're always in Florida. Florida and Louisiana, I think, and, uh, some of the,  other southern states."
30,M,"Yes. Yeah, I've heard that.","M|Yes. Yeah, I've heard that."
31,B,Course they have such a crime problem because they have such a unemployment rate.,B|Course they have such a crime problem because they have such a unemployment rate.
32,M,Yeah. Uh-hue.,M|Yeah. Uh-hue.
33,B,"Get that unemployment way up so then people, you know tend towards crime, and then they they start stiffening the penalties.","B|Get that unemployment way up so then people, you know tend towards crime, and then they they start stiffening the penalties."
34,M,Right.,M|Right.
35,B,"Well, in Florida seems like, uh, two or three times a year. It's constantly on the,","B|Well, in Florida seems like, uh, two or three times a year. It's constantly on the,"
36,M,"Yeah, it's just a, it just a real problem. I mean they, they just don't do anything about it.","M|Yeah, it's just a, it just a real problem. I mean they, they just don't do anything about it."
37,B,"Yeah. No, that's true. Course they have a requirement that, uh, that every single appeal must be permitted.","B|Yeah. No, that's true. Course they have a requirement that, uh, that every single appeal must be permitted."
38,M,Right.,M|Right.
39,B,"So, of course, the, the attorneys,","B|So, of course, the, the attorneys,"
40,M,Uh-huh.,M|Uh-huh.
41,B,"they go all the way up to the Supreme Court, you know.","B|they go all the way up to the Supreme Court, you know."
42,M,"Oh, yeah, yeah.","M|Oh, yeah, yeah."
43,B,"They almost always get thrown right back out again, but they have to have every single appeal made open to them.","B|They almost always get thrown right back out again, but they have to have every single appeal made open to them."
44,M,Right.,M|Right.
45,B,"Some of these guys are really, uh, you know, violent Son of Sam killers and stuff like that, you know.","B|Some of these guys are really, uh, you know, violent Son of Sam killers and stuff like that, you know."
46,M,Right.,M|Right.
47,B,"I mean, they,","B|I mean, they,"
48,M,"But I think it's just,","M|But I think it's just,"
49,B,"everyone knows they're going get, not going to get out.","B|everyone knows they're going get, not going to get out."
50,M,Right.,M|Right.
51,B,Yeah.,B|Yeah.
52,M,"and they get, they go to the principal's office and, you know, and they, they just, you can't do anything.","M|and they get, they go to the principal's office and, you know, and they, they just, you can't do anything."
53,B,Uh-huh.,B|Uh-huh.
54,M,So.,M|So.
55,B,Uh-huh.,B|Uh-huh.
56,M,"And, uh, I, I think that's one of the reasons that, uh.","M|And, uh, I, I think that's one of the reasons that, uh."
57,B,I think so.,B|I think so.
58,M,!!!%!! Remind me.,M|!!!%!! Remind me.
59,B,"Uh, a lot of the, the, the other violent crimes I don't really feel that strongly about. Although, you know, stiffer sentences and lessening the effects of parole,","B|Uh, a lot of the, the, the other violent crimes I don't really feel that strongly about. Although, you know, stiffer sentences and lessening the effects of parole,"
60,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
61,B,"I mean, these guys are certainly not going to, uh, be, they can't, I mean they're getting into drugs and fights and all that stuff in prison. I don't think the parole system is really helping that much","B|I mean, these guys are certainly not going to, uh, be, they can't, I mean they're getting into drugs and fights and all that stuff in prison. I don't think the parole system is really helping that much"
62,M,Uh.,M|Uh.
63,B,"Reduce the violence in the prisons. I think that's its only purpose is, is, you know, to reduce, uh, the violence in the prisons so people behave themselves a little bit better if they think they're going to get off early. Off earlier.","B|Reduce the violence in the prisons. I think that's its only purpose is, is, you know, to reduce, uh, the violence in the prisons so people behave themselves a little bit better if they think they're going to get off early. Off earlier."
64,M,"Yeah, that's true.","M|Yeah, that's true."
65,B,"But some of these guys just don't care,  you know. And so, uh,","B|But some of these guys just don't care,  you know. And so, uh,"
66,M,"Yeah, that's true.","M|Yeah, that's true."
67,B,"Yeah, right, uh-huh.","B|Yeah, right, uh-huh."
68,M,"and they, they, you don't know, they're just happy to get out of it.","M|and they, they, you don't know, they're just happy to get out of it."
69,B,"Um, that's possible I guess.","B|Um, that's possible I guess."
70,M,"And, uh.","M|And, uh."
71,B,"Um, so where do you live in Pennsylvania?","B|Um, so where do you live in Pennsylvania?"
72,M,Um Pittsburgh.,M|Um Pittsburgh.
73,B,"Oh, okay. I don't think I really know that.","B|Oh, okay. I don't think I really know that."
74,M,"Uh, I think they're trying to start some programs down in the elementary schools.","M|Uh, I think they're trying to start some programs down in the elementary schools."
75,B,"Because, uh, you know, that all depends, too, on where you are at. That's, uh, sort of interesting to get opinions as to where different parts of the country are. Because the more grass root country, uh, parts of the country tend to, to support capital punishment, where the places that are, you know, less in contact with crime you know, the, the more, more urban, I mean less,","B|Because, uh, you know, that all depends, too, on where you are at. That's, uh, sort of interesting to get opinions as to where different parts of the country are. Because the more grass root country, uh, parts of the country tend to, to support capital punishment, where the places that are, you know, less in contact with crime you know, the, the more, more urban, I mean less,"
76,M,Uh-huh.,M|Uh-huh.
77,B,Uh-huh.,B|Uh-huh.
78,M,"And, uh and so I'm not, I don, I think I'm pretty far from, uh you know what I call a nut and bolts kind of attitude.","M|And, uh and so I'm not, I don, I think I'm pretty far from, uh you know what I call a nut and bolts kind of attitude."
79,B,Two hours where?,B|Two hours where?
80,M,"Uh, I live in Garland.","M|Uh, I live in Garland."
81,B,"Oh, okay. Near Polk?","B|Oh, okay. Near Polk?"
82,M,Yeah.,M|Yeah.
83,B,"Polk Institute. It's, uh, an old, uh, university that turned into a place for the mentally retarded. Uh,","B|Polk Institute. It's, uh, an old, uh, university that turned into a place for the mentally retarded. Uh,"
84,M,Oh.,M|Oh.
85,B,"Very old, uh, historical place there.","B|Very old, uh, historical place there."
86,M,Oh.,M|Oh.
87,B,"Sharon, Pennsylvania's up there.","B|Sharon, Pennsylvania's up there."
88,M,"Yeah, that's where I've seen it.","M|Yeah, that's where I've seen it."
89,B,Yeah.,B|Yeah.
90,M,That's a nice area.,M|That's a nice area.
91,B,"Oh, okay.","B|Oh, okay."
92,M,Okay.,M|Okay.
93,B,"In that case, maybe, you know.","B|In that case, maybe, you know."
94,M,"Yeah. I mean, I know that my older brother and sister-in-law, they've been in a relationship for, oh, probably twenty-five years,","M|Yeah. I mean, I know that my older brother and sister-in-law, they've been in a relationship for, oh, probably twenty-five years,"
95,B,"Right. That's true. Yeah, well, it, it, you know, you get certain circumstances where you hear about these people that have, you know, stolen kids and, you know,  done terrible things to them and killed them and, you know, that sort of thing,","B|Right. That's true. Yeah, well, it, it, you know, you get certain circumstances where you hear about these people that have, you know, stolen kids and, you know,  done terrible things to them and killed them and, you know, that sort of thing,"
96,M,"Uh, well","M|Uh, well"
97,B,"you just like, I don't want that person sharing the Earth with me, you know, I mean, that is just terrible.","B|you just like, I don't want that person sharing the Earth with me, you know, I mean, that is just terrible."
98,M,"Uh,","M|Uh,"
99,B,"And, uh, you know, we had a case like that here and, on the other hand, you know, people are saying that because the, he knows, because the criminals know that the, uh, penalties can be very severe, they, uh, there's less criminals that are, you know, turning themselves in, or, you know, pleading or whatever, because they know that the judge, you know, if they find them guilty is, you know, has the, the opportunity to sentence them, you know, for, for the death sentence.","B|And, uh, you know, we had a case like that here and, on the other hand, you know, people are saying that because the, he knows, because the criminals know that the, uh, penalties can be very severe, they, uh, there's less criminals that are, you know, turning themselves in, or, you know, pleading or whatever, because they know that the judge, you know, if they find them guilty is, you know, has the, the opportunity to sentence them, you know, for, for the death sentence."
100,M,Yeah.,M|Yeah.
101,B,"Yeah. Well, I'm just saying that, that, that's what, the, the client, lawyers are saying. They're saying that, you know, you know, more of my clients would have pleaded guilty if they would have gotten a light sentence instead of possibly having to, to, to get a death sentence because you can't plea bargain what the sentence is going to be.","B|Yeah. Well, I'm just saying that, that, that's what, the, the client, lawyers are saying. They're saying that, you know, you know, more of my clients would have pleaded guilty if they would have gotten a light sentence instead of possibly having to, to, to get a death sentence because you can't plea bargain what the sentence is going to be."
102,M,Right.,M|Right.
103,B,"Right, uh-huh.","B|Right, uh-huh."
104,M,"So, I don't know, I, I guess, I just, I feel that the justice system works in our favor in that we're not satisfied with the system and I think it's just that there's, there is too much, uh you know the justice systems are working in our favour.","M|So, I don't know, I, I guess, I just, I feel that the justice system works in our favor in that we're not satisfied with the system and I think it's just that there's, there is too much, uh you know the justice systems are working in our favour."
105,B,"Yeah, right.","B|Yeah, right."
106,M,"!!!!,!!;!! Remind me of that now.","M|!!!!,!!;!! Remind me of that now."
107,B,"Uh-huh. I was just saying that way, what they're saying is that they can't get people to turn themselves in then. And so, we have to go through a trial then to prove the person's guilty.","B|Uh-huh. I was just saying that way, what they're saying is that they can't get people to turn themselves in then. And so, we have to go through a trial then to prove the person's guilty."
108,M,"Uh, I see.","M|Uh, I see."
109,B,And perhaps we can and perhaps we can't and so the guy might get off.,B|And perhaps we can and perhaps we can't and so the guy might get off.
110,M,"Well, I think we have got a long way to go. I think, uh, you know, in the last ten years, uh uh, the only way that we've gone down is to, uh to having a unanimous verdict.","M|Well, I think we have got a long way to go. I think, uh, you know, in the last ten years, uh uh, the only way that we've gone down is to, uh to having a unanimous verdict."
111,B,"And, uh, although usually the guys that are turning themselves in are, are guys that are, you know going to get caught anyways but, There's always a few of those people that are, you know, lost their head or whatever.","B|And, uh, although usually the guys that are turning themselves in are, are guys that are, you know going to get caught anyways but, There's always a few of those people that are, you know, lost their head or whatever."
112,M,Right.,M|Right.
113,B,"Anyways, but, uh. Yeah, we just had a terrible case in Virginia where some girl disappeared and, and the guy, like I said, he just, uh, said that he took her, but he won't admit that she died or whatever, and he won't say where the body is because he knows the penalty's very you know, mandatory life sentences for murder.","B|Anyways, but, uh. Yeah, we just had a terrible case in Virginia where some girl disappeared and, and the guy, like I said, he just, uh, said that he took her, but he won't admit that she died or whatever, and he won't say where the body is because he knows the penalty's very you know, mandatory life sentences for murder."
