,Speaker,Utterance,Unified
5,B,Okay. Yeah.,B|Okay. Yeah.
6,M,"and, um.","M|and, um."
7,B,Uh-huh.,B|Uh-huh.
8,M,"And, uh.","M|And, uh."
9,B,Uh-huh.,B|Uh-huh.
10,M,"And, uh.","M|And, uh."
11,B,Yeah.,B|Yeah.
12,M,"and we were looking at, uh, we were going to buy a house,","M|and we were looking at, uh, we were going to buy a house,"
13,B,Uh-huh.,B|Uh-huh.
14,M,"Then we put aside all of our savings and all of the car bills,","M|Then we put aside all of our savings and all of the car bills,"
15,B,"Oh, no.","B|Oh, no."
16,M,"So, we're just looking at, you know, what he's going to do with all of his savings and all that kind of stuff.","M|So, we're just looking at, you know, what he's going to do with all of his savings and all that kind of stuff."
17,B,That throws the budget out of whack real fast.,B|That throws the budget out of whack real fast.
18,M,Right.,M|Right.
19,B,"Oh, good.","B|Oh, good."
20,M,"And, uh, we went to California this last year and, uh it was wonderful. It was like, uh-huh.","M|And, uh, we went to California this last year and, uh it was wonderful. It was like, uh-huh."
21,B,Really. That was smart. Yeah.,B|Really. That was smart. Yeah.
22,M,"But, uh, we, we've, we always, uh","M|But, uh, we, we've, we always, uh"
23,B,Uh-huh.,B|Uh-huh.
24,M,"and we would go and we would have taken out loans to buy a house and then we would move in and, uh we, we did not have the money to buy it.","M|and we would go and we would have taken out loans to buy a house and then we would move in and, uh we, we did not have the money to buy it."
25,B,"Oh, uh-huh. Yeah.","B|Oh, uh-huh. Yeah."
26,M,"so we went to the, uh  to the church and, and, you know, raised beds for them.","M|so we went to the, uh  to the church and, and, you know, raised beds for them."
27,B,"Wow, that's great.","B|Wow, that's great."
28,M,"And, uh.","M|And, uh."
29,B,"Did you have a special program on your computer to do that or was this just your own design of,","B|Did you have a special program on your computer to do that or was this just your own design of,"
30,M,Just my own computer.,M|Just my own computer.
31,B,Uh-huh.,B|Uh-huh.
32,M,"And, uh, so I, I've got, I got a, I have a program that I did for, uh a year and a half ago that I, that I wrote, you know, it's a, it, it talks about different types of computers.","M|And, uh, so I, I've got, I got a, I have a program that I did for, uh a year and a half ago that I, that I wrote, you know, it's a, it, it talks about different types of computers."
33,B,Gosh.,B|Gosh.
34,M,Yeah.,M|Yeah.
35,B,Yeah,B|Yeah
36,M,"and, uh.","M|and, uh."
37,B,Yeah.,B|Yeah.
38,M,"and so,","M|and so,"
39,B,"Well, we've been married for five and a half years and we started out without kids, of course, and found it much easier to save and used to do a lot more fun kinds of of things and, uh, did really, um, you know, have a real strict but, budget but, uh, the about and to our, when we first got married we were in graduate school and we were just, you know, dirt poor. Then when we got our first jobs after about a year of marriage we decided we'd bank my salary so we could buy a house. So, we virtually did that for about two years,  which worked real well, and then moved from California where we realized we could never buy a house anyway no matter how much we saved,  and moved to Texas, bought a house immediately, you know, which, of course, is now devalued with the housing market,","B|Well, we've been married for five and a half years and we started out without kids, of course, and found it much easier to save and used to do a lot more fun kinds of of things and, uh, did really, um, you know, have a real strict but, budget but, uh, the about and to our, when we first got married we were in graduate school and we were just, you know, dirt poor. Then when we got our first jobs after about a year of marriage we decided we'd bank my salary so we could buy a house. So, we virtually did that for about two years,  which worked real well, and then moved from California where we realized we could never buy a house anyway no matter how much we saved,  and moved to Texas, bought a house immediately, you know, which, of course, is now devalued with the housing market,"
40,M,Uh-huh.,M|Uh-huh.
41,B,"so, I don't know if we, we did a good thing to buy a house or not but at least we've got a place to live. Um, so, now, since, uh, we have a three year old and a two year old now, um,","B|so, I don't know if we, we did a good thing to buy a house or not but at least we've got a place to live. Um, so, now, since, uh, we have a three year old and a two year old now, um,"
42,M,Uh-huh.,M|Uh-huh.
43,B,Uh-huh.,B|Uh-huh.
44,M,"and, uh.","M|and, uh."
45,B,"That's, that's, that threw our budget really out of whack too. An we, um, have been just forced to budget much more because I quit working to be home with the kids. And, um, we just really have, uh, I don't know, we, we've tried different times, we've done like a survey of like taking, you know, the past three months of where all the money went.","B|That's, that's, that threw our budget really out of whack too. An we, um, have been just forced to budget much more because I quit working to be home with the kids. And, um, we just really have, uh, I don't know, we, we've tried different times, we've done like a survey of like taking, you know, the past three months of where all the money went."
46,M,Um.,M|Um.
47,B,"And we really don't spend on anything much of a luxury or anything at all, but it seems like there's, um, times when we just have to get out where we'll go and like get a baby-sitter and we'll go and we'll blow, you know, fifty, sixty dollars in one night going out to eat, going to a show or doing something, you know.","B|And we really don't spend on anything much of a luxury or anything at all, but it seems like there's, um, times when we just have to get out where we'll go and like get a baby-sitter and we'll go and we'll blow, you know, fifty, sixty dollars in one night going out to eat, going to a show or doing something, you know."
48,M,Yeah.,M|Yeah.
49,B,"Yeah, that's the hard part because when we sit down to make it, we try to make it real spartan and real narrow so we can put a certain amount in savings every week and then it's not really that realistic because we do find that we want to go and do something or splurge for, you know, birthday for somebody or, you know, even we, we even do things real frugally for the kids, we get a lot of toys and clothes and stuff at garage sales or from friends because they don't know the difference at this age, you know, whether they're JORDACHE new or whether they're *listen; ""because"" may start new utt unit  you know, something","B|Yeah, that's the hard part because when we sit down to make it, we try to make it real spartan and real narrow so we can put a certain amount in savings every week and then it's not really that realistic because we do find that we want to go and do something or splurge for, you know, birthday for somebody or, you know, even we, we even do things real frugally for the kids, we get a lot of toys and clothes and stuff at garage sales or from friends because they don't know the difference at this age, you know, whether they're JORDACHE new or whether they're *listen; ""because"" may start new utt unit  you know, something"
50,M,"Uh, I guess so.","M|Uh, I guess so."
51,B,"and they're both boys so they just one year after the other in each other's clothes, so. But, um, that's the hardest part for us is that it's really, um, you know, budgeting and some extra things, you know, that are more, you know, nonessential items.","B|and they're both boys so they just one year after the other in each other's clothes, so. But, um, that's the hardest part for us is that it's really, um, you know, budgeting and some extra things, you know, that are more, you know, nonessential items."
52,M,Uh-huh.,M|Uh-huh.
53,B,Uh-huh.,B|Uh-huh.
54,M,"And, uh  I, I would say that in the situation that it is now it's more important to have the time to, to deal with that budgeting,  as far as, uh.","M|And, uh  I, I would say that in the situation that it is now it's more important to have the time to, to deal with that budgeting,  as far as, uh."
55,B,Yeah. Yeah. Uh-huh.,B|Yeah. Yeah. Uh-huh.
56,M,"But, um.","M|But, um."
57,B,"On your friends, that's true, that's true. Well, we have so many unexpected things come up so often it seems with, we both have older cars and something will come up and wind up having to spend a thousand dollars, you know, on the car in two months or something,","B|On your friends, that's true, that's true. Well, we have so many unexpected things come up so often it seems with, we both have older cars and something will come up and wind up having to spend a thousand dollars, you know, on the car in two months or something,"
58,M,Right. Right.,M|Right. Right.
59,B,"and, you know, a lot of things like that that really are hard to plan for. And, uh,","B|and, you know, a lot of things like that that really are hard to plan for. And, uh,"
60,M,"Well, that, that is a big one. I, I think that, uh you know, you can have a good career and, and, uh and, I know that a lot, a good portion of the people that I work with, uh...","M|Well, that, that is a big one. I, I think that, uh you know, you can have a good career and, and, uh and, I know that a lot, a good portion of the people that I work with, uh..."
61,B,"Yeah, kind of put in a certain amount per year, *82 and 84 same utt?","B|Yeah, kind of put in a certain amount per year, *82 and 84 same utt?"
62,M,Right.,M|Right.
63,B,you're going to have on extra expenses for car.,B|you're going to have on extra expenses for car.
64,M,"Right, right.","M|Right, right."
65,B,"Yeah, yeah.","B|Yeah, yeah."
66,M,"So, it's not a real, it isn't a real big problem. I mean, it, it is something that I have noticed, uh, that I notice in the last couple of years, uh.","M|So, it's not a real, it isn't a real big problem. I mean, it, it is something that I have noticed, uh, that I notice in the last couple of years, uh."
67,B,"Yeah our biggest way of saving money is then to stop all these deductions, um, you know, is to, let's see, now, I forget which way we do it. We don't list all the deductions and then we get more money back, you know, at the end of the year,","B|Yeah our biggest way of saving money is then to stop all these deductions, um, you know, is to, let's see, now, I forget which way we do it. We don't list all the deductions and then we get more money back, you know, at the end of the year,"
68,M,Uh-huh.,M|Uh-huh.
69,B,"so, that's not a good way to","B|so, that's not a good way to"
70,M,"No, that isn't a good idea.","M|No, that isn't a good idea."
71,B,"that's what my husband said, so this last year he changed it, of course, we didn't get hardly and then nearly as much back and it was like oh, no. Better find another way of saving money","B|that's what my husband said, so this last year he changed it, of course, we didn't get hardly and then nearly as much back and it was like oh, no. Better find another way of saving money"
72,M,Yeah.,M|Yeah.
73,B,Yeah.,B|Yeah.
74,M,"but,","M|but,"
75,B,Yeah. Yeah.,B|Yeah. Yeah.
76,M,"And, uh.","M|And, uh."
77,B,"Yeah, because we don't miss it, we really don't, when it's just taking out of the paycheck and stuff, so. But we're trying to put a little money away for the kids because we can envision the, uh, expenses for college already, you know, eighteen years away or whatever.","B|Yeah, because we don't miss it, we really don't, when it's just taking out of the paycheck and stuff, so. But we're trying to put a little money away for the kids because we can envision the, uh, expenses for college already, you know, eighteen years away or whatever."
78,M,"Oh, yeah.","M|Oh, yeah."
79,B,Gosh.,B|Gosh.
80,M,"And, uh they're, they're doing this in the fall. It's just for those interested in it.","M|And, uh they're, they're doing this in the fall. It's just for those interested in it."
81,B,"I guess,","B|I guess,"
82,M,"It's just not, it's not,","M|It's just not, it's not,"
83,B,that's fantastic. Yeah,B|that's fantastic. Yeah
84,M,"And I'm sure that she's,  I'm hoping that she'll,  she'll get around to it.","M|And I'm sure that she's,  I'm hoping that she'll,  she'll get around to it."
85,B,"Well, I enjoyed talking to you too, good luck and don't spend any money this weekend","B|Well, I enjoyed talking to you too, good luck and don't spend any money this weekend"
86,M,"!!!% Okay, well, thanks a lot.","M|!!!% Okay, well, thanks a lot."
87,B,"Oh, boy.","B|Oh, boy."
88,M,"Okay, bye-bye.","M|Okay, bye-bye."
89,B,Bye.,B|Bye.
