,Speaker,Utterance,Unified
5,B,Tibby and Liberty.,B|Tibby and Liberty.
6,M,"Tobias, Liberty. They're about the only type of pet I've had that I would want to have a pet by a couple of people.","M|Tobias, Liberty. They're about the only type of pet I've had that I would want to have a pet by a couple of people."
7,B,Tibby is the dog and Liberty is the cat.,B|Tibby is the dog and Liberty is the cat.
8,M,"And what's the, uh, what's their name?","M|And what's the, uh, what's their name?"
9,B,Oh.,B|Oh.
10,M,"And, uh, we just have a regular old two door.","M|And, uh, we just have a regular old two door."
11,B,Oh Ours are pretty calm.,B|Oh Ours are pretty calm.
12,M,"Yeah, ours is.","M|Yeah, ours is."
13,B,Uh-huh.,B|Uh-huh.
14,M,"And, uh, they're, they are, uh they're not house pets, but they are really sweet dogs.","M|And, uh, they're, they are, uh they're not house pets, but they are really sweet dogs."
15,B,Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,B|Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.
16,M,"Uh, I'm sure that, uh, the, the cats in the litter box are different from the ones that we have.","M|Uh, I'm sure that, uh, the, the cats in the litter box are different from the ones that we have."
17,B,Do you want to hear about my other animals I've had?,B|Do you want to hear about my other animals I've had?
18,M,Yeah,M|Yeah
19,B,I've had a skunk,B|I've had a skunk
20,M,Oh.,M|Oh.
21,B,"I've had a Burmese python, I've had rats, I've had mice","B|I've had a Burmese python, I've had rats, I've had mice"
22,M,"Oh, well.","M|Oh, well."
23,B,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.","B|uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover."
24,M,"Oh, yeah.","M|Oh, yeah."
25,B,"So at one point I had a snake, skunk, dog and cat running loose in the house.","B|So at one point I had a snake, skunk, dog and cat running loose in the house."
26,M,"Oh, my goodness.","M|Oh, my goodness."
27,B,Yes,B|Yes
28,M,"Oh, my goodness.","M|Oh, my goodness."
29,B,it was litter trained,B|it was litter trained
30,M,"Yeah, yeah.","M|Yeah, yeah."
31,B,and we had it perfumed,B|and we had it perfumed
32,M,"!!!%!! translated We, we had a German shorthair.","M|!!!%!! translated We, we had a German shorthair."
33,B,"and, uh, it was very aggressive.","B|and, uh, it was very aggressive."
34,M,"Uh, that's interesting.","M|Uh, that's interesting."
35,B,"But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.","B|But all the, all three of them, dog, cat and skunk, used to chase each other all through the house."
36,M,"Oh, yeah.","M|Oh, yeah."
37,B,"And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","B|And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa."
38,M,"Oh, yeah.","M|Oh, yeah."
39,B,Nobody came near it when he was there.,B|Nobody came near it when he was there.
40,M,"Yeah, that's, that, that is a big problem.","M|Yeah, that's, that, that is a big problem."
41,B,Oh.,B|Oh.
42,M,and the skunks got scared and he bit him.,M|and the skunks got scared and he bit him.
43,B,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","B|Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed"
44,M,"Oh, no.","M|Oh, no."
45,B,"so,","B|so,"
46,M,"Well, that's a good thing, though.","M|Well, that's a good thing, though."
47,B,Right.,B|Right.
48,M,"So,","M|So,"
49,B,"Yeah, I always said if I Well, I always said if I died I'd come back as a dog","B|Yeah, I always said if I Well, I always said if I died I'd come back as a dog"
50,M,Uh-huh.,M|Uh-huh.
51,B,That'd be the best way to be.,B|That'd be the best way to be.
52,M,"I think so, too.","M|I think so, too."
53,B,Well we had a German Shepherd and he had dysplasia,B|Well we had a German Shepherd and he had dysplasia
54,M,"Oh, that's terrible.","M|Oh, that's terrible."
55,B,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,B|and he had it for about three or four years where we just about had to lift him and carry him every place he went.
56,M,"Uh, uh-hauhuh, uh, uh.","M|Uh, uh-hauhuh, uh, uh."
57,B,"So, when he died, we got a little one.","B|So, when he died, we got a little one."
58,M,"Oh, my goodness.","M|Oh, my goodness."
59,B,"But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,","B|But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,"
60,M,"Well, that's, that is sad.","M|Well, that's, that is sad."
61,B,"Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","B|Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore."
62,M,"Oh, gosh.","M|Oh, gosh."
63,B,"So we said the next time around we'd get something little that if something happened, it would be easier to carry.","B|So we said the next time around we'd get something little that if something happened, it would be easier to carry."
64,M,"Uh, I know, I don't know, you, you don't think about the things that go on around you, I think, I, I'm not going to have to worry about that.","M|Uh, I know, I don't know, you, you don't think about the things that go on around you, I think, I, I'm not going to have to worry about that."
65,B,"And then we've had three cats in our married life, and we've got a calico now.","B|And then we've had three cats in our married life, and we've got a calico now."
66,M,"Oh, yeah, that's a cat too.","M|Oh, yeah, that's a cat too."
67,B,Do you?,B|Do you?
68,M,Uh-huh.,M|Uh-huh.
69,B,Um.,B|Um.
70,M,"and we used, you know, we had used, uh we had a, uh a cat, um cat, mix,","M|and we used, you know, we had used, uh we had a, uh a cat, um cat, mix,"
71,B,"Yeah, well, don't even talk to me, I, when I was single I had gone away for the weekend,","B|Yeah, well, don't even talk to me, I, when I was single I had gone away for the weekend,"
72,M,Yeah.,M|Yeah.
73,B,"and my husband, then fianc3e, was to keep my cat, and he let her out, and my house was loaded with fleas, I mean, you walked in and your legs were just black.","B|and my husband, then fianc3e, was to keep my cat, and he let her out, and my house was loaded with fleas, I mean, you walked in and your legs were just black."
74,M,Oh.,M|Oh.
75,B,"And we had such a time, and never got the cat back.","B|And we had such a time, and never got the cat back."
76,M,"Oh, my goodness.","M|Oh, my goodness."
77,B,"Yeah, I found it, you know, in the street.","B|Yeah, I found it, you know, in the street."
78,M,Huh.,M|Huh.
79,B,"I was a social worker at the time, and found it,","B|I was a social worker at the time, and found it,"
