,Speaker,Utterance,Unified
5,B,Okay.,B|Okay.
6,M,"So, uh,","M|So, uh,"
7,B,Oh,B|Oh
8,M,And so I have a lot of friends that commute to work from home. And so I get to see a lot more of the children and a lot less of the adults.,M|And so I have a lot of friends that commute to work from home. And so I get to see a lot more of the children and a lot less of the adults.
9,B,Yes Yes. Yeah.,B|Yes Yes. Yeah.
10,M,"I, I think that's great.","M|I, I think that's great."
11,B,"Uh, well, uh, yeah. We 've spend a spend a did spend a lot of time, uh, it really helped when the, uh, older one was old enough to get his license and could, uh drive around by himself although that brought in a whole other set of problems.","B|Uh, well, uh, yeah. We 've spend a spend a did spend a lot of time, uh, it really helped when the, uh, older one was old enough to get his license and could, uh drive around by himself although that brought in a whole other set of problems."
12,M,"Well, I think that's a wonderful thing to do. I think, uh.","M|Well, I think that's a wonderful thing to do. I think, uh."
13,B,"But, uh, I, uh, yeah, for one thing. Uh, but yeah, we, uh, we do but our two had, had, uh, totally different interests of, but there was not much, uh, overlap as such. The, the older one is not, was not at all into, uh, sports for the most part. Uh, he participated band and, and, uh, scouts were his two big things.","B|But, uh, I, uh, yeah, for one thing. Uh, but yeah, we, uh, we do but our two had, had, uh, totally different interests of, but there was not much, uh, overlap as such. The, the older one is not, was not at all into, uh, sports for the most part. Uh, he participated band and, and, uh, scouts were his two big things."
14,M,Yeah.,M|Yeah.
15,B,"And, uh and the, yeah, younger one is, uh, uh, the sports one and the, whatever season it is he's, he's playing, although football is really his favorite","B|And, uh and the, yeah, younger one is, uh, uh, the sports one and the, whatever season it is he's, he's playing, although football is really his favorite"
16,M,Uh-huh.,M|Uh-huh.
17,B,"Yeah. So, uh, yeah, we spend a lot of time, uh, uh, carpooling and, uh, you know, and then trying to be, uh, up as much as possible with anything that they, that they do.","B|Yeah. So, uh, yeah, we spend a lot of time, uh, uh, carpooling and, uh, you know, and then trying to be, uh, up as much as possible with anything that they, that they do."
18,M,Uh-huh.,M|Uh-huh.
19,B,"But then, uh, we also didn't do , spend, uh, time with them trying to, trying to, uh, you know, just family time.","B|But then, uh, we also didn't do , spend, uh, time with them trying to, trying to, uh, you know, just family time."
20,M,Uh-huh.,M|Uh-huh.
21,B,"Uh, we had a, at a fairly young age we started teaching them to play games and card games and so forth. And, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, I would have liked to. I would like to do that as a, as a family and, and some T V watching.","B|Uh, we had a, at a fairly young age we started teaching them to play games and card games and so forth. And, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, I would have liked to. I would like to do that as a, as a family and, and some T V watching."
22,M,Yeah.,M|Yeah.
23,B,What about you?,B|What about you?
24,M,"Well, I, uh","M|Well, I, uh"
25,B,"Yeah, I've, I've heard of that.","B|Yeah, I've, I've heard of that."
26,M,"!!!%!! translated!! LINE!!ety!!We found a, uh!!!,!! FUN!!!/!! Remind me!!I!!You!!Your!!?!!Okay!!That!!And!!The!!tt!!Oh!!.!!ival!!What!!eting!!atic!!Yeah!!Right!!roup!!Is!!!!!et!!%%!!sv!!;!! Auto!!est!!But!!They!!Well!! You!!you!!Me!! equality!!Same!!It!!Did!!Have!!work!!All!!Good!!There!!Now!!Let!!place!!In!! Wild!!Do!!Are!!How!!two!!See!!One!!Two!!So!!one!! Yellow!!This!!A!!and!! Another!!Thank!!Because!!Hi!! animation!!Yes!! wished!! visual!!Big!!NEWS!!'!!=!!xt!!Give!!ape!!By!!Absolutely!!He!!Who!!O!!Thanks!!Great!!Nice!!To!!Enjoy!!ctic!! Tokyo!!S!!!'!!Work!!style!!TW!!Hey!!Just!!Sure!!Wow!!Um!!>!!it!!When!!ual!!R!!action!!body!!If!! safely!!book!!Sometimes!!""!! summary!! This!!Better!!ness!!this!! grandma!! Ukraine!!NG!!!.!! Hungary!!Real!!<!!2017!!en!!--!!irt!! Hungarian!!P!!iveness!!lt!! NATO!! �!!As!! holy!!ist!!orial!! continues!! Margaret!!way!!itude!!ial!! mailbox!!:!! Hitler!!eways!!L!!ties!!ets!!list!!itudes!! decor!!ists!! relations!!ty!!ors!!ork!! Unless!!IAL!! Bent!! tag!! LOVE!!IV!! art!!ip!!@!! When!! Set!!Finally!!aken!!sl!!ions!!ments!!)!!! lover!! handwriting!! arrive!! Gram!! fingers!!igraph!! Aut!!Next!!irling!!ENT!!ig!!w!!-!! YOUR!! Almighty!! In!! perfection!!ired!!atter!!heres!! recipient!! <!! undo!!because!! wrap!!IVE!! Polish!!BOOK!!END!! That!! END!!ivan!!pieces!!ee!!ok!! =!!ize!! Even!!ERN!!elfth!! ours!! Heaven!! repeat!!","M|!!!%!! translated!! LINE!!ety!!We found a, uh!!!,!! FUN!!!/!! Remind me!!I!!You!!Your!!?!!Okay!!That!!And!!The!!tt!!Oh!!.!!ival!!What!!eting!!atic!!Yeah!!Right!!roup!!Is!!!!!et!!%%!!sv!!;!! Auto!!est!!But!!They!!Well!! You!!you!!Me!! equality!!Same!!It!!Did!!Have!!work!!All!!Good!!There!!Now!!Let!!place!!In!! Wild!!Do!!Are!!How!!two!!See!!One!!Two!!So!!one!! Yellow!!This!!A!!and!! Another!!Thank!!Because!!Hi!! animation!!Yes!! wished!! visual!!Big!!NEWS!!'!!=!!xt!!Give!!ape!!By!!Absolutely!!He!!Who!!O!!Thanks!!Great!!Nice!!To!!Enjoy!!ctic!! Tokyo!!S!!!'!!Work!!style!!TW!!Hey!!Just!!Sure!!Wow!!Um!!>!!it!!When!!ual!!R!!action!!body!!If!! safely!!book!!Sometimes!!""!! summary!! This!!Better!!ness!!this!! grandma!! Ukraine!!NG!!!.!! Hungary!!Real!!<!!2017!!en!!--!!irt!! Hungarian!!P!!iveness!!lt!! NATO!! �!!As!! holy!!ist!!orial!! continues!! Margaret!!way!!itude!!ial!! mailbox!!:!! Hitler!!eways!!L!!ties!!ets!!list!!itudes!! decor!!ists!! relations!!ty!!ors!!ork!! Unless!!IAL!! Bent!! tag!! LOVE!!IV!! art!!ip!!@!! When!! Set!!Finally!!aken!!sl!!ions!!ments!!)!!! lover!! handwriting!! arrive!! Gram!! fingers!!igraph!! Aut!!Next!!irling!!ENT!!ig!!w!!-!! YOUR!! Almighty!! In!! perfection!!ired!!atter!!heres!! recipient!! <!! undo!!because!! wrap!!IVE!! Polish!!BOOK!!END!! That!! END!!ivan!!pieces!!ee!!ok!! =!!ize!! Even!!ERN!!elfth!! ours!! Heaven!! repeat!!"
27,B,"I've never actually, never actually played it. But,","B|I've never actually, never actually played it. But,"
28,M,"Oh, that's, that sounds interesting.","M|Oh, that's, that sounds interesting."
29,B,"Yeah, yeah.","B|Yeah, yeah."
30,M,"So, I said, you know, we'll just wait and see if she moves out. But I just, you just don't know.","M|So, I said, you know, we'll just wait and see if she moves out. But I just, you just don't know."
31,B,Yeah.,B|Yeah.
32,M,"So, it was really fun for them.","M|So, it was really fun for them."
33,B,Yeah.,B|Yeah.
34,M,"We're a big baseball fan, so we go to a lot games here.","M|We're a big baseball fan, so we go to a lot games here."
35,B,"Yeah, so do we.","B|Yeah, so do we."
36,M,"Uh, we do a lot like to drive, too. Uh, my husband's family lives in Lubbock, and we take a lot to go to the movies there.","M|Uh, we do a lot like to drive, too. Uh, my husband's family lives in Lubbock, and we take a lot to go to the movies there."
37,B,Okay. Yeah.,B|Okay. Yeah.
38,M,"But, uh, I think we do get enough of that in Texas.","M|But, uh, I think we do get enough of that in Texas."
39,B,Yeah.,B|Yeah.
40,M,"And so, I, I'm really, really into that.","M|And so, I, I'm really, really into that."
41,B,"Oh, now that's neat.","B|Oh, now that's neat."
42,M,"So we have, we have a lot in common.","M|So we have, we have a lot in common."
43,B,"Yeah. No, we've never had anything like that.","B|Yeah. No, we've never had anything like that."
44,M,"So, that's good.","M|So, that's good."
45,B,Yeah.,B|Yeah.
46,M,"That's neat, you know, so, you don't have to do anything.","M|That's neat, you know, so, you don't have to do anything."
47,B,Uh-huh.,B|Uh-huh.
48,M,"It's kind of nice because I'm not, I don't have to mess with it, you know,","M|It's kind of nice because I'm not, I don't have to mess with it, you know,"
49,B,"Uh-huh. Oh, well, good. Well, I, you know, in terms of, in terms of any sorts of trends I, you know, obviously things are different from, for me than, and my children than when I was growing up.","B|Uh-huh. Oh, well, good. Well, I, you know, in terms of, in terms of any sorts of trends I, you know, obviously things are different from, for me than, and my children than when I was growing up."
50,M,Right.,M|Right.
