,Speaker,Utterance,Unified
5,M,"Well I, I, uh I, um, work as a temporary in a temporary agency.","M|Well I, I, uh I, um, work as a temporary in a temporary agency."
6,B,"Um. Okay, and did,","B|Um. Okay, and did,"
7,M,"so,","M|so,"
8,B,Yeah.,B|Yeah.
9,M,so.,M|so.
10,B,"What, what are you doing?","B|What, what are you doing?"
11,M,"I'm, uh, I'm doing an internship at North Texas State University","M|I'm, uh, I'm doing an internship at North Texas State University"
12,B,"Oh, okay. Do, do they play like, uh, like does the eight year old play baseball?","B|Oh, okay. Do, do they play like, uh, like does the eight year old play baseball?"
13,M,"Well, she's not really into sports, but, uh.","M|Well, she's not really into sports, but, uh."
14,B,"Okay, and, and in, in his league do they have like a pitcher, or do they have a standing ball or a machine, or what?","B|Okay, and, and in, in his league do they have like a pitcher, or do they have a standing ball or a machine, or what?"
15,M,!!!%!!;!! LINE!!action!!atic!! Controlling!!ets!!condition!! Reminders!!,M|!!!%!!;!! LINE!!action!!atic!! Controlling!!ets!!condition!! Reminders!!
16,B,Okay.,B|Okay.
17,M,"And then they have to, they have, uh they have an auction going on and, uh and, they, uh have, they do a lot of training camp and things like that.","M|And then they have to, they have, uh they have an auction going on and, uh and, they, uh have, they do a lot of training camp and things like that."
18,B,"Oh, okay.","B|Oh, okay."
19,M,"and, uh.","M|and, uh."
20,B,"Yeah. I, I used to play soccer when I was that age up in New York,","B|Yeah. I, I used to play soccer when I was that age up in New York,"
21,M,Uh-huh.,M|Uh-huh.
22,B,so.,B|so.
23,M,"Oh, yeah.","M|Oh, yeah."
24,B,"Yeah, and how about, how about like on the weekends. Do you do sports or do you go out?","B|Yeah, and how about, how about like on the weekends. Do you do sports or do you go out?"
25,M,"Well, I go out, uh, every once in a while, uh","M|Well, I go out, uh, every once in a while, uh"
26,B,"Do you go, how about like for, uh, do you go for long vacations, like a week or something when they have school off?","B|Do you go, how about like for, uh, do you go for long vacations, like a week or something when they have school off?"
27,M,Yeah.,M|Yeah.
28,B,"In the summer or like in the Easter time, like around now?","B|In the summer or like in the Easter time, like around now?"
29,M,Yeah.,M|Yeah.
30,B,And where do you go?,B|And where do you go?
31,M,"We go to the, um, University of New Hampshire.","M|We go to the, um, University of New Hampshire."
32,B,"Have, have you been out of the country?","B|Have, have you been out of the country?"
33,M,"Yeah. We've been out, uh, I went to Germany for a couple of years.","M|Yeah. We've been out, uh, I went to Germany for a couple of years."
34,B,"Oh, okay, well, first, they always say, get to know your country first before you leave, I mean  I, I lived in places, like","B|Oh, okay, well, first, they always say, get to know your country first before you leave, I mean  I, I lived in places, like"
