,Speaker,Utterance,Unified
5,B,"The area I work in, it, it primarily have maybe a hundred people or so.","B|The area I work in, it, it primarily have maybe a hundred people or so."
6,M,Yeah.,M|Yeah.
7,B,"So that's make up most of the laboratory so from, from that standpoint, it's pretty small it's pretty small.","B|So that's make up most of the laboratory so from, from that standpoint, it's pretty small it's pretty small."
8,M,"Yeah, I've, I was thinking about that, too, and I, I think that's a, that's probably true. I, uh, I have some friends that work for a university, uh-havings, uh.","M|Yeah, I've, I was thinking about that, too, and I, I think that's a, that's probably true. I, uh, I have some friends that work for a university, uh-havings, uh."
9,B,What about yourself?,B|What about yourself?
10,M,"Well, I'm a, I work for a university.","M|Well, I'm a, I work for a university."
11,B,"Oh, okay.","B|Oh, okay."
12,M,"And so, uh.","M|And so, uh."
13,B,"Oh, okay. I see.","B|Oh, okay. I see."
14,M,"And, uh.","M|And, uh."
15,B,"Oh, okay. Right. Uh,","B|Oh, okay. Right. Uh,"
16,M,"But, uh.","M|But, uh."
17,B,Uh-huh. Right.,B|Uh-huh. Right.
18,M,"And, uh.","M|And, uh."
19,B,Well those and probably the security aspect of it.,B|Well those and probably the security aspect of it.
20,M,Right.,M|Right.
21,B,"Because a lot of time nowadays, even though you're working, uh, you're treated, and it may not be true in every place. In a lot of cases I think you're treated more like a number instead of a, a person.","B|Because a lot of time nowadays, even though you're working, uh, you're treated, and it may not be true in every place. In a lot of cases I think you're treated more like a number instead of a, a person."
22,M,Yeah.,M|Yeah.
23,B,"Because when it come down to layoff, they don't really consider people and, and, you know, their well being as far as, you know, how they going, their next dollar going to come in. How they going to pay their bills. They just lay them off.","B|Because when it come down to layoff, they don't really consider people and, and, you know, their well being as far as, you know, how they going, their next dollar going to come in. How they going to pay their bills. They just lay them off."
24,M,Yeah.,M|Yeah.
25,B,"And I was reading this book one time about this guy that had, uh, I think the company still exists. What they use to do is, they used to cut the number of hours for everybody as opposed to just laying people off you know.","B|And I was reading this book one time about this guy that had, uh, I think the company still exists. What they use to do is, they used to cut the number of hours for everybody as opposed to just laying people off you know."
26,M,Huh.,M|Huh.
27,B,"That way that, you know, one person wouldn't get one big blunt blow at one time.","B|That way that, you know, one person wouldn't get one big blunt blow at one time."
28,M,Right.,M|Right.
29,B,"And, uh, you know, I think if they had programs that set up to subsidize people that do get laid off a little bit better, you know, other than you know, something like, unemployment is good but I mean the company as a whole because you as an employee, even the company is making money, they paying you a salary but you are responsible for that company growth. You're responsible also for helping that company get to the point that it's at at making profits. So there should be something in there or some kind of clause that will subsidize people if they did lose their job other than, you know, uh, neglect or something like that.","B|And, uh, you know, I think if they had programs that set up to subsidize people that do get laid off a little bit better, you know, other than you know, something like, unemployment is good but I mean the company as a whole because you as an employee, even the company is making money, they paying you a salary but you are responsible for that company growth. You're responsible also for helping that company get to the point that it's at at making profits. So there should be something in there or some kind of clause that will subsidize people if they did lose their job other than, you know, uh, neglect or something like that."
30,M,Right.,M|Right.
31,B,"You know. Because it's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know. I don't see how one or two people, maybe more one or two, but, you know, a number of people can, can be the downfall of a company situation.","B|You know. Because it's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know. I don't see how one or two people, maybe more one or two, but, you know, a number of people can, can be the downfall of a company situation."
32,M,Yeah.,M|Yeah.
33,B,"Well in a sense that say, how do you make a, a conclusion that you're going to lay off these ten people. Uh, for the bad times of the company.","B|Well in a sense that say, how do you make a, a conclusion that you're going to lay off these ten people. Uh, for the bad times of the company."
34,M,"Well, yeah, that's true.","M|Well, yeah, that's true."
35,B,"What about the, the work effort those ten people did when the company was doing well.","B|What about the, the work effort those ten people did when the company was doing well."
36,M,"Well, you can't really. I mean, they, they put ten people in a, in a room where they have a kitchen","M|Well, you can't really. I mean, they, they put ten people in a, in a room where they have a kitchen"
37,B,You know. In that standpoint.,B|You know. In that standpoint.
38,M,Right.,M|Right.
39,B,"yes, I do.","B|yes, I do."
40,M,"I, I, I think it would be better than that.","M|I, I, I think it would be better than that."
41,B,"I really do. I think it'd be better that way and even at that, it would at least give the person time to look for another job because  they know that that there are problems","B|I really do. I think it'd be better that way and even at that, it would at least give the person time to look for another job because  they know that that there are problems"
42,M,"Uh, well, you know, I, I think that, uh, you're right, that, that you, the, you have to have the job security and you have the, uh the training and the background to deal with problems,","M|Uh, well, you know, I, I think that, uh, you're right, that, that you, the, you have to have the job security and you have the, uh the training and the background to deal with problems,"
43,B,"and, you know, there are reason to look for another job instead of just dumping it on them all at one time.","B|and, you know, there are reason to look for another job instead of just dumping it on them all at one time."
44,M,Yeah. Yeah.,M|Yeah. Yeah.
45,B,"You know. That's just, that's my views, you know.","B|You know. That's just, that's my views, you know."
46,M,"Well, I don't know. What do you think?","M|Well, I don't know. What do you think?"
47,B,Right. Right. Right.,B|Right. Right. Right.
48,M,"And, uh.","M|And, uh."
49,B,"Well at least that would give a person a chance to look you know. Because the way it is, a person really don't have a chance","B|Well at least that would give a person a chance to look you know. Because the way it is, a person really don't have a chance"
50,M,"Yeah, well, yeah.","M|Yeah, well, yeah."
