,Speaker,Utterance,Unified
5,B,"Uh-huh. Well that's,","B|Uh-huh. Well that's,"
6,M,"But, I don't know. I think, uh.","M|But, I don't know. I think, uh."
7,B,Uh-huh.,B|Uh-huh.
8,M,"but I don't know, I, there's a lot of things that could be done about it. I mean, I don tinker around with it too much.","M|but I don't know, I, there's a lot of things that could be done about it. I mean, I don tinker around with it too much."
9,B,"Uh-huh, uh-huh. I, I agree we're the largest munitions producer in the world, and so, uh, there's a lot of money to be made there, and it's, uh, be very difficult to, to cut it back to a, a level where it should be.","B|Uh-huh, uh-huh. I, I agree we're the largest munitions producer in the world, and so, uh, there's a lot of money to be made there, and it's, uh, be very difficult to, to cut it back to a, a level where it should be."
10,M,"Uh, I, uh I think, uh uh, we, we have to do something. We have to, uh.","M|Uh, I, uh I think, uh uh, we, we have to do something. We have to, uh."
11,B,"And, and, uh, it will come back to haunt us, it seems to come in cycles.","B|And, and, uh, it will come back to haunt us, it seems to come in cycles."
12,M,"Yeah, that's true.","M|Yeah, that's true."
13,B,Uh-huh.,B|Uh-huh.
14,M,"and, uh.","M|and, uh."
15,B,Right.,B|Right.
16,M,"and then we have a, a, uh a real resentment of the United States toward Mexico, and I think that's, uh.","M|and then we have a, a, uh a real resentment of the United States toward Mexico, and I think that's, uh."
17,B,"Right, and the, probably the biggest problem down there is that's where the, that's the drug entry points,","B|Right, and the, probably the biggest problem down there is that's where the, that's the drug entry points,"
18,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
19,B,"and their economy is, of several of the countries, especially Columbia, is so built on the, on on the drugs, that, uh, our, our little war on drugs has really been laughable. It's just a, you know, such a small amount, and it it just, it, uh, cuts off just a trickle, and, uh, if, if we can't get a handle on that through some, through some, uh, method, I don't know where, that will be another big problem.","B|and their economy is, of several of the countries, especially Columbia, is so built on the, on on the drugs, that, uh, our, our little war on drugs has really been laughable. It's just a, you know, such a small amount, and it it just, it, uh, cuts off just a trickle, and, uh, if, if we can't get a handle on that through some, through some, uh, method, I don't know where, that will be another big problem."
20,M,Yeah.,M|Yeah.
21,B,"Right, right.","B|Right, right."
22,M,"so, it's, it is, it really is, and I, I, you, you can see it in some of the, in some, in the, uh in some areas of the country where they have to pay for their own land, but, you don't see it, you're right, it doesn't, it isn't really a government thing.","M|so, it's, it is, it really is, and I, I, you, you can see it in some of the, in some, in the, uh in some areas of the country where they have to pay for their own land, but, you don't see it, you're right, it doesn't, it isn't really a government thing."
23,B,"And as long as we're the largest, uh, consumer, then, uh, this is the market.","B|And as long as we're the largest, uh, consumer, then, uh, this is the market."
24,M,"!!!%!! Remind me of that, oh, yeah, I, I used to think that was the market, but, uh.","M|!!!%!! Remind me of that, oh, yeah, I, I used to think that was the market, but, uh."
25,B,"If we can cut back the usage, then uh, maybe it will have to go someplace else.","B|If we can cut back the usage, then uh, maybe it will have to go someplace else."
26,M,Yeah.,M|Yeah.
27,B,"Uh-huh. Uh-huh, yeah.","B|Uh-huh. Uh-huh, yeah."
28,M,"You know, it's, it, it really is a, a change.","M|You know, it's, it, it really is a, a change."
29,B,"we're just so much wealthier, and, uh, and, uh, there has to be resentment built up,","B|we're just so much wealthier, and, uh, and, uh, there has to be resentment built up,"
30,M,Right.,M|Right.
31,B,"and that's where, uh, leaders can use, uh, use that whenever the opportune moment arises.","B|and that's where, uh, leaders can use, uh, use that whenever the opportune moment arises."
32,M,"Uh, uh-hue, uh.","M|Uh, uh-hue, uh."
33,B,"Yeah. That's right. Our own hemisphere, but we've, that's been, uh, that's been the way it's always been.","B|Yeah. That's right. Our own hemisphere, but we've, that's been, uh, that's been the way it's always been."
34,M,"Uh, yeah.","M|Uh, yeah."
35,B,"So, uh,","B|So, uh,"
36,M,"Well, I think that, uh","M|Well, I think that, uh"
37,B,"Very much so, except when we need them. You know when they found oil in Mexico, then we got very friendly with them again.","B|Very much so, except when we need them. You know when they found oil in Mexico, then we got very friendly with them again."
38,M,Uh-huh.,M|Uh-huh.
39,B,Yeah.,B|Yeah.
40,M,"And, uh.","M|And, uh."
41,B,Um.,B|Um.
42,M,"And, uh, I guess, uh  we're probably going to see a lot more of that.","M|And, uh, I guess, uh  we're probably going to see a lot more of that."
43,B,Okay.,B|Okay.
44,M,"Okay, well, I think that, um, I, I don't know, I just, I feel that, that, you know, that the, the police should, uh, be more involved in their handling of the problem.","M|Okay, well, I think that, um, I, I don't know, I just, I feel that, that, you know, that the, the police should, uh, be more involved in their handling of the problem."
45,B,Sure did.,B|Sure did.
46,M,"And I, I just felt that it was, it was important to me to have some background knowledge on what was going on.","M|And I, I just felt that it was, it was important to me to have some background knowledge on what was going on."
47,B,"Always, yes ma'am.","B|Always, yes ma'am."
48,M,"And, uh, I, I don't know, I think that, that, uh you know, we need to just, uh uh, go ahead and let these people go and let them go.","M|And, uh, I, I don't know, I think that, that, uh you know, we need to just, uh uh, go ahead and let these people go and let them go."
49,B,"You too, dear.","B|You too, dear."
50,M,Thank you.,M|Thank you.
51,B,Bye.,B|Bye.
