,Speaker,Utterance,Unified
5,B,"And that, that, the penalty ought to be out there, and be enforced?","B|And that, that, the penalty ought to be out there, and be enforced?"
6,M,"Yeah, I agree. I mean, I don't know, I'm, I mean I'm not for it, I just don't think it should, you know, it should stay in effect.","M|Yeah, I agree. I mean, I don't know, I'm, I mean I'm not for it, I just don't think it should, you know, it should stay in effect."
7,B,Yeah.,B|Yeah.
8,M,"But, uh, I think it ought to, it ought not to be in so few years. I mean, I don't know, I'm not sure what the laws are on that, but I think they ought to go.","M|But, uh, I think it ought to, it ought not to be in so few years. I mean, I don't know, I'm not sure what the laws are on that, but I think they ought to go."
9,B,"That's, I agree with that completely. I know we don't have enough prisons, but there has got to be some kind of punishment, For these people.","B|That's, I agree with that completely. I know we don't have enough prisons, but there has got to be some kind of punishment, For these people."
10,M,Right.,M|Right.
11,B,"Because if they turn around, they can get away, they get away with it, and they get away with it, and they get away with it, and then they do something worse","B|Because if they turn around, they can get away, they get away with it, and they get away with it, and they get away with it, and then they do something worse"
12,M,Right.,M|Right.
13,B,"and they get a slap on the wrist. They get, thirty days in jail","B|and they get a slap on the wrist. They get, thirty days in jail"
14,M,Right.,M|Right.
15,B,"and they final get up to where they kill somebody else, and they go through fourteen appeals, and how many hundreds of thousands of taxpayer dollars.","B|and they final get up to where they kill somebody else, and they go through fourteen appeals, and how many hundreds of thousands of taxpayer dollars."
16,M,Uh.,M|Uh.
17,B,"And it's, Well, they certainly are living off our at our expense.","B|And it's, Well, they certainly are living off our at our expense."
18,M,Right.,M|Right.
19,B,"I didn't ,","B|I didn't ,"
20,M,"I mean, I don't know how you feel about that, but,","M|I mean, I don't know how you feel about that, but,"
21,B,Yeah.,B|Yeah.
22,M,"and I, I, you know, I just feel like, you, you're in a bad spot, and you have to really have some resolve to stand up against this, you have a lot of self-esteem, and I, and, you can't just go out and say, Well I'm sorry, I'm not going to do it, and nobody will do it.","M|and I, I, you know, I just feel like, you, you're in a bad spot, and you have to really have some resolve to stand up against this, you have a lot of self-esteem, and I, and, you can't just go out and say, Well I'm sorry, I'm not going to do it, and nobody will do it."
23,B,Uh-huh.,B|Uh-huh.
24,M,"and, and, and you know, they're out in the real world, and they're spending so much money and they have no concept of what's going on, you know.","M|and, and, and you know, they're out in the real world, and they're spending so much money and they have no concept of what's going on, you know."
25,B,"And, and be paroled, and and have served the sentence,","B|And, and be paroled, and and have served the sentence,"
26,M,Right.,M|Right.
27,B,"that's what, that's what people face with that choice. One thing I really hate, is they don't explain to the jurors, in a, in a trial, in a capital murder trial, or in cases of rape, or in different things that are so horrible, what it means when they sentence them to, you know, they'll sentence them to ninety years and say that it's, you know, that it's going to, you know,","B|that's what, that's what people face with that choice. One thing I really hate, is they don't explain to the jurors, in a, in a trial, in a capital murder trial, or in cases of rape, or in different things that are so horrible, what it means when they sentence them to, you know, they'll sentence them to ninety years and say that it's, you know, that it's going to, you know,"
28,M,Right.,M|Right.
29,B,"that should be life, but, instead, in, in given the choice of either sentencing to death, or sentencing to life, they'll give them ninety years in prison or something, and then turn around in thirty years, that, you know, and less they're out.","B|that should be life, but, instead, in, in given the choice of either sentencing to death, or sentencing to life, they'll give them ninety years in prison or something, and then turn around in thirty years, that, you know, and less they're out."
30,M,Right.,M|Right.
