,Speaker,Utterance,Unified
5,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
6,M,"And, uh.","M|And, uh."
7,B,"Where are you? See, Well, we've got a lot too. I'm in Texas.","B|Where are you? See, Well, we've got a lot too. I'm in Texas."
8,M,"Oh, you do?","M|Oh, you do?"
9,B,"In Garland, right outside of Dallas.","B|In Garland, right outside of Dallas."
10,M,"Oh, Garland, okay.","M|Oh, Garland, okay."
11,B,"So, we're getting a large oh, gosh, I don't know, I think there's like twenty-six different languages now, that are spoken in I, the I S D. Dallas Innercity School District.","B|So, we're getting a large oh, gosh, I don't know, I think there's like twenty-six different languages now, that are spoken in I, the I S D. Dallas Innercity School District."
12,M,"Oh, uh, uh.","M|Oh, uh, uh."
13,B,"Cambodians, uh, Asians, Vietnamese. We, we're getting a lot of, uh, Mexican Americans, you know, we've had,  those for a long time.","B|Cambodians, uh, Asians, Vietnamese. We, we're getting a lot of, uh, Mexican Americans, you know, we've had,  those for a long time."
14,M,"Yeah, yeah.","M|Yeah, yeah."
15,B,"Yes, oh, yes. to child in No, I'm busy right now, Steven. Steven wants me to do popcorn right now.","B|Yes, oh, yes. to child in No, I'm busy right now, Steven. Steven wants me to do popcorn right now."
16,M,Right.,M|Right.
17,B,to Okay. And I don't know what the solution is.,B|to Okay. And I don't know what the solution is.
18,M,"!!!%!! Remind me. I know exactly what the problem is. I don tinker with the popcorn well enough, I don!!You!!That!!I!!It!!They!!Well!!Did!!?!!Your!!Okay!!This!!you!!We!!And!!Now!!What!!Because!! You!!Yeah!!All!!So!!Have!!Is!!A!!The!! LINE!!Oh!!Thank!!Good!!There!!.!!sv!! Auto!! translated!!P!!ety!!;!!But!!!,!!Same!!Enjoy!!O!!Thanks!!Nice!!Ex!!Uh!! deserves!!Who!! wished!!IV!!Are!!Their!!eting!!Great!!See!!How!!If!!body!!et!!=!!!'!!'!!Do!!able!!Wow!!My!!One!!Two!!>!!book!!est!!roup!! Wild!!husband!!action!! cannon!!style!! FUN!!Hi!!Absolutely!!and!!orial!! equality!!Exc!!ual!! This!!Give!!this!!ctic!!irt!!atic!!NEWS!!!.!!!!!!!!Sometimes!!ile!! Ukraine!!Goal!!God!! NATO!!iveness!!Work!!!:!!!!!arn!!Holy!!ape!!list!!NG!! safely!!In!!!--!!!!!!! exists!!Let!!ist!!place!!ork!!!!!!As!!aken!!work!!!""!!IAL!!--!! �!!)!!! Mongolia!! ab!!ival!!!]!! Hungary!!irling!! Hungarian!! Set!!all!! Tokyo!!BOOK!!igan!! Pole!! arrive!!ial!!aving!! Margaret!!By!! decor!!ties!! Heaven!!END!! White!!ness!!ay!!ting!!L!! END!!eways!!ty!!ivan!! =!! holy!!ENT!!","M|!!!%!! Remind me. I know exactly what the problem is. I don tinker with the popcorn well enough, I don!!You!!That!!I!!It!!They!!Well!!Did!!?!!Your!!Okay!!This!!you!!We!!And!!Now!!What!!Because!! You!!Yeah!!All!!So!!Have!!Is!!A!!The!! LINE!!Oh!!Thank!!Good!!There!!.!!sv!! Auto!! translated!!P!!ety!!;!!But!!!,!!Same!!Enjoy!!O!!Thanks!!Nice!!Ex!!Uh!! deserves!!Who!! wished!!IV!!Are!!Their!!eting!!Great!!See!!How!!If!!body!!et!!=!!!'!!'!!Do!!able!!Wow!!My!!One!!Two!!>!!book!!est!!roup!! Wild!!husband!!action!! cannon!!style!! FUN!!Hi!!Absolutely!!and!!orial!! equality!!Exc!!ual!! This!!Give!!this!!ctic!!irt!!atic!!NEWS!!!.!!!!!!!!Sometimes!!ile!! Ukraine!!Goal!!God!! NATO!!iveness!!Work!!!:!!!!!arn!!Holy!!ape!!list!!NG!! safely!!In!!!--!!!!!!! exists!!Let!!ist!!place!!ork!!!!!!As!!aken!!work!!!""!!IAL!!--!! �!!)!!! Mongolia!! ab!!ival!!!]!! Hungary!!irling!! Hungarian!! Set!!all!! Tokyo!!BOOK!!igan!! Pole!! arrive!!ial!!aving!! Margaret!!By!! decor!!ties!! Heaven!!END!! White!!ness!!ay!!ting!!L!! END!!eways!!ty!!ivan!! =!! holy!!ENT!!"
19,B,"To get them on their, Yeah.","B|To get them on their, Yeah."
20,M,"And, uh.","M|And, uh."
21,B,"Right,","B|Right,"
22,M,"And then you're saying to them, you know, well if you let them into the nation, you'll make them a slave to the nation and then you'll be taken care of.","M|And then you're saying to them, you know, well if you let them into the nation, you'll make them a slave to the nation and then you'll be taken care of."
23,B,Um.,B|Um.
24,M,"And, uh.","M|And, uh."
25,B,Uh-huh.,B|Uh-huh.
26,M,"You, you don't see the violence inherent in the people that are running around and, you can't blame them. You know, I, I think that's a, a big problem.","M|You, you don't see the violence inherent in the people that are running around and, you can't blame them. You know, I, I think that's a, a big problem."
27,B,"And there's a lot of graft, like people trying to tell them, oh, giving them information that was free to them anyway if they just knew how to get it.","B|And there's a lot of graft, like people trying to tell them, oh, giving them information that was free to them anyway if they just knew how to get it."
28,M,Right.,M|Right.
29,B,Yeah.,B|Yeah.
30,M,So.,M|So.
31,B,Right.,B|Right.
32,M,"And, and they don't, they don tinker with, with things that are not as good for the country as they could be.","M|And, and they don't, they don tinker with, with things that are not as good for the country as they could be."
33,B,"You mean, really trying to plant something? That's what you're saying?","B|You mean, really trying to plant something? That's what you're saying?"
34,M,"Right, and then they have the, the people that, that are, that can work on it.","M|Right, and then they have the, the people that, that are, that can work on it."
35,B,Farming?,B|Farming?
36,M,yeah.,M|yeah.
37,B,Oh.,B|Oh.
38,M,"so, you know,","M|so, you know,"
39,B,Oh that's terrible.,B|Oh that's terrible.
40,M,"but, uh, they're doing real well, and, uh.","M|but, uh, they're doing real well, and, uh."
41,B,Uh-huh.,B|Uh-huh.
42,M,"And, uh, I don't know, it just, I just don't see that, that that, you can do much about it.","M|And, uh, I don't know, it just, I just don't see that, that that, you can do much about it."
43,B,And not being cared for.,B|And not being cared for.
44,M,Right. And that's the way it's going now.,M|Right. And that's the way it's going now.
45,B,Yeah. That's true.,B|Yeah. That's true.
46,M,"and I think, uh.","M|and I think, uh."
47,B,"Well, what did you do when you helped these people?","B|Well, what did you do when you helped these people?"
48,M,"!!! RemindMe!! = Did you help these people when they were children or,","M|!!! RemindMe!! = Did you help these people when they were children or,"
49,B,"How did you, what did you do,","B|How did you, what did you do,"
50,M,I helped them with their homework.,M|I helped them with their homework.
51,B,All right.,B|All right.
52,M,"I was just, I was helping them learn how to speak their own language.","M|I was just, I was helping them learn how to speak their own language."
53,B,Uh-huh Uh-huh. Uh-huh.,B|Uh-huh Uh-huh. Uh-huh.
54,M,"And, uh.","M|And, uh."
55,B,"Well, I'm an E S L teacher.","B|Well, I'm an E S L teacher."
56,M,"Oh, you are?","M|Oh, you are?"
57,B,Yes.,B|Yes.
58,M,"And I teach in a school system,","M|And I teach in a school system,"
59,B,I got my certification. But actually they did not teach us very many things about how really to go about helping people to learn another language,B|I got my certification. But actually they did not teach us very many things about how really to go about helping people to learn another language
60,M,Right.,M|Right.
61,B,"I mean, it's like people don't know, what they say,","B|I mean, it's like people don't know, what they say,"
62,M,"Uh, well, that, that is true.","M|Uh, well, that, that is true."
63,B,it's not step for step.,B|it's not step for step.
64,M,"and I think, you know, they, they probably don't want us to, to say, oh, you're a good gardener, you do this, you must do this.","M|and I think, you know, they, they probably don't want us to, to say, oh, you're a good gardener, you do this, you must do this."
65,B,Yeah,B|Yeah
66,M,"But, I, I think that's one thing that I think we've come to, to expect in the future,","M|But, I, I think that's one thing that I think we've come to, to expect in the future,"
67,B,"But anyway, I enjoy it. They, they, the kids I've worked with so far have been Spanish speaking.","B|But anyway, I enjoy it. They, they, the kids I've worked with so far have been Spanish speaking."
68,M,Uh-huh.,M|Uh-huh.
69,B,And,B|And
70,M,"Well, that's neat.","M|Well, that's neat."
71,B,"but I'm applying for, What? Yeah, it is.","B|but I'm applying for, What? Yeah, it is."
72,M,It's Spanish.,M|It's Spanish.
73,B,"A lot of our words are the same,","B|A lot of our words are the same,"
74,M,Yeah.,M|Yeah.
75,B,"like, you know,  they just change the pronunciation a little bit.","B|like, you know,  they just change the pronunciation a little bit."
76,M,Right. Right.,M|Right. Right.
77,B,"But, I love it. I love the culture, uh, the way that they, uh, they respect education and their teachers their parents, so much more than, than my children do. You know,","B|But, I love it. I love the culture, uh, the way that they, uh, they respect education and their teachers their parents, so much more than, than my children do. You know,"
78,M,Uh-huh.,M|Uh-huh.
79,B,"and I like it. And what I've been thinking about doing is volunteering for this, uh, Asian center that, a Doctor Falk has started, that works with the school district.","B|and I like it. And what I've been thinking about doing is volunteering for this, uh, Asian center that, a Doctor Falk has started, that works with the school district."
80,M,"Uh, that's wonderful.","M|Uh, that's wonderful."
81,B,"And doing what, trying to get them set up, inculturated,  into the system.","B|And doing what, trying to get them set up, inculturated,  into the system."
