,Speaker,Utterance,Unified
5,B,"and I think they're better people because of it,","B|and I think they're better people because of it,"
6,M,"Uh, yeah.","M|Uh, yeah."
7,B,"they're much more responsible. I know, um, the church that I go to, um, the young men give two years of their life when they turn nineteen, you know,","B|they're much more responsible. I know, um, the church that I go to, um, the young men give two years of their life when they turn nineteen, you know,"
8,M,"Oh, yeah.","M|Oh, yeah."
9,B,"they're encouraged to do that, missionary work, and I I really believe that the people that do that are better people that make our, society better.","B|they're encouraged to do that, missionary work, and I I really believe that the people that do that are better people that make our, society better."
10,M,"Uh, I don't know if that's true, or not.","M|Uh, I don't know if that's true, or not."
11,B,Uh-huh.,B|Uh-huh.
12,M,"and I was very comfortable with the kids, and, uh.","M|and I was very comfortable with the kids, and, uh."
13,B,Uh-huh.,B|Uh-huh.
14,M,"but I've always felt that, uh","M|but I've always felt that, uh"
15,B,Uh-huh.,B|Uh-huh.
16,M,"but, uh, it's, it is interesting that, uh","M|but, uh, it's, it is interesting that, uh"
17,B,Uh-huh.,B|Uh-huh.
18,M,"but, uh, I don't know, it's just that I don, I think it's, it seems to me that, uh you know, in general the, the news is sensationalized and, and I don'y know why. I think sometimes it's not.","M|but, uh, I don't know, it's just that I don, I think it's, it seems to me that, uh you know, in general the, the news is sensationalized and, and I don'y know why. I think sometimes it's not."
19,B,Huh.,B|Huh.
20,M,But I think I'm going to have to do that.,M|But I think I'm going to have to do that.
21,B,Yeah.,B|Yeah.
22,M,"so I'm, you, you're not going to have any money left over when you retire, you'll have to pay them off,","M|so I'm, you, you're not going to have any money left over when you retire, you'll have to pay them off,"
23,B,Huh. and rattling in,B|Huh. and rattling in
24,M,"Yeah, it says anywhere from six months to two years, and that's what they look for.","M|Yeah, it says anywhere from six months to two years, and that's what they look for."
25,B,Yes. Yes.,B|Yes. Yes.
26,M,"I think that's a wonderful idea. Um, I'm, I work in the Waco area and, um, we're planning to move there in the next couple of years,","M|I think that's a wonderful idea. Um, I'm, I work in the Waco area and, um, we're planning to move there in the next couple of years,"
27,B,Uh-huh.,B|Uh-huh.
28,M,"And he said that they were going to rebuild the whole thing. And I was like, no, no.","M|And he said that they were going to rebuild the whole thing. And I was like, no, no."
29,B,"Uh-huh. Well, I think so, it puts you out on your own and and in a time after high school, um, there's kind of a selfishness,","B|Uh-huh. Well, I think so, it puts you out on your own and and in a time after high school, um, there's kind of a selfishness,"
30,M,"Uh, yeah.","M|Uh, yeah."
31,B,"I mean, teenagers in our country are kind of, kind of a year that parents don't look forward to and, and things like that","B|I mean, teenagers in our country are kind of, kind of a year that parents don't look forward to and, and things like that"
32,M,Yeah.,M|Yeah.
33,B,"and I think that it would help people to become, less self-centered, and to be more responsible when you're out on your own trying to, um, thinking less of your own needs but, of other people.","B|and I think that it would help people to become, less self-centered, and to be more responsible when you're out on your own trying to, um, thinking less of your own needs but, of other people."
34,M,"Uh, I would agree with that. Uh, and I think, I mean, I, I don't know, I guess I'm a little too old fashioned, but I don, I I don 't mind when I go out and do things myself, I just don't like to have to mess with it, you know.","M|Uh, I would agree with that. Uh, and I think, I mean, I, I don't know, I guess I'm a little too old fashioned, but I don, I I don 't mind when I go out and do things myself, I just don't like to have to mess with it, you know."
35,B,Uh-huh.,B|Uh-huh.
36,M,"so, you don't have to be, you can't be self-employed and not have a budget, you have to have some kind of budget, and I think it's really important to be able to do things like this.","M|so, you don't have to be, you can't be self-employed and not have a budget, you have to have some kind of budget, and I think it's really important to be able to do things like this."
37,B,Uh-huh.,B|Uh-huh.
38,M,And it was like the only thing that I ever taught was assembly,M|And it was like the only thing that I ever taught was assembly
39,B,"Oh, no.","B|Oh, no."
40,M,"And, um.","M|And, um."
41,B,Uh-huh.,B|Uh-huh.
42,M,"And they were just playing board games and this and that, you, you would see them all in the same room, you never could decide which one you wanted to play on.","M|And they were just playing board games and this and that, you, you would see them all in the same room, you never could decide which one you wanted to play on."
43,B,Right. Uh-huh.,B|Right. Uh-huh.
44,M,"Um, you, you see, I don't know. I think that maybe the schools could do a better job of teaching the kids in the region, you're right.","M|Um, you, you see, I don't know. I think that maybe the schools could do a better job of teaching the kids in the region, you're right."
45,B,Yes.,B|Yes.
46,M,"I think, I don't know, I'm sure that, uh, a lot of things we have to solve are not solutions to the problem.","M|I think, I don't know, I'm sure that, uh, a lot of things we have to solve are not solutions to the problem."
47,B,"It would really, um, and I don't the people that I've known like from Germany and Finland that have done that are, they do military service which, you know, I don't exactly recommend","B|It would really, um, and I don't the people that I've known like from Germany and Finland that have done that are, they do military service which, you know, I don't exactly recommend"
48,M,"Uh,","M|Uh,"
49,B,but still they have benefited from it.,B|but still they have benefited from it.
50,M,"Yeah, that's true.","M|Yeah, that's true."
51,B,"And, um, you know, although I wouldn't want it to make people to go off to the military voluntarily but it's, it has helped them","B|And, um, you know, although I wouldn't want it to make people to go off to the military voluntarily but it's, it has helped them"
52,M,Uh-hums.,M|Uh-hums.
53,B,"and they are just a lot more mature, than the average student","B|and they are just a lot more mature, than the average student"
54,M,Yeah.,M|Yeah.
55,B,and like she's washing,B|and like she's washing
56,M,Uh.,M|Uh.
57,B,Uh-huh.,B|Uh-huh.
58,M,but I think they did a really good job of that.,M|but I think they did a really good job of that.
59,B,"Well, that's right. A lot of people they flunk out or they get, they just get so excited to be away from home, they just spend all there time partying","B|Well, that's right. A lot of people they flunk out or they get, they just get so excited to be away from home, they just spend all there time partying"
60,M,"Yeah, yeah.","M|Yeah, yeah."
61,B,"and they do a lot of things to themselves that, that we really don't want our young people to be doing","B|and they do a lot of things to themselves that, that we really don't want our young people to be doing"
62,M,"Uh, uh-hue.","M|Uh, uh-hue."
63,B,"and,","B|and,"
64,M,Yeah.,M|Yeah.
65,B,Um.,B|Um.
66,M,"Well, I, I don't know, I guess it's a matter of, uh, of, of different priorities, I suppose.","M|Well, I, I don't know, I guess it's a matter of, uh, of, of different priorities, I suppose."
67,B,Yeah. Uh-huh.,B|Yeah. Uh-huh.
68,M,"But, uh, you can, you could say you're probably right, that, that the, uh the government's probably not doing itself any good, and that there's probably other problems that, uh","M|But, uh, you can, you could say you're probably right, that, that the, uh the government's probably not doing itself any good, and that there's probably other problems that, uh"
69,B,"because we're so, we love our freedom and our freedom of choice and, um, having people like","B|because we're so, we love our freedom and our freedom of choice and, um, having people like"
70,M,Uh-hue.,M|Uh-hue.
71,B,"But, you know, our, like in our church, it, it is, your free to do that or not","B|But, you know, our, like in our church, it, it is, your free to do that or not"
72,M,Uh.,M|Uh.
73,B,"you're encouraged to do it because, um, you know, it, it helps you, and, of course, we think it's helping other people.","B|you're encouraged to do it because, um, you know, it, it helps you, and, of course, we think it's helping other people."
74,M,"Uh, yeah, I think it is.","M|Uh, yeah, I think it is."
75,B,"And so,","B|And so,"
76,M,"I think it, and I think, and it's sad, because, you see so many young people that are in trouble, and so many people that, you don't even know it.","M|I think it, and I think, and it's sad, because, you see so many young people that are in trouble, and so many people that, you don't even know it."
77,B,Uh-huh.,B|Uh-huh.
78,M,and I think that it's a big problem.,M|and I think that it's a big problem.
79,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
80,M,"!!!!,!!;!!%!! Remind me of that.","M|!!!!,!!;!!%!! Remind me of that."
81,B,"And they're preoccupied with, drinking.","B|And they're preoccupied with, drinking."
82,M,"Right, and they're, they're in a, in a mental institution.","M|Right, and they're, they're in a, in a mental institution."
83,B,Uh-huh. And,B|Uh-huh. And
84,M,"Yeah, and, uh.","M|Yeah, and, uh."
85,B,Uh-huh.,B|Uh-huh.
86,M,"and, uh  I think it's, it's interesting that, that, uh...","M|and, uh  I think it's, it's interesting that, that, uh..."
87,B,That's true. paper,B|That's true. paper
88,M,"Uh, but I, uh.","M|Uh, but I, uh."
89,B,That's really true.,B|That's really true.
90,M,Yeah.,M|Yeah.
91,B,"Yeah. Well, I, I don't know how that would ever happen here but at least, um,","B|Yeah. Well, I, I don't know how that would ever happen here but at least, um,"
92,M,"Uh, I know, uh, uh I, my, my sister-in-law is a, uh a, a Vietnam veteran and she was in the, uh and it, I guess it was the, the theater or whatever, uh.","M|Uh, I know, uh, uh I, my, my sister-in-law is a, uh a, a Vietnam veteran and she was in the, uh and it, I guess it was the, the theater or whatever, uh."
93,B,"Oh, really.","B|Oh, really."
94,M,"And, uh.","M|And, uh."
95,B,Uh-huh.,B|Uh-huh.
96,M,"and, uh.","M|and, uh."
97,B,Huh.,B|Huh.
98,M,"and, uh.","M|and, uh."
99,B,"Well, I have seen a big change, I think, in high school kids that my relatives and friends, that, um, I know when I was in high school I had an idea of what I really wanted to do with what my, what I was going to study","B|Well, I have seen a big change, I think, in high school kids that my relatives and friends, that, um, I know when I was in high school I had an idea of what I really wanted to do with what my, what I was going to study"
100,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
101,B,"and at least I had some interest in, a lot of the youth that I come in contact with are, they say oh, I want to be a doctor, I want to be a lawyer. Why? Because they make a lot of money.","B|and at least I had some interest in, a lot of the youth that I come in contact with are, they say oh, I want to be a doctor, I want to be a lawyer. Why? Because they make a lot of money."
102,M,Right.,M|Right.
103,B,"And they don't have a goal, they don't have a goal, they don't have an interest in their own field of study.","B|And they don't have a goal, they don't have a goal, they don't have an interest in their own field of study."
104,M,"That's true, that is true. I don't know what they call it in college. I think they call themselves institutions of like thirty or forty thousand or something like that.","M|That's true, that is true. I don't know what they call it in college. I think they call themselves institutions of like thirty or forty thousand or something like that."
105,B,They're just looking what's going to pay the biggest cash.,B|They're just looking what's going to pay the biggest cash.
106,M,"That's true, that is true. That's true and, and, uh, you know, I think, uh and that's also true of, uh you know a lot, a whole lot of companies, you're right, a, a large percentage of people that are hired are, you get, uh","M|That's true, that is true. That's true and, and, uh, you know, I think, uh and that's also true of, uh you know a lot, a whole lot of companies, you're right, a, a large percentage of people that are hired are, you get, uh"
107,B,Uh-huh.,B|Uh-huh.
108,M,"and they're all,","M|and they're all,"
109,B,Yes.,B|Yes.
110,M,"I mean, I don't know, it, it seems ridiculous. I mean, you know, what's the solution.","M|I mean, I don't know, it, it seems ridiculous. I mean, you know, what's the solution."
111,B,"There's just too many people. Uh-huh. That's right. Not enough people want to do that to, for, uh, because of a service that they could provide.","B|There's just too many people. Uh-huh. That's right. Not enough people want to do that to, for, uh, because of a service that they could provide."
112,M,"Uh-uh. Yeah. I think it's, it's a shame that there's so many people who are uninsured and can't afford to get a, to get treatment and to be able to get help.","M|Uh-uh. Yeah. I think it's, it's a shame that there's so many people who are uninsured and can't afford to get a, to get treatment and to be able to get help."
113,B,"You know, if you want to be a lawyer because you know that you can provide a service that people need because you have to have lawyers in this country, um, but if you're just doing it because you think that's the best way to, be rich.","B|You know, if you want to be a lawyer because you know that you can provide a service that people need because you have to have lawyers in this country, um, but if you're just doing it because you think that's the best way to, be rich."
114,M,Right.,M|Right.
115,B,Uh-huh.,B|Uh-huh.
116,M,"And, and, you know, it's not just the money that's available, it is the principle.","M|And, and, you know, it's not just the money that's available, it is the principle."
117,B,"That's kind of sad. Well, anyway.","B|That's kind of sad. Well, anyway."
118,M,Okay.,M|Okay.
119,B,"Well, I guess I better go.","B|Well, I guess I better go."
120,M,Okay.,M|Okay.
121,B,"Well, good luck to you. I enjoyed it.","B|Well, good luck to you. I enjoyed it."
122,M,All right.,M|All right.
123,B,Thanks. Bye-bye.,B|Thanks. Bye-bye.
