,Speaker,Utterance,Unified
5,M,"but we haven't really done that much,","M|but we haven't really done that much,"
6,B,Uh-huh.,B|Uh-huh.
7,M,"but, uh  it, it's really been good","M|but, uh  it, it's really been good"
8,B,Right.,B|Right.
9,M,So we don't have a regular vacation time.,M|So we don't have a regular vacation time.
10,B,Uh-huh.,B|Uh-huh.
11,M,"and so, uh, I, I try to, I'm not really, you know, I don't really, I think that it's really a waste of my money to go spend with somebody who doesn't have insurance.","M|and so, uh, I, I try to, I'm not really, you know, I don't really, I think that it's really a waste of my money to go spend with somebody who doesn't have insurance."
12,B,"Well, it might be a good time for you to to, to start a tradition.","B|Well, it might be a good time for you to to, to start a tradition."
13,M,Yeah.,M|Yeah.
14,B,You could be responsible for that yourself.,B|You could be responsible for that yourself.
15,M,Right.,M|Right.
16,B,Sure.,B|Sure.
17,M,"And, uh, and then I, I also think that, uh you know, I think that maybe there are other ways of, uh...","M|And, uh, and then I, I also think that, uh you know, I think that maybe there are other ways of, uh..."
18,B,"Well, in my family, let's see, last October was the forty fifth annual  uh, reunion.","B|Well, in my family, let's see, last October was the forty fifth annual  uh, reunion."
19,M,Oh.,M|Oh.
20,B,"The first Sunday in October, the Jordan family gets together.","B|The first Sunday in October, the Jordan family gets together."
21,M,"Oh, yeah.","M|Oh, yeah."
22,B,"And all of the descendants of the Civil War, I mean, yeah, the Civil War veterans come together, and they come as far away from California, and there's usually oh, between a hundred and fifty and two hundred and fifty people.","B|And all of the descendants of the Civil War, I mean, yeah, the Civil War veterans come together, and they come as far away from California, and there's usually oh, between a hundred and fifty and two hundred and fifty people."
23,M,Uh-huh.,M|Uh-huh.
24,B,"Uh, there's a big community hall in Vernon Texas,","B|Uh, there's a big community hall in Vernon Texas,"
25,M,Oh.,M|Oh.
26,B,"and, uh, that seems to be sort of a middle ground for all of the Texas family.","B|and, uh, that seems to be sort of a middle ground for all of the Texas family."
27,M,Right.,M|Right.
28,B,Uh-huh.,B|Uh-huh.
29,M,Do you have any relatives there?,M|Do you have any relatives there?
30,B,"Right, uh-huh. A lot of the older family lives in Vernon.","B|Right, uh-huh. A lot of the older family lives in Vernon."
31,M,!!!%!!;!! Remind me of that.,M|!!!%!!;!! Remind me of that.
32,B,"Um, all of his direct descendants, descendants have now died and the grandchildren are in their seventies and eighties.","B|Um, all of his direct descendants, descendants have now died and the grandchildren are in their seventies and eighties."
33,M,Uh-uh. Uh-hum.,M|Uh-uh. Uh-hum.
34,B,So we're talking about second and third great children here.,B|So we're talking about second and third great children here.
35,M,"Uh-hau, uh, oh, yes.","M|Uh-hau, uh, oh, yes."
36,B,"Uh, I take my boys well, I took them up until this year, they're grown and gone from home now","B|Uh, I take my boys well, I took them up until this year, they're grown and gone from home now"
37,M,Uh-huh.,M|Uh-huh.
38,B,"so they, they take their family.","B|so they, they take their family."
39,M,"Oh, that's great.","M|Oh, that's great."
40,B,"But, uh, let's see, that would make them, grandfather, great grandfather, great great grandfather, okay, so it would be the second great grandchild. And so they,","B|But, uh, let's see, that would make them, grandfather, great grandfather, great great grandfather, okay, so it would be the second great grandchild. And so they,"
41,M,So they would have a great big family. Yeah.,M|So they would have a great big family. Yeah.
42,B,"Well, it's a community center, it's a community hall. It's,  a great big open building that has a wonderful kitchen it in,","B|Well, it's a community center, it's a community hall. It's,  a great big open building that has a wonderful kitchen it in,"
43,M,Uh-huh.,M|Uh-huh.
44,B,"and, uh, you just bring the covered dishes. Every, every family brings a, a dish of some kind, and you get all the wonderful old family recipes,  that have been handed,  down for years","B|and, uh, you just bring the covered dishes. Every, every family brings a, a dish of some kind, and you get all the wonderful old family recipes,  that have been handed,  down for years"
45,M,Uh-huh.,M|Uh-huh.
46,B,"Well, we try to stay away from those things which might have, uh, salmonella in them.","B|Well, we try to stay away from those things which might have, uh, salmonella in them."
47,M,"Oh, I know.","M|Oh, I know."
48,B,"And we choose to bring congealed salad. You can bring a congealed vegetable salad,  as opposed to potato salad.","B|And we choose to bring congealed salad. You can bring a congealed vegetable salad,  as opposed to potato salad."
49,M,Uh-huh.,M|Uh-huh.
50,B,"And we are very conscious of, most of us are very conscious of, of, uh, sanitation aspects,  whatever you've got to carry for any distance.","B|And we are very conscious of, most of us are very conscious of, of, uh, sanitation aspects,  whatever you've got to carry for any distance."
51,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
52,B,"I always, take home baked bread.","B|I always, take home baked bread."
53,M,Uh-huh.,M|Uh-huh.
54,B,"Uh, that happens to be my specialty for that family. I do other things very well,","B|Uh, that happens to be my specialty for that family. I do other things very well,"
55,M,Uh-huh.,M|Uh-huh.
56,B,but there are others in the family who do them better.,B|but there are others in the family who do them better.
57,M,Yeah.,M|Yeah.
58,B,Uh-huh.,B|Uh-huh.
59,M,"And, uh, you know, I do some of the cooking for my daughter and there are some others who are just as easy, you can tell.","M|And, uh, you know, I do some of the cooking for my daughter and there are some others who are just as easy, you can tell."
60,B,Uh-huh.,B|Uh-huh.
61,M,"but I've heard that it's really a good way to develop,  you know, the family structure and  and get out of the house.","M|but I've heard that it's really a good way to develop,  you know, the family structure and  and get out of the house."
62,B,Uh-huh.,B|Uh-huh.
63,M,"and we talked about how, how we did, uh,","M|and we talked about how, how we did, uh,"
64,B,Uh-huh.,B|Uh-huh.
65,M,!!!%!! translated It's a great book.,M|!!!%!! translated It's a great book.
66,B,Uh-huh.,B|Uh-huh.
67,M,"And, uh, so it was a very, very, uh uh, uh...","M|And, uh, so it was a very, very, uh uh, uh..."
68,B,Uh-huh. Right.,B|Uh-huh. Right.
69,M,"So that's interesting, but, uh.","M|So that's interesting, but, uh."
70,B,"Well, it's, uh, we have, uh, uh, kind of a core group that, that serves as, quote, officers of the organization,","B|Well, it's, uh, we have, uh, uh, kind of a core group that, that serves as, quote, officers of the organization,"
71,M,Uh.,M|Uh.
