,Speaker,Utterance,Unified
5,B,Okay. Go ahead.,B|Okay. Go ahead.
6,M,!!!%!! RemindMe!! Do you have any children?,M|!!!%!! RemindMe!! Do you have any children?
7,B,Yeah,B|Yeah
8,M,"and, and, and you know, that's, that, I, I don't really know, I think, I mean, I do, I really do. I think that there's, there's a lot of things that, uh, that I think we should do to, to help people out.","M|and, and, and you know, that's, that, I, I don't really know, I think, I mean, I do, I really do. I think that there's, there's a lot of things that, uh, that I think we should do to, to help people out."
9,B,That's true.,B|That's true.
10,M,"And, uh  I think that we've, we've learned a great deal from it.","M|And, uh  I think that we've, we've learned a great deal from it."
11,B,"Um, me either. I, I went to college and then started working and then got married and,","B|Um, me either. I, I went to college and then started working and then got married and,"
12,M,Uh-huh.,M|Uh-huh.
13,B,"No, I haven't, I know that, uh, my sister, I have a twin sister and when they graduated she went to, uh, teach in a small town down in south Texas and I know, that like if you have college notes, if you teach in a lower income bracket where they don't pay as much and they cancel part of your, you know, your college note or whatever.","B|No, I haven't, I know that, uh, my sister, I have a twin sister and when they graduated she went to, uh, teach in a small town down in south Texas and I know, that like if you have college notes, if you teach in a lower income bracket where they don't pay as much and they cancel part of your, you know, your college note or whatever."
14,M,Yeah.,M|Yeah.
15,B,"Uh-huh. If it's like, you know, really a, you know, a lower paying job, you know, where in a small town you don't obviously you don't need as much as far as to, you know, to live.","B|Uh-huh. If it's like, you know, really a, you know, a lower paying job, you know, where in a small town you don't obviously you don't need as much as far as to, you know, to live."
16,M,Yeah.,M|Yeah.
17,B,"Yeah, she only taught there one year but I,","B|Yeah, she only taught there one year but I,"
18,M,!!!%!! Remind me.,M|!!!%!! Remind me.
19,B,Uh-huh.,B|Uh-huh.
20,M,"Well, she got some money from the school, but I think she only had a portion of it.","M|Well, she got some money from the school, but I think she only had a portion of it."
21,B,"And, um, I think it would be, I know that also one of my cousins who, uh, he is in like the therapy type thing and he was, um, some group paid part of his college income but then he was required to go back and work for a certain number of years in this town at, uh, uh, I mean, it's a nursing home or something like that.","B|And, um, I think it would be, I know that also one of my cousins who, uh, he is in like the therapy type thing and he was, um, some group paid part of his college income but then he was required to go back and work for a certain number of years in this town at, uh, uh, I mean, it's a nursing home or something like that."
22,M,"Uh, uh-homing","M|Uh, uh-homing"
