,Speaker,Utterance,Unified
5,B,"So they found a, a place nearby that they put her in last year.","B|So they found a, a place nearby that they put her in last year."
6,M,Huh.,M|Huh.
7,B,"Uh, yeah, although she is, uh, in pretty good health and she's, doesn't take any medication, it's just she had had her own apartment and drove a car and everything up until that point.","B|Uh, yeah, although she is, uh, in pretty good health and she's, doesn't take any medication, it's just she had had her own apartment and drove a car and everything up until that point."
8,M,"Oh, yeah.","M|Oh, yeah."
9,B,"Then she was starting to get, uh, you know, lose memory sometimes and, which is kind of frightening when she's in the car.","B|Then she was starting to get, uh, you know, lose memory sometimes and, which is kind of frightening when she's in the car."
10,M,Yeah. Yeah.,M|Yeah. Yeah.
11,B,"Uh,","B|Uh,"
12,M,"And she, she, uh she's just a really good dog, but, uh.","M|And she, she, uh she's just a really good dog, but, uh."
13,B,"Well, yeah, when it finally came down to it, um, she just got to the point after the, I mean, it wasn't a very, um, strong stroke. It was just kind of all of a sudden she wasn't herself anymore.","B|Well, yeah, when it finally came down to it, um, she just got to the point after the, I mean, it wasn't a very, um, strong stroke. It was just kind of all of a sudden she wasn't herself anymore."
14,M,Oh.,M|Oh.
15,B,And she got kind of fearful of being on her own. She never really ate very well. It was one thing. She hardly  ever took care of herself,B|And she got kind of fearful of being on her own. She never really ate very well. It was one thing. She hardly  ever took care of herself
16,M,Yeah.,M|Yeah.
17,B,"and she didn't eat. She ate very poor so I think she was, you know, bad, uh, nutrition on top of it. And, uh, she got to the point she didn't want to alone anymore. So,","B|and she didn't eat. She ate very poor so I think she was, you know, bad, uh, nutrition on top of it. And, uh, she got to the point she didn't want to alone anymore. So,"
18,M,"Yeah, that's, that was, that, that would be a big conflict of interest.","M|Yeah, that's, that was, that, that would be a big conflict of interest."
19,B,Um.,B|Um.
20,M,!!!%!! Remind me.,M|!!!%!! Remind me.
21,B,"Well, she was almost ridiculous. Like she'd eat ice cream and cookies. She'd,","B|Well, she was almost ridiculous. Like she'd eat ice cream and cookies. She'd,"
22,M,!!!%!! Remind me of that,M|!!!%!! Remind me of that
23,B,"Didn't one,","B|Didn't one,"
24,M,"And, and, and the, and she was, she really, you know, her, her mind was on the food,","M|And, and, and the, and she was, she really, you know, her, her mind was on the food,"
25,B,Oh really?,B|Oh really?
