,Speaker,Utterance,Unified
5,B,Uh ...,B|Uh ...
6,M,"I don't know, I think that's, that's a little extreme. I don't think that, uh you know. I think you should, you should test for drugs just to make sure you're drug tested.","M|I don't know, I think that's, that's a little extreme. I don't think that, uh you know. I think you should, you should test for drugs just to make sure you're drug tested."
7,B,"Oh, uh, I was tested, uh, within my company. I think it's kind of a push to, uh, weed out drugs in states and, because I don't know of any other countries that are doing this","B|Oh, uh, I was tested, uh, within my company. I think it's kind of a push to, uh, weed out drugs in states and, because I don't know of any other countries that are doing this"
8,M,Uh-huh.,M|Uh-huh.
9,B,"and I, I feel like it's really just within the United States. It's, uh, it's okay. I think your record should stand for itself. That, you know, if you've been tested at other companies and you've always come up negative or whatever, then I don't see what the big deal is that they have to go to all the expense of testing you over and over and over.","B|and I, I feel like it's really just within the United States. It's, uh, it's okay. I think your record should stand for itself. That, you know, if you've been tested at other companies and you've always come up negative or whatever, then I don't see what the big deal is that they have to go to all the expense of testing you over and over and over."
10,M,"Uh, I, uh.","M|Uh, I, uh."
11,B,"And once you've established the fact that you're not a drug user and especially if your personality proves that you're not. I think they could, uh, save money by not doing that. You know, every time, say if you change jobs you wouldn't have to do it if you'd just been tested at your other work place.","B|And once you've established the fact that you're not a drug user and especially if your personality proves that you're not. I think they could, uh, save money by not doing that. You know, every time, say if you change jobs you wouldn't have to do it if you'd just been tested at your other work place."
12,M,Yeah.,M|Yeah.
13,B,Oh.,B|Oh.
14,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
15,B,"Uh, not if it's done fairly. And that's probably my question is, how, how do you know it's done fairly.","B|Uh, not if it's done fairly. And that's probably my question is, how, how do you know it's done fairly."
16,M,Uh-huh.,M|Uh-huh.
17,B,Yeah.,B|Yeah.
18,M,"but if it is done fairly well, then maybe that's a problem.","M|but if it is done fairly well, then maybe that's a problem."
19,B,"Well, they might tell you it's random.","B|Well, they might tell you it's random."
20,M,"Yeah, well, that's true.","M|Yeah, well, that's true."
21,B,"But then, you know, it's kind of like a, a lottery. Somebody in their lifetime may win millions of dollars where another person doesn't win anything, and tries and tries and tries. You know.","B|But then, you know, it's kind of like a, a lottery. Somebody in their lifetime may win millions of dollars where another person doesn't win anything, and tries and tries and tries. You know."
22,M,Yeah. I think that's true.,M|Yeah. I think that's true.
23,B,"Oh, I see. How'd, how did they, how do they pick their people?","B|Oh, I see. How'd, how did they, how do they pick their people?"
24,M,"Uh, they, uh, they go through the list of, of potential applicants, and, and sort of weed them out.","M|Uh, they, uh, they go through the list of, of potential applicants, and, and sort of weed them out."
25,B,Uh-huh.,B|Uh-huh.
26,M,"and then they have to pick from a list of, of, uh, college athletes that they want to be drug tested.","M|and then they have to pick from a list of, of, uh, college athletes that they want to be drug tested."
27,B,"Oh, I see. So, do you ...","B|Oh, I see. So, do you ..."
28,M,"And, uh.","M|And, uh."
29,B,"Right. Well, do you think that should be implemented in the work place. You know, as like a manager or supervisor thinks or has suspicion that someone is using drugs, do you think they should have the right to send them to be tested.","B|Right. Well, do you think that should be implemented in the work place. You know, as like a manager or supervisor thinks or has suspicion that someone is using drugs, do you think they should have the right to send them to be tested."
30,M,I don't think they have the authority to say that.,M|I don't think they have the authority to say that.
31,B,Right.,B|Right.
32,M,"but, uh,","M|but, uh,"
33,B,Right.,B|Right.
34,M,and I think it's a big problem.,M|and I think it's a big problem.
35,B,"Right, right. Yeah, it, it would almost be like a, a, uh ...","B|Right, right. Yeah, it, it would almost be like a, a, uh ..."
36,M,"I, I don't know, I, I think I, it's interesting that, that, you know, we have such a high level of self-discipline and I think it's becoming a major problem.","M|I, I don't know, I, I think I, it's interesting that, that, you know, we have such a high level of self-discipline and I think it's becoming a major problem."
37,B,"Uh-huh. And then how would you feel afterwards when you came up negative and, you know, your supervisor has accused you of using drugs.","B|Uh-huh. And then how would you feel afterwards when you came up negative and, you know, your supervisor has accused you of using drugs."
38,M,!!!%!!;!! Remind me of that now.,M|!!!%!!;!! Remind me of that now.
39,B,"Right. I agree with that. Because I know personally myself, I've been in the same job for three years, it will be three years in August and I've already been drug tested three times.","B|Right. I agree with that. Because I know personally myself, I've been in the same job for three years, it will be three years in August and I've already been drug tested three times."
40,M,"Oh, I see.","M|Oh, I see."
41,B,"Well, I'm an environmental engineer","B|Well, I'm an environmental engineer"
42,M,Uh-oh.,M|Uh-oh.
43,B,"and I've been drug tested three times and I know many people that have never been tested in their lifetime and the company I work for is sixty thousand people, plus. So see I, for some reason, I've come up three times. That's pretty high statistics.","B|and I've been drug tested three times and I know many people that have never been tested in their lifetime and the company I work for is sixty thousand people, plus. So see I, for some reason, I've come up three times. That's pretty high statistics."
44,M,"Uh, do you know what I mean?","M|Uh, do you know what I mean?"
45,B,"No. No, not at all.","B|No. No, not at all."
46,M,"You know, I, I don't know, that's, that would be a tough question. I don tinker with it, but, uh, I think that's what they, they do it for.","M|You know, I, I don't know, that's, that would be a tough question. I don tinker with it, but, uh, I think that's what they, they do it for."
47,B,"It's a legal job, you know","B|It's a legal job, you know"
48,M,"Yeah, it's a job that's, that's for certain, and, uh, I, I don't know, I just don't think that, that there should be a, a broad based, uh policy.","M|Yeah, it's a job that's, that's for certain, and, uh, I, I don't know, I just don't think that, that there should be a, a broad based, uh policy."
49,B,"so, see it's really strange.","B|so, see it's really strange."
50,M,"Yeah, yeah.","M|Yeah, yeah."
51,B,"Oh, uh-huh.","B|Oh, uh-huh."
52,M,"and they asked me if I had a certain doctor, and I said yes, and that was it.","M|and they asked me if I had a certain doctor, and I said yes, and that was it."
53,B,"Right. Well, does your, the company say, for instance, does the company you worked for before have the right or do they have the ability to say, hey, we've already drug tested her and she came up negative.","B|Right. Well, does your, the company say, for instance, does the company you worked for before have the right or do they have the ability to say, hey, we've already drug tested her and she came up negative."
54,M,"Uh, I think they're required to say something, I don t remember what it is, but they do have the, uh a list of things that they want you to do.","M|Uh, I think they're required to say something, I don t remember what it is, but they do have the, uh a list of things that they want you to do."
55,B,Yeah.,B|Yeah.
56,M,"I mean, I've, I have, I'm a certified teacher and I, you know, I know what a drug test is and I don tinker around with it or anything.","M|I mean, I've, I have, I'm a certified teacher and I, you know, I know what a drug test is and I don tinker around with it or anything."
57,B,"Right, right.","B|Right, right."
58,M,And I was a little upset about that.,M|And I was a little upset about that.
59,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
60,M,"And I think that's one of the reasons why they were, they were having a hard time with that and I think it's important that, that, you know, they had to do something about it.","M|And I think that's one of the reasons why they were, they were having a hard time with that and I think it's important that, that, you know, they had to do something about it."
61,B,Uh-huh. Yeah. And are they tested random?,B|Uh-huh. Yeah. And are they tested random?
62,M,"Yeah, they, they are.","M|Yeah, they, they are."
63,B,They're ...,B|They're ...
