,Speaker,Utterance,Unified
5,B,"Oh, boy.","B|Oh, boy."
6,M,"Yeah, so he's a little bit young for a kindergartner.","M|Yeah, so he's a little bit young for a kindergartner."
7,B,Yeah.,B|Yeah.
8,M,We have a seven year old and a three year old.,M|We have a seven year old and a three year old.
9,B,Are you? Where are a student?,B|Are you? Where are a student?
10,M,"Uh, University of Rochester.","M|Uh, University of Rochester."
11,B,No kidding.,B|No kidding.
12,M,"Yeah, so that's a real change.","M|Yeah, so that's a real change."
13,B,I was a professor in a university here in California for a while.,B|I was a professor in a university here in California for a while.
14,M,"Oh, really?","M|Oh, really?"
15,B,"Yeah, uh, are you going to, uh, put your son in child care in a, a year or two?","B|Yeah, uh, are you going to, uh, put your son in child care in a, a year or two?"
16,M,Uh-huh.,M|Uh-huh.
17,B,Yeah.,B|Yeah.
18,M,and so that's going away.,M|and so that's going away.
19,B,Uh-huh.,B|Uh-huh.
20,M,"So, uh.","M|So, uh."
21,B,Yeah.,B|Yeah.
22,M,"And, uh, so, we, we have, uh","M|And, uh, so, we, we have, uh"
23,B,Yeah. Yeah.,B|Yeah. Yeah.
24,M,"And, uh.","M|And, uh."
25,B,"Well, that's a good experience, I think, and, uh, there are a lot of things to think about and the articles that are written on the topic, are pretty good and they kind of boil down to, uh, any other important decision you really have to explore the alternative","B|Well, that's a good experience, I think, and, uh, there are a lot of things to think about and the articles that are written on the topic, are pretty good and they kind of boil down to, uh, any other important decision you really have to explore the alternative"
26,M,Uh-huh.,M|Uh-huh.
27,B,"and what we found, uh, to be the best guide was our own instincts about, people who were going to be loving","B|and what we found, uh, to be the best guide was our own instincts about, people who were going to be loving"
28,M,Uh.,M|Uh.
29,B,"and, uh, that's more important than anything else. We could have sent, uh, her to a fancier, uh, facility.","B|and, uh, that's more important than anything else. We could have sent, uh, her to a fancier, uh, facility."
30,M,Right.,M|Right.
31,B,"Uh, she goes to a home. This is a, uh, a couple, uh, emigrated from China early in, in their lives.","B|Uh, she goes to a home. This is a, uh, a couple, uh, emigrated from China early in, in their lives."
32,M,Huh.,M|Huh.
33,B,"They've been here probably thirty, forty years.","B|They've been here probably thirty, forty years."
34,M,Thirty years?,M|Thirty years?
35,B,"They've got three daughters. Uh, and, they have a loving home and, uh, they're both there and they have a kid that comes in and helps them in the afternoon.","B|They've got three daughters. Uh, and, they have a loving home and, uh, they're both there and they have a kid that comes in and helps them in the afternoon."
36,M,Oh.,M|Oh.
37,B,"And our daughter is healthy, happy, well adjusted and enjoys going to see her friends,","B|And our daughter is healthy, happy, well adjusted and enjoys going to see her friends,"
38,M,Uh.,M|Uh.
39,B,so it's a good experience.,B|so it's a good experience.
40,M,"Yeah, I've never had to leave my kids at home without them,","M|Yeah, I've never had to leave my kids at home without them,"
41,B,"I if it's good, I think it's very good for the child.","B|I if it's good, I think it's very good for the child."
42,M,"Yeah, I, I agree with you there.","M|Yeah, I, I agree with you there."
43,B,"And if it's, a loving environment, I think it's very good and, and that's really what we've learned about it. She'll have to go on to something more stimulating in terms of preschool in a year","B|And if it's, a loving environment, I think it's very good and, and that's really what we've learned about it. She'll have to go on to something more stimulating in terms of preschool in a year"
44,M,Yeah.,M|Yeah.
45,B,"but, uh, we feel real fortunate and we were able to, uh, just, uh, choose in the marketplace. I don't know what it's like around, uh, Hattiesburg.","B|but, uh, we feel real fortunate and we were able to, uh, just, uh, choose in the marketplace. I don't know what it's like around, uh, Hattiesburg."
46,M,!!!;!! Remind me of that.,M|!!!;!! Remind me of that.
47,B,Uh-huh. Yeah.,B|Uh-huh. Yeah.
