,Speaker,Utterance,Unified
5,B,Right,B|Right
6,M,and we all enjoy it. Um.,M|and we all enjoy it. Um.
7,B,"Well, I, I really choose restaurants more for the quality of food than anything else.","B|Well, I, I really choose restaurants more for the quality of food than anything else."
8,M,Uh-huh.,M|Uh-huh.
9,B,"Well, a little bit for the price,","B|Well, a little bit for the price,"
10,M,Yeah.,M|Yeah.
11,B,"but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food.","B|but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food."
12,M,!!!%!!;!!etingrange!!ival!! There you go.,M|!!!%!!;!!etingrange!!ival!! There you go.
13,B,"Really. Um, a lot of places that even don't look, don't look like much.","B|Really. Um, a lot of places that even don't look, don't look like much."
14,M,Um.,M|Um.
15,B,"Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up and I was like, I'm not eating in there Are you nuts? And, uh, we went in and it was the it was the most wonderful food.","B|Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up and I was like, I'm not eating in there Are you nuts? And, uh, we went in and it was the it was the most wonderful food."
16,M,I bet.,M|I bet.
17,B,Yeah.,B|Yeah.
18,M,"And, uh.","M|And, uh."
19,B,I'm serious.,B|I'm serious.
20,M,Really?,M|Really?
21,B,"Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya.","B|Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya."
22,M,Uh-huh.,M|Uh-huh.
23,B,"No, that's not right. That's not right. That's not right.","B|No, that's not right. That's not right. That's not right."
24,M,"That's not even right. Um, I, I think that's the worst thing I think we could come up with. I think, I mean, I don't know, it just, I'm not sure what the criteria are. I guess I, it's, I guess it's not just, you know, I don't know. I mean I do, I have not been in the situation where, uh.","M|That's not even right. Um, I, I think that's the worst thing I think we could come up with. I think, I mean, I don't know, it just, I'm not sure what the criteria are. I guess I, it's, I guess it's not just, you know, I don't know. I mean I do, I have not been in the situation where, uh."
25,B,"someone in the What's the name of that restaurant? in the background Where at? . someone in the background The Hari Krishna. in the background relies Oh. Kalachandji's . Kalachandji's. It's all vegetarian, and it, it was just fabulous. I mean, my husband was aghast because I ate turnip greens and liked it.","B|someone in the What's the name of that restaurant? in the background Where at? . someone in the background The Hari Krishna. in the background relies Oh. Kalachandji's . Kalachandji's. It's all vegetarian, and it, it was just fabulous. I mean, my husband was aghast because I ate turnip greens and liked it."
