,Speaker,Utterance,Unified
5,B,"Were you up in, in Wisconsin or would you go into where would you camp ?","B|Were you up in, in Wisconsin or would you go into where would you camp ?"
6,M,"Um, no. I'm in New York.","M|Um, no. I'm in New York."
7,B,Uh-huh.,B|Uh-huh.
8,M,"And there's places in Minnesota, Minnesota that are really nice, and there's also places in, uh Minnesota that look pretty nice, but they're real limited in what they can offer.","M|And there's places in Minnesota, Minnesota that are really nice, and there's also places in, uh Minnesota that look pretty nice, but they're real limited in what they can offer."
9,B,"Oh, yeah. That's beautiful.","B|Oh, yeah. That's beautiful."
10,M,Yeah.,M|Yeah.
11,B,Right,B|Right
12,M,Oh.,M|Oh.
13,B,"Oh, yeah. Well, most of my camping, I haven't done much since I was a kid but, uh, we'd, basically, take the tent up in the Sierras and, uh, usually just camp near some stream  or some lake.","B|Oh, yeah. Well, most of my camping, I haven't done much since I was a kid but, uh, we'd, basically, take the tent up in the Sierras and, uh, usually just camp near some stream  or some lake."
14,M,Uh-huh.,M|Uh-huh.
15,B,"And, uh, just, it wasn't even a, a full tent. It would be more a tarp, uh strung up between trees","B|And, uh, just, it wasn't even a, a full tent. It would be more a tarp, uh strung up between trees"
16,M,Uh.,M|Uh.
17,B,"and, uh, we just thought it was absolute heaven.","B|and, uh, we just thought it was absolute heaven."
18,M,Oh.,M|Oh.
19,B,"Uh, there was certainly nothing like a, a bathroom, a shower or anything, near by It was dig your own hole and, uh  and I I'm not sure I'd do that  that anymore,","B|Uh, there was certainly nothing like a, a bathroom, a shower or anything, near by It was dig your own hole and, uh  and I I'm not sure I'd do that  that anymore,"
20,M,Uh-hums.,M|Uh-hums.
21,B,"but it's, it, uh, uh, actually some friends of mine and I are planning to camp this summer, uh, for four days. Also  going fishing, uh","B|but it's, it, uh, uh, actually some friends of mine and I are planning to camp this summer, uh, for four days. Also  going fishing, uh"
22,M,"Oh, that's nice.","M|Oh, that's nice."
23,B,"and I have a idea it's going to be a, a lot more equipment and a lot more stuff than  before.","B|and I have a idea it's going to be a, a lot more equipment and a lot more stuff than  before."
24,M,"Yeah. Yeah. Well, I know, uh. I think it's just going to have to be, uh you know, it's got to be something that, you know you can actually get out and do.","M|Yeah. Yeah. Well, I know, uh. I think it's just going to have to be, uh you know, it's got to be something that, you know you can actually get out and do."
25,B,"Yeah. But,","B|Yeah. But,"
26,M,"It was, it was, uh.","M|It was, it was, uh."
27,B,Yeah.,B|Yeah.
28,M,"It's like I don, I don'mamma, I'm not going to do that.","M|It's like I don, I don'mamma, I'm not going to do that."
29,B,"Oh, my.","B|Oh, my."
30,M,!!!%!!;!! RemindMe!!,M|!!!%!!;!! RemindMe!!
31,B,Uh-huh.,B|Uh-huh.
32,M,"And so that's, that's been our experience. We've been there quite a bit of times. We, we have a group of friends that, uh","M|And so that's, that's been our experience. We've been there quite a bit of times. We, we have a group of friends that, uh"
