,Speaker,Utterance,Unified
5,B,"Uh, usually either black or red.","B|Uh, usually either black or red."
6,M,Yeah.,M|Yeah.
7,B,"And electric windows, and power locks","B|And electric windows, and power locks"
8,M,Yeah.,M|Yeah.
9,B,"Now,","B|Now,"
10,M,"that's, that's the way we were living, I guess.","M|that's, that's the way we were living, I guess."
11,B,"Well, not so much that as it is, I've had so many times when, uh, uh, you know, I'll have a friend next to me or I see somebody, uh, guy broken down on the side of the road and try to lean over and roll down the window.","B|Well, not so much that as it is, I've had so many times when, uh, uh, you know, I'll have a friend next to me or I see somebody, uh, guy broken down on the side of the road and try to lean over and roll down the window."
12,M,Uh-huh.,M|Uh-huh.
13,B,"It is just a real pain, or, you know, if I'm driving along and there's somebody next to me and, uh, somebody that I know and you try to talk to them it's real difficult to drive, reach over, and try to roll down the window.","B|It is just a real pain, or, you know, if I'm driving along and there's somebody next to me and, uh, somebody that I know and you try to talk to them it's real difficult to drive, reach over, and try to roll down the window."
14,M,Uh-huh.,M|Uh-huh.
15,B,"And, uh, so, power locks, power windows are just, just things that, uh, just really help a lot","B|And, uh, so, power locks, power windows are just, just things that, uh, just really help a lot"
16,M,Right.,M|Right.
17,B,What about you?,B|What about you?
18,M,"Well, I'm, I work at T I.","M|Well, I'm, I work at T I."
19,B,Oh.,B|Oh.
20,M,"But, uh.","M|But, uh."
21,B,Sure.,B|Sure.
22,M,"and I just, I don, I can not even, I mean, I, I think that, that I just can not put myself through college without a, uh a master's degree in something that I'm not good at.","M|and I just, I don, I can not even, I mean, I, I think that, that I just can not put myself through college without a, uh a master's degree in something that I'm not good at."
23,B,Have you ever had a car with an air bag?,B|Have you ever had a car with an air bag?
24,M,"Uh, no.","M|Uh, no."
25,B,No.,B|No.
26,M,"I, I'm, I've, I went to the auto show this weekend and they had a big thing about air bags and how they're supposed to work.","M|I, I'm, I've, I went to the auto show this weekend and they had a big thing about air bags and how they're supposed to work."
27,B,"Well, it, it sure seems to save lives and","B|Well, it, it sure seems to save lives and"
28,M,"Yeah, I know.","M|Yeah, I know."
29,B,"uh, yeah. I, actually, I like the anti-lock brakes.","B|uh, yeah. I, actually, I like the anti-lock brakes."
30,M,Uh-huh.,M|Uh-huh.
31,B,"And I have never had a chance to, I have been in cars that have had them, but I've never tromped on the brakes to see, uh, you know, on ice or water just to see if they didn't lock up.","B|And I have never had a chance to, I have been in cars that have had them, but I've never tromped on the brakes to see, uh, you know, on ice or water just to see if they didn't lock up."
32,M,"Yeah, I, I think that's, that, that would be a good thing to do.","M|Yeah, I, I think that's, that, that would be a good thing to do."
33,B,"But, uh, you think you'd buy, uh, an American car or a European or Japanese?","B|But, uh, you think you'd buy, uh, an American car or a European or Japanese?"
34,M,"Well, I think I would like to, but unfortunately I'm not familiar with those either.","M|Well, I think I would like to, but unfortunately I'm not familiar with those either."
35,B,What was that?,B|What was that?
36,M,Ause.,M|Ause.
37,B,"Huh, stick shift, huh?","B|Huh, stick shift, huh?"
38,M,"Yeah, that, that was the Chrysler.","M|Yeah, that, that was the Chrysler."
39,B,"Did it have, what, a three speed or a four speed?","B|Did it have, what, a three speed or a four speed?"
40,M,"Um, three eighty-six.","M|Um, three eighty-six."
41,B,Wow.,B|Wow.
42,M,"And, uh, I thought, well, that's a pretty good deal. And, uh.","M|And, uh, I thought, well, that's a pretty good deal. And, uh."
43,B,"Well, actually, I much prefer a stick shift and, what, I'm, I'm curious. I, I know why I love a stick shift. Why why did you want one?","B|Well, actually, I much prefer a stick shift and, what, I'm, I'm curious. I, I know why I love a stick shift. Why why did you want one?"
44,M,"Well I just like, I just really like it. I think it's, it's so smooth and, and, uh, and it's the only thing that I hate is if you drive it wrong you can't get out of control.","M|Well I just like, I just really like it. I think it's, it's so smooth and, and, uh, and it's the only thing that I hate is if you drive it wrong you can't get out of control."
45,B,Uh-huh.,B|Uh-huh.
46,M,"And I just, I really just like, I, uh, I like to have the automatic transmission on my car.","M|And I just, I really just like, I, uh, I like to have the automatic transmission on my car."
47,B,It's hard to find stick shift cars anymore.,B|It's hard to find stick shift cars anymore.
48,M,"Well they, they're, they've come in handy.","M|Well they, they're, they've come in handy."
49,B,"Huh, yeah.","B|Huh, yeah."
50,M,"But, uh,","M|But, uh,"
51,B,"No, I mean most of the sports cars are stick shift.","B|No, I mean most of the sports cars are stick shift."
52,M,"Yeah, yeah, well, I, I like the, the, I don't know, I guess the, uh, I'm not too much of a sports car person, I think I'm more of a, uh a luxury car person.","M|Yeah, yeah, well, I, I like the, the, I don't know, I guess the, uh, I'm not too much of a sports car person, I think I'm more of a, uh a luxury car person."
53,B,Huh.,B|Huh.
54,M,"But, uh, I don't know, I think there's still a, a lot of options. There's a lot, but I don, I really don't see a, I guess there's a good use for a fifth wheel than a standard.","M|But, uh, I don't know, I think there's still a, a lot of options. There's a lot, but I don, I really don't see a, I guess there's a good use for a fifth wheel than a standard."
55,B,Huh.,B|Huh.
56,M,"And so I was thinking well, you know, maybe, you need to go to a dealer and ask him about it.","M|And so I was thinking well, you know, maybe, you need to go to a dealer and ask him about it."
57,B,"Uh, I guess I, I grew up on it and it's fun. It's, it's an enjoyable part of driving. I do feel like I have, uh, more control over the car","B|Uh, I guess I, I grew up on it and it's fun. It's, it's an enjoyable part of driving. I do feel like I have, uh, more control over the car"
58,M,Uh-huh.,M|Uh-huh.
