,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
6,M,"But, uh I don't know, I mean, I'm, I've seen it, I don know, in some of these, uh in some, in certain areas in certain counties.","M|But, uh I don't know, I mean, I'm, I've seen it, I don know, in some of these, uh in some, in certain areas in certain counties."
7,B,"Uh, well, of course, you talk gun controls down here in Texas and you're asking to be lynched.","B|Uh, well, of course, you talk gun controls down here in Texas and you're asking to be lynched."
8,M,Yeah.,M|Yeah.
9,B,Uh-huh.,B|Uh-huh.
10,M,"and, uh, she said that, uh that she had a gun at her house,","M|and, uh, she said that, uh that she had a gun at her house,"
11,B,"Well, it's very true, now I'm a, uh, New Yorker by birth.","B|Well, it's very true, now I'm a, uh, New Yorker by birth."
12,M,"Uh, uh-hope.","M|Uh, uh-hope."
13,B,"Although I claim Florida as my home now, uh, I have two sons living down there but I also have two sons living elsewhere,  one in Tennessee, one in Mississippi.","B|Although I claim Florida as my home now, uh, I have two sons living down there but I also have two sons living elsewhere,  one in Tennessee, one in Mississippi."
14,M,"Oh, really?","M|Oh, really?"
15,B,"But I lived in in Florida for ten years and I kind of like it down there, but they had a gun control law which went a little bit too far.","B|But I lived in in Florida for ten years and I kind of like it down there, but they had a gun control law which went a little bit too far."
16,M,"Oh, yeah.","M|Oh, yeah."
17,B,"I think uh, well in your words, they were a little bit too liberal.","B|I think uh, well in your words, they were a little bit too liberal."
18,M,Right.,M|Right.
19,B,I mean they they I believe if I'm correct I believe they permitted their carrying concealed weapons.,B|I mean they they I believe if I'm correct I believe they permitted their carrying concealed weapons.
20,M,Uh-huh.,M|Uh-huh.
21,B,But they uh quickly did away with it.,B|But they uh quickly did away with it.
22,M,"Oh, I see.","M|Oh, I see."
23,B,I think in the next session they they uh modified it but it's still legal to own or possess weapons in uh uh Florida.,B|I think in the next session they they uh modified it but it's still legal to own or possess weapons in uh uh Florida.
24,M,"Oh, I see.","M|Oh, I see."
25,B,The the one week uh seven day the delay,B|The the one week uh seven day the delay
26,M,Uh-huh.,M|Uh-huh.
27,B,Uh huh.,B|Uh huh.
28,M,And you have to register with the gun club and all that.,M|And you have to register with the gun club and all that.
29,B,Well I don't mind that too much,B|Well I don't mind that too much
30,M,Yeah.,M|Yeah.
31,B,I'm I'm with the N R A myself.,B|I'm I'm with the N R A myself.
32,M,!!!%!! RemindMe!! Auto attacks or something.,M|!!!%!! RemindMe!! Auto attacks or something.
33,B,"And uh, uh Really the only objection we have Is uh you you give a little and next thing you know somebody's trying to take more.","B|And uh, uh Really the only objection we have Is uh you you give a little and next thing you know somebody's trying to take more."
34,M,Uh-huh.,M|Uh-huh.
35,B,Yeah.,B|Yeah.
36,M,"and I don't know if you have any strong opinions on that or not, but I, I do, I have a strong opinion that, uh, that, that the death penalty is, is a, is an over use of the death row.","M|and I don't know if you have any strong opinions on that or not, but I, I do, I have a strong opinion that, uh, that, that the death penalty is, is a, is an over use of the death row."
37,B,Well then tell me do you consider yourself a liberal?,B|Well then tell me do you consider yourself a liberal?
38,M,"Well, I, I think, uh, the way the courts are set up now, I don't know if I would call myself a liberal but I think that the way they process the appeal process is, is, uh you know, uh","M|Well, I, I think, uh, the way the courts are set up now, I don't know if I would call myself a liberal but I think that the way they process the appeal process is, is, uh you know, uh"
39,B,Well let me ask you this then.,B|Well let me ask you this then.
40,M,"I think, I think that, uh, we've come a long way in the, in the making of a better country.","M|I think, I think that, uh, we've come a long way in the, in the making of a better country."
41,B,How is your what is your feeling about uh uh expressing yourself by burning the American flag?,B|How is your what is your feeling about uh uh expressing yourself by burning the American flag?
42,M,"Well, I'm pretty, I don't like burning the flag, but I do respect the right to freedom of speech and I do, I think that, uh, burning of the flag is, uh","M|Well, I'm pretty, I don't like burning the flag, but I do respect the right to freedom of speech and I do, I think that, uh, burning of the flag is, uh"
43,B,Huh.,B|Huh.
