,response,context,context/0,context/1,context/2,context/3
0,yeah,be my left as well,right ehm go just beyond the crest falls to to well it's my left anyway mmhmm i think it,oh right i've got it see it anyway right,the start is ah here it's due north of the crest falls at the bottom right-hand side of your page,ah where do i start ross
1,right,ah yeah to to the to the west then okay,be my left as well,right ehm go just beyond the crest falls to to well it's my left anyway mmhmm i think it,oh right i've got it see it anyway right,the start is ah here it's due north of the crest falls at the bottom right-hand side of your page
2,right to the east then turn to your right,west,ah yeah to to the to the west then okay,be my left as well,right ehm go just beyond the crest falls to to well it's my left anyway mmhmm i think it,oh right i've got it see it anyway right
3,mmhmm,come due south to level at the bottom of crest falls,west,ah yeah to to the to the west then okay,be my left as well,right ehm go just beyond the crest falls to to well it's my left anyway mmhmm i think it
4,ehm you're about three inches,how far do you west do you want me to go,come due south to level at the bottom of crest falls,west,ah yeah to to the to the west then okay,be my left as well
5,right,just beyond crest falls,how far do you west do you want me to go,come due south to level at the bottom of crest falls,west,ah yeah to to the to the west then okay
6,right i'm there,right okay yes,just beyond crest falls,how far do you west do you want me to go,come due south to level at the bottom of crest falls,west
7,yeah,due south to level at the bottom of crest falls that sounded like a long line ken,right okay yes,just beyond crest falls,how far do you west do you want me to go,come due south to level at the bottom of crest falls
8,right,just the bottom,due south to level at the bottom of crest falls that sounded like a long line ken,right okay yes,just beyond crest falls,how far do you west do you want me to go
9,uh-huh,it's right ehm go right along to about an inch from the end of the paper,just the bottom,due south to level at the bottom of crest falls that sounded like a long line ken,right okay yes,just beyond crest falls
10,and then go up,right,it's right ehm go right along to about an inch from the end of the paper,just the bottom,due south to level at the bottom of crest falls that sounded like a long line ken,right okay yes
11,okay,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,right,it's right ehm go right along to about an inch from the end of the paper,just the bottom,due south to level at the bottom of crest falls that sounded like a long line ken
12,"!!!!,!!'!!""!!2018!!2019!!2020!!2017!! 2018!!4!!8!!6!!7!!88!!!.!!86!!886!!84!!,!!889!!888!!89!!",east over the footbridge,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,right,it's right ehm go right along to about an inch from the end of the paper,just the bottom
13,"!!!!,!!'!!""!!2019!!2018!!2020!!2017!!2016!! 2016!!4!!8!!6!!7!!2!!88!!",yeah just stop,east over the footbridge,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,right,it's right ehm go right along to about an inch from the end of the paper
14,"!!!""!!'!! Siri!!okay!!!'!!2!!",right,yeah just stop,east over the footbridge,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,right
15,no,ah right do you have a poisoned stream directly east,right,yeah just stop,east over the footbridge,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge
16,no okay go down about an inch and a half,no,ah right do you have a poisoned stream directly east,right,yeah just stop,east over the footbridge
