,response,context,context/0,context/1,context/2,context/3
0,yeah,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh,right so the start is at the top left-hand side of the page
1,right,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh
2,mm right,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right
3,ehm about two and a half inches,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs
4,uh i've got a forge about two and a half inches below the cliff what do you want me to do,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe
5,and then you go straight along,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no
6,mmhmm,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve
7,about er maybe ten centimetres,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down
8,right i'm on the right-hand,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs
9,so you want to go,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right
10,i've got a forge about two inches below the cliffs okay,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches
11,right i've got a forge about two inches to the left,no hold on a minute,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page
12,right okay,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there
13,yeah you're under the,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about,right
14,"right well i'll tell you what right you're under the ""t"" of cliffs",no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about
15,right,no,no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute
16,right,no the initial line from the cross,no,no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay
17,"!!!!'!!'!! Rem!!okay!!remote!!right!!i!!s!!r!!""!!,!!4!!8!!6!!7!!754!!8000!!!!!!",mmhmm,no the initial line from the cross,no,no no,right hold on wait a minute am i right under the sandstone cliffs
18,oh right,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross,no,no no
19,and then you're going to do a forty-five degree line straight down at forty-f degrees,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross,no
20,right,it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross
21,right,uh-huh,it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm
22,uh right okay,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs
23,uh just slightly underneath the start yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay,right okay
24,okay,yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay
25,right and then you've got a forge about an inch below the cliffs okay,right,yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh
26,right okay,until you're about you know four inches or four and a half inches or so down from the start,right,yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're
27,and then go straight down about three inches,okay,until you're about you know four inches or four and a half inches or so down from the start,right,yeah,right straight down under the start
28,yeah,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start,right,yeah
29,right,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start,right
30,yeah okay,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start
31,right okay,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay
32,okay,and down down as far as that okay,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine
33,and then curve round the top of it,right,and down down as far as that okay,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit
34,uh yeah,but you know beneath the start,right,and down down as far as that okay,uh-huh,yeah a single old pine
35,right i'm there,uh-huh,but you know beneath the start,right,and down down as far as that okay,uh-huh
36,so i go right underneath it,so then you go right which would be under the forge and you go up over the old pine okay,uh-huh,but you know beneath the start,right,and down down as far as that okay
37,yeah,right right up over the pine,so then you go right which would be under the forge and you go up over the old pine okay,uh-huh,but you know beneath the start,right
38,yeah,over the pine,right right up over the pine,so then you go right which would be under the forge and you go up over the old pine okay,uh-huh,but you know beneath the start
39,right okay,and i go right as far as the pine,over the pine,right right up over the pine,so then you go right which would be under the forge and you go up over the old pine okay,uh-huh
40,more or less yeah,yeah more or less,and i go right as far as the pine,over the pine,right right up over the pine,so then you go right which would be under the forge and you go up over the old pine okay
41,right,if you see what i mean,yeah more or less,and i go right as far as the pine,over the pine,right right up over the pine
42,right,as as long as you avoid the forge and the pine you you don't have to,if you see what i mean,yeah more or less,and i go right as far as the pine,over the pine
43,so you're going like diagonally down towards the pine grove,oh,as as long as you avoid the forge and the pine you you don't have to,if you see what i mean,yeah more or less,and i go right as far as the pine
44,well i've got a forge about two inches to the left of the pine so,worry too much about the exact,oh,as as long as you avoid the forge and the pine you you don't have to,if you see what i mean,yeah more or less
45,ok,okay i don't have a forge anyway,worry too much about the exact,oh,as as long as you avoid the forge and the pine you you don't have to,if you see what i mean
46,so i go down to the bottom of the pine grove,route but eh,okay i don't have a forge anyway,worry too much about the exact,oh,as as long as you avoid the forge and the pine you you don't have to
47,to the left-hand side of the fallen cairn,right up,route but eh,okay i don't have a forge anyway,worry too much about the exact,oh
48,uh-huh,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest,right up,route but eh,okay i don't have a forge anyway,worry too much about the exact
49,right go up about two inches,uh-huh,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest,right up,route but eh,okay i don't have a forge anyway
50,right,you have well just go down the left-hand side of the pine forest,uh-huh,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest,right up,route but eh
51,no you're just going straight along,am i and am i going straight kind of along the outline of the bay,you have well just go down the left-hand side of the pine forest,uh-huh,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest,right up
52,yes,you've got a bay there,am i and am i going straight kind of along the outline of the bay,you have well just go down the left-hand side of the pine forest,uh-huh,right so once you're at the top of the pine if you go about two and a half inches three inches to the right have you got a pine forest
53,right okay,uh-huh,you've got a bay there,am i and am i going straight kind of along the outline of the bay,you have well just go down the left-hand side of the pine forest,uh-huh
54,right okay,i don't have a bay there it'll be at the top,uh-huh,you've got a bay there,am i and am i going straight kind of along the outline of the bay,you have well just go down the left-hand side of the pine forest
55,right,uh-huh,i don't have a bay there it'll be at the top,uh-huh,you've got a bay there,am i and am i going straight kind of along the outline of the bay
56,uh i've got an apache camp it's it's below the apache,have you got a bay at the bottom,uh-huh,i don't have a bay there it'll be at the top,uh-huh,you've got a bay there
57,"right well just draw a line straight down 'til you're at the ""e"" of concealed hideout",yeah,have you got a bay at the bottom,uh-huh,i don't have a bay there it'll be at the top,uh-huh
58,yeah well head down past the centre of the map past the bottom of it,crane bay,yeah,have you got a bay at the bottom,uh-huh,i don't have a bay there it'll be at the top
59,yeah okay,uh-huh,crane bay,yeah,have you got a bay at the bottom,uh-huh
60,it's at the the top of the page right,where's the one at the top,uh-huh,crane bay,yeah,have you got a bay at the bottom
61,uh right okay right,it's just in the centre of the page at the top very top,where's the one at the top,uh-huh,crane bay,yeah
62,about two centimetres,how far down,it's just in the centre of the page at the top very top,where's the one at the top,uh-huh,crane bay
63,right,erm about an inch and a half,how far down,it's just in the centre of the page at the top very top,where's the one at the top,uh-huh
64,right,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest,erm about an inch and a half,how far down,it's just in the centre of the page at the top very top,where's the one at the top
65,"right so you're going down and then you're doing a ""u"" round the top of the bay",uh-huh okay,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest,erm about an inch and a half,how far down,it's just in the centre of the page at the top very top
66,right okay,okay once you're at the bottom of the pine forest just where it says pine,uh-huh okay,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest,erm about an inch and a half,how far down
67,right,mmhmm,okay once you're at the bottom of the pine forest just where it says pine,uh-huh okay,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest,erm about an inch and a half
68,right okay,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields,mmhmm,okay once you're at the bottom of the pine forest just where it says pine,uh-huh okay,yeah well don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest
69,right okay right,no,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields,mmhmm,okay once you're at the bottom of the pine forest just where it says pine,uh-huh okay
70,yeah,on your map no well the,no,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields,mmhmm,okay once you're at the bottom of the pine forest just where it says pine
71,you've got wheat fields down below that,oh yeah uh-huh,on your map no well the,no,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields,mmhmm
72,yeah,you have right,oh yeah uh-huh,on your map no well the,no,okay if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until have you got wheatfields
73,okay then you go straight down for about five centimetres,mmhmm,you have right,oh yeah uh-huh,on your map no well the,no
74,mm,well just draw the arc and stop the arc you know in line with the wheatfields but beneath the pine forest okay,mmhmm,you have right,oh yeah uh-huh,on your map no well the
