,response,context,context/0,context/1,context/2,context/3
0,mm,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls,right,we're starting down at the bottom right-hand corner nearly
1,right if you go along a bit diagonally eh from where you are just now,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls,right
2,mm,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls
3,the banana tree's on the right,my left or the paper's left towards the banana tree,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm
4,right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point
5,"!!!'!!!'!!""!!2016!!4!!456!!8!!56!!286!!6!!7!!88!!76!!",well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left,yeah
6,"!!!,!!'!!""!!!'!!226!!8!!147!!4!!7!!6!!987!!146!!424!!328!!488!!886!!286!!487!!288!!88!!688!!889!!84!!89!!92!!888!!!,!!!!!!!!!!!!!!!?!!!!!!!!!!!!!.!!'t!!86!!44!!",uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left
7,"!!!'!!!'!!2017!!2018!!2016!!4!!""!!8!!7!!6!!84!!88!!",right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree
8,right okay,go west,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one
9,"!!!'!!!'!!""!! Remnant!!!.!!,!!.!!2017!!7!!8!!6!!226!!147!!526!!428!!4!!48!!88!!248!!VW!!288!!286!!328!!",okey-dokey,go west,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right
10,right okay,until you've just got past the edge of the crest falls,okey-dokey,go west,right,uh-huh well say the top's north and
11,and then you go up about three inches,right,until you've just got past the edge of the crest falls,okey-dokey,go west,right
12,mmhmm,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls,okey-dokey,go west
13,right so you're going to come down on the left-hand side of the adventure playground,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls,okey-dokey
14,mmhmm,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls
15,then go up to the top of the west lake,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right
16,yes,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c"""
17,"!!!'!!!'!!2018!!2017!!2019!!2020!! 2020!!there!!you!!""!!,!!.!! Rem!!ok!!",just north of the banana tree yeah,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey
18,okay,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper
19,and then go up right and you should be near to the golden beach at the top of it,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge,right
20,right,and then from there go over right to the edge of the the the western side of footbridge,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge
21,"!!!'!!""!!86!!84!!92!!91!!8!!89!!!,!!226!!88!!886!!888!!.!!!!!!!!,!!4!!!!!!889!!",mmhmm,and then from there go over right to the edge of the the the western side of footbridge,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah
22,no,right and then the path the path starts again at the other side of the footbridge now do you have a poisoned stream there,mmhmm,and then from there go over right to the edge of the the the western side of footbridge,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge
23,no,no not at all,right and then the path the path starts again at the other side of the footbridge now do you have a poisoned stream there,mmhmm,and then from there go over right to the edge of the the the western side of footbridge,mmhmm
24,mm,well just at the the footbridge next to when you come off there's a poisoned stream so when you come off the footbridge you have to go due south maybe about an inch and a half,no not at all,right and then the path the path starts again at the other side of the footbridge now do you have a poisoned stream there,mmhmm,and then from there go over right to the edge of the the the western side of footbridge
25,and then you go along to your right and you go up,right,well just at the the footbridge next to when you come off there's a poisoned stream so when you come off the footbridge you have to go due south maybe about an inch and a half,no not at all,right and then the path the path starts again at the other side of the footbridge now do you have a poisoned stream there,mmhmm
26,right right,uh-huh and then och take a wee bit more to be safe just a wee touch more,right,well just at the the footbridge next to when you come off there's a poisoned stream so when you come off the footbridge you have to go due south maybe about an inch and a half,no not at all,right and then the path the path starts again at the other side of the footbridge now do you have a poisoned stream there
27,and then go straight up,mmhmm,uh-huh and then och take a wee bit more to be safe just a wee touch more,right,well just at the the footbridge next to when you come off there's a poisoned stream so when you come off the footbridge you have to go due south maybe about an inch and a half,no not at all
28,yeah,and then do you have an old temple,mmhmm,uh-huh and then och take a wee bit more to be safe just a wee touch more,right,well just at the the footbridge next to when you come off there's a poisoned stream so when you come off the footbridge you have to go due south maybe about an inch and a half
29,right go up about an inch and a half directly up,yes,and then do you have an old temple,mmhmm,uh-huh and then och take a wee bit more to be safe just a wee touch more,right
30,okay,right go along eastward for about two inches,yes,and then do you have an old temple,mmhmm,uh-huh and then och take a wee bit more to be safe just a wee touch more
31,then up and left and go along the top of the old temple in a circle,mmhmm,right go along eastward for about two inches,yes,and then do you have an old temple,mmhmm
32,mm,and then curve up until you're at the bottom of the old temple,mmhmm,right go along eastward for about two inches,yes,and then do you have an old temple
33,"!!!'!!2!!this!!""!!.!!226!!4!!",rightee-ho,and then curve up until you're at the bottom of the old temple,mmhmm,right go along eastward for about two inches,yes
34,"!!!'!!""!!226!!456!!228!!8!!84!!88!!889!!4!!888!!86!!886!!96!!92!!89!!98!!",mmhmm now go up about two and a half inches do you have anything above the old temple in that area up there,rightee-ho,and then curve up until you're at the bottom of the old temple,mmhmm,right go along eastward for about two inches
35,right right okay well go up three and a across to the left-hand side of the map,nothing up until a poisoned stream,mmhmm now go up about two and a half inches do you have anything above the old temple in that area up there,rightee-ho,and then curve up until you're at the bottom of the old temple,mmhmm
36,ehm no,right what about do you have an abandoned truck,nothing up until a poisoned stream,mmhmm now go up about two and a half inches do you have anything above the old temple in that area up there,rightee-ho,and then curve up until you're at the bottom of the old temple
37,left of it you're going,what way to the left of it,right what about do you have an abandoned truck,nothing up until a poisoned stream,mmhmm now go up about two and a half inches do you have anything above the old temple in that area up there,rightee-ho
38,right okay,uh-huh,what way to the left of it,right what about do you have an abandoned truck,nothing up until a poisoned stream,mmhmm now go up about two and a half inches do you have anything above the old temple in that area up there
39,okay,yeah,uh-huh,what way to the left of it,right what about do you have an abandoned truck,nothing up until a poisoned stream
40,there's a slate mountain,is there anything between the old temple and the truck,yeah,uh-huh,what way to the left of it,right what about do you have an abandoned truck
41,okay well what i suggest you do lllll ehm is like right there's a there's two kind of groups of pelicans but they're ehm they're they're sort of down and to the right of the old mill,eh slate mountain,is there anything between the old temple and the truck,yeah,uh-huh,what way to the left of it
42,okay so if you draw a line from the start,right i don't have that,eh slate mountain,is there anything between the old temple and the truck,yeah,uh-huh
43,"!!!'!!""!!':!!!--!!Moscow!!mm!! Bolshevik!!Lenin!! Assad!! Bolshe!! Lenin!!8!!7!!88!!4!!428!!754!!84!!286!!756!!96!!886!!487!!477!!46!!45!!888!!424!!44!!496!!448!!488!!,!!!!!!!!!!!!!!!!!!.!!===!!440!!423!!",mmhmm,right i don't have that,eh slate mountain,is there anything between the old temple and the truck,yeah
44,right,go two and a half inches up over the temple the up the side of it,mmhmm,right i don't have that,eh slate mountain,is there anything between the old temple and the truck
45,and then go left,right,go two and a half inches up over the temple the up the side of it,mmhmm,right i don't have that,eh slate mountain
46,mm,and then and then say an angle of northwest forty-five degrees,right,go two and a half inches up over the temple the up the side of it,mmhmm,right i don't have that
47,and that's the finish,mmhmm,and then and then say an angle of northwest forty-five degrees,right,go two and a half inches up over the temple the up the side of it,mmhmm
48,mm,go up for about two inches that would probably take you past the top of the,mmhmm,and then and then say an angle of northwest forty-five degrees,right,go two and a half inches up over the temple the up the side of it
49,yeah you go past the,up past the truck and the mountain,go up for about two inches that would probably take you past the top of the,mmhmm,and then and then say an angle of northwest forty-five degrees,right
50,yeah,something uh-huh,up past the truck and the mountain,go up for about two inches that would probably take you past the top of the,mmhmm,and then and then say an angle of northwest forty-five degrees
51,right and then you go along and you go up have you got a waterfall,right,something uh-huh,up past the truck and the mountain,go up for about two inches that would probably take you past the top of the,mmhmm
52,right right so i'm going down,and then back down at the same angle to well the opposite angle anyway to get you down to your abandoned truck just below it,right,something uh-huh,up past the truck and the mountain,go up for about two inches that would probably take you past the top of the
53,right now you want to go eh straight down from the farmer's gate,right,and then back down at the same angle to well the opposite angle anyway to get you down to your abandoned truck just below it,right,something uh-huh,up past the truck and the mountain
54,right so i'm going round in a sort of curve,and then go straight across the bottom of the abandoned truck,right,and then back down at the same angle to well the opposite angle anyway to get you down to your abandoned truck just below it,right,something uh-huh
55,right and then go right along to your right,mmhmm,and then go straight across the bottom of the abandoned truck,right,and then back down at the same angle to well the opposite angle anyway to get you down to your abandoned truck just below it,right
56,right okay,"until you're just below the ""a""",mmhmm,and then go straight across the bottom of the abandoned truck,right,and then back down at the same angle to well the opposite angle anyway to get you down to your abandoned truck just below it
57,okay then you're going to go down ehm southeast,right,"until you're just below the ""a""",mmhmm,and then go straight across the bottom of the abandoned truck,right
58,no,now have you got baboons,right,"until you're just below the ""a""",mmhmm,and then go straight across the bottom of the abandoned truck
59,right you're going to go up the left-hand side of the abandoned cottage,no,now have you got baboons,right,"until you're just below the ""a""",mmhmm
60,mmhmm,right now come due south,no,now have you got baboons,right,"until you're just below the ""a"""
61,for about three inches,yeah,right now come due south,no,now have you got baboons,right
62,yeah right,about an inch and a half to an inch and three quarters,yeah,right now come due south,no,now have you got baboons
63,and then you go due south to the bottom of the lagoon,mmhmm,about an inch and a half to an inch and three quarters,yeah,right now come due south,no
64,right,and then due west for about two inches uh then,mmhmm,about an inch and a half to an inch and three quarters,yeah,right now come due south
65,and go along about an inch to your right,right,and then due west for about two inches uh then,mmhmm,about an inch and a half to an inch and three quarters,yeah
66,yes,do you have a white mountain further up,right,and then due west for about two inches uh then,mmhmm,about an inch and a half to an inch and three quarters
67,right follow the line of the lake up to the left-hand side of the white mountain,yes uh-huh,do you have a white mountain further up,right,and then due west for about two inches uh then,mmhmm
68,right okay,"right now well the best thing to do first of all would be come back up to where you were at the ""a"" and the come up to make that a ""u"" shape",yes uh-huh,do you have a white mountain further up,right,and then due west for about two inches uh then
69,okay,mmhmm,"right now well the best thing to do first of all would be come back up to where you were at the ""a"" and the come up to make that a ""u"" shape",yes uh-huh,do you have a white mountain further up,right
70,right,and then draw a line straight between this point and maybe about half a centimetre to the west of the bottom of the white mountain,mmhmm,"right now well the best thing to do first of all would be come back up to where you were at the ""a"" and the come up to make that a ""u"" shape",yes uh-huh,do you have a white mountain further up
71,okay,right,and then draw a line straight between this point and maybe about half a centimetre to the west of the bottom of the white mountain,mmhmm,"right now well the best thing to do first of all would be come back up to where you were at the ""a"" and the come up to make that a ""u"" shape",yes uh-huh
72,mm,right now mm go up the side of the mountain until you're maybe follow the side for up until about half an inch below the summit,right,and then draw a line straight between this point and maybe about half a centimetre to the west of the bottom of the white mountain,mmhmm,"right now well the best thing to do first of all would be come back up to where you were at the ""a"" and the come up to make that a ""u"" shape"
73,then go straight up the left-hand side of it,mmhmm,right now mm go up the side of the mountain until you're maybe follow the side for up until about half an inch below the summit,right,and then draw a line straight between this point and maybe about half a centimetre to the west of the bottom of the white mountain,mmhmm
74,mm,and then change to going due north for about three inches,mmhmm,right now mm go up the side of the mountain until you're maybe follow the side for up until about half an inch below the summit,right,and then draw a line straight between this point and maybe about half a centimetre to the west of the bottom of the white mountain
75,yeah,up past the lemon grove,and then change to going due north for about three inches,mmhmm,right now mm go up the side of the mountain until you're maybe follow the side for up until about half an inch below the summit,right
76,well go to the right until you get to the top of the lemon ave,ah there's no lemon grove in this one,up past the lemon grove,and then change to going due north for about three inches,mmhmm,right now mm go up the side of the mountain until you're maybe follow the side for up until about half an inch below the summit
77,"!!!'!!2!!level!!4!!""!!7!!8!!6!!83!!92!! Slay the lost",right,ah there's no lemon grove in this one,up past the lemon grove,and then change to going due north for about three inches,mmhmm
