,response,context,context/0,context/1,context/2,context/3
0,"!!!'!!""!!2014!!2012!!224!!424!!444!!456!!88!!4!!8!!888!!84!!44!!86!!92!!886!!889!!288!!328!!248!!7!!488!!428!!VW!!148!!!!!!!!.!!48!!",that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert,okay yeah,okay start off above the diamond mine
1,and then you go along to your right about two inches,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert,okay yeah
2,right,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert
3,"!!!'!!!'!!':!!""!!1945!!2014!!428!! Slay the dead tree",oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right
4,no,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine
5,fast flowing river where is that in relation to the diamond mine,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm
6,well you have to go round the graveyard then,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole
7,uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard
8,well,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river
9,uh-hope so,right so i continue and go below the fast running creek,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek
10,okay,no go just until you go go below the diamond mine until just before the fast fast flowing river,right so i continue and go below the fast running creek,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be
