,response,context,context/0,context/1,context/2,context/3
0,i do yeah,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay,uh-huh,okay the start part is at the top left-hand corner
1,ok,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay,uh-huh
2,right okay,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay
3,"!!!""!!'!!()!!2008!!8!!2017!!7!!8000!!754!!2018!!6!!4!!84!!72!!88!!",right down there,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh
4,!!!!.!!'!!!'!!2017!!2018!!2020!!2019!! 2017!! 2018!!,right beside it you just go straight down underneath it,right down there,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there
5,"!!!!.!!'!!!'!!""!!':!!",right okay oops that was,right beside it you just go straight down underneath it,right down there,okay uh-huh,yeah right on the right-hand side roughly just
6,no,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it,right down there,okay uh-huh
7,right well you've got to go round the graveyard sort of thing,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it,right down there
8,"!!!'!!""!!.!!226!!556!!286!!8!!84!!86!!4!!88!!424!!92!!688!!96!!886!!,!!888!!7!!889!!89!!91!!887!!423!!u!!!!!!!!!!!!!!!!!!!!!!!!987!!oh!!!--!!okay!!mm!!!.!!!'!!MH!!'t!!i!!s!!have!!right!!there!!that!!god!!all!!you!!and!!now!!q!!got!!am!!can!!o!!ah!!eh!!up!!big!!this!!remote!!the!!within!!Ukraine!!az!!ken!!but!!Fu!!fields!!Ak!! Tokyo!! Kats!! Tag!!ex!!are!!yeah!!do!!py!!Leader!!e!!%!! Eva!!ac!!bay!!f!! Kab!!Unit!!uh!! Nato!!field!!__!!y!!b!!k!!if!!it!!Sum!!go!!a!!Yu!! Kit!!Mask!! Kob!!my!!Uk!!hit!!p!!Japan!! bab!! Fu!!!!!er!!",no no just ignore that,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it
9,right and then go straight up the page,right okay,no no just ignore that,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was
