,response,context,context/0,context/1,context/2,context/3
0,uh-huh,right see the start,right,oh aye sarah and danielle,you got to say sarah and danielle,right see the start
1,"!!!'!!!'!!""!!8!!4!!88!!2016!!2017!!2018!!2020!!2019!! 2016!!18!!488!!48!!248!!VW!!7!!8000!!6!!81!!84!!",it's above the diamond mine,right see the start,right,oh aye sarah and danielle,you got to say sarah and danielle
2,ehm come down to the left-hand side of the diamond,right,it's above the diamond mine,right see the start,right,oh aye sarah and danielle
3,and then go down about an inch and a half directly down,right,right,it's above the diamond mine,right see the start,right
4,ok,okay i want you go down about three inches,right,right,it's above the diamond mine,right see the start
5,go down,where down past the diamond mine,okay i want you go down about three inches,right,right,it's above the diamond mine
6,right to the right-hand side of the page,yeah,where down past the diamond mine,okay i want you go down about three inches,right,right
7,"!!!!,!!'!!!'!!""!!112!!226!!228!!456!!4!!424!!423!!236!!8!!88!!328!!288!!232!!48!!36!!",right,yeah,where down past the diamond mine,okay i want you go down about three inches,right
8,straight down,just down at the side just straight down,right,yeah,where down past the diamond mine,okay i want you go down about three inches
9,right i'm there,okay,just down at the side just straight down,right,yeah,where down past the diamond mine
10,mmhmm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down,right,yeah
11,and stop right underneath the fast flowing river,right mm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down,right
12,right,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine,okay,just down at the side just straight down
13,yeah,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine,okay
14,no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm,and then go round in a curve underneath the diamond mine
15,right so i'm going down towards the word diamond mine,no no no no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right,right mm
16,"!!!'!!!'!!""!!8!!4!!84!!81!!86!!88!!886!!91!!226!!87!!889!!89!!92!!96!!888!!7!!.!!,!!85!!!!!!!!!!!!!!!!!!!,!!you!!have!!okay!!there!!right!!on!!",past the diamond mine not that not that steep a curve like just,no no no no,no no no no,so i'm making a curve round the diamond mine yeah,then you want to start like carry on that curve for about four or five inches just gradually heading up the way right
17,"!!!!'!!'!!""!! Siri!!",pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no,no no no no,so i'm making a curve round the diamond mine yeah
18,right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no,no no no no
19,okay,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just,no no no no
20,no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly,past the diamond mine not that not that steep a curve like just
21,no,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine,pass it yeah just slightly
22,right,no right,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right,just like just more a wee bit more than a straight line along past the diamond mine
23,no,got a fast running creek and canoes and things,no right,ehm no,i i don't suppose you've got a graveyard have you,yeah right okay right
24,okay,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right,ehm no,i i don't suppose you've got a graveyard have you
25,ehm sort of up and round,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right,ehm no
26,right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things,no right
27,"!!!'!!'t!!!'!!""!! Rem!!okay!!you!!2!!8!!4!!7!!6!!72!!96!!",right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek,got a fast running creek and canoes and things
28,right okay,and down the right-hand side,right,yeah over the top,what round up the top of it,yeah okay what you want to do is is you want to be sort of like going up and then curving right round the fast flowing creek
29,mmhmm,the right-hand side,and down the right-hand side,right,yeah over the top,what round up the top of it
30,okay,right,the right-hand side,and down the right-hand side,right,yeah over the top
31,and then go straight along,yeah,right,the right-hand side,and down the right-hand side,right
32,mmhmm,see your apache camp,yeah,right,the right-hand side,and down the right-hand side
33,right go up and above them,yeah,see your apache camp,yeah,right,the right-hand side
34,mmhmm,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp,yeah,right
35,right go right down to the side of the apache village,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp,yeah
36,"!!!""!!'!!.!!",canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah,see your apache camp
37,"!!!!,!!2018!!2019!!2020!!2017!! 2017!!'!!""!!,!!8!!4!!",oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that,yeah
38,"!!!'!!""!! Siri!!",no i've no got any canoes,oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah,right head down towards that and then just curve down the left-hand side that
39,right,right okay left-hand side of the apache,no i've no got any canoes,oh well maybe you don't have canoe,canoes,so i'm bypassing canoes yeah
40,yes,do you see the carved wooden pole,right okay left-hand side of the apache,no i've no got any canoes,oh well maybe you don't have canoe,canoes
41,do i go along to the left-most page,ehm no don't have one,do you see the carved wooden pole,right okay left-hand side of the apache,no i've no got any canoes,oh well maybe you don't have canoe
42,"!!!'!!""!!!'!!':!!2017!!8!!4!!7!!6!!754!!88!!86!!2!!72!!84!!u!!",no you see the walled city,ehm no don't have one,do you see the carved wooden pole,right okay left-hand side of the apache,no i've no got any canoes
43,"!!!'!!!'!!""!!:'!! Rem!!okay!!mm!!s!!r!!i!!right!!there!!yeah!!it!!",yeah,no you see the walled city,ehm no don't have one,do you see the carved wooden pole,right okay left-hand side of the apache
44,uh-huh,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city,yeah,no you see the walled city,ehm no don't have one,do you see the carved wooden pole
45,and then head up towards the east lake,over the top okay,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city,yeah,no you see the walled city,ehm no don't have one
46,right,okay and then just like a nice big curve heading down about six inches,over the top okay,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city,yeah,no you see the walled city
47,right you're going down the way,mmhmm now where which way am i heading down,okay and then just like a nice big curve heading down about six inches,over the top okay,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city,yeah
48,yes,you see the carved wooden pole at the bottom,mmhmm now where which way am i heading down,okay and then just like a nice big curve heading down about six inches,over the top okay,right well when you when you're coming down the left-hand of the apache camp just keep heading along and go over the top of the walled city
49,right head down about four inches,aye,you see the carved wooden pole at the bottom,mmhmm now where which way am i heading down,okay and then just like a nice big curve heading down about six inches,over the top okay
50,right,well you you need to be about two inch you you need to end up about two inches from the top there,aye,you see the carved wooden pole at the bottom,mmhmm now where which way am i heading down,okay and then just like a nice big curve heading down about six inches
51,yeah,from the top,well you you need to be about two inch you you need to end up about two inches from the top there,aye,you see the carved wooden pole at the bottom,mmhmm now where which way am i heading down
52,right,two inches above it,from the top,well you you need to be about two inch you you need to end up about two inches from the top there,aye,you see the carved wooden pole at the bottom
53,uh-huh,and it's on the left well i'm coming from the left to go to above it,two inches above it,from the top,well you you need to be about two inch you you need to end up about two inches from the top there,aye
54,okay,yeah,and it's on the left well i'm coming from the left to go to above it,two inches above it,from the top,well you you need to be about two inch you you need to end up about two inches from the top there
55,okay,right,yeah,and it's on the left well i'm coming from the left to go to above it,two inches above it,from the top
56,no,sort of curving round now see stone creek,right,yeah,and it's on the left well i'm coming from the left to go to above it,two inches above it
57,well you go round it and then down and underneath the bottom of it,yeah,sort of curving round now see stone creek,right,yeah,and it's on the left well i'm coming from the left to go to above it
58,yeah i'm just going up past that,right you're just heading along past that you see the flat rocks,yeah,sort of curving round now see stone creek,right,yeah
59,no you're going down,no,right you're just heading along past that you see the flat rocks,yeah,sort of curving round now see stone creek,right
60,"!!!!.!!'!!:'!!!'!!""!!.!!2020!!2018!!2019!!2017!!226!!8!!88!!888!!81!!,!!86!!84!!4!!41!!147!!91!!146!!286!!7!!886!!428!!488!!328!!458!!",no,no,right you're just heading along past that you see the flat rocks,yeah,sort of curving round now see stone creek
61,right okay,no,no,no,right you're just heading along past that you see the flat rocks,yeah
62,mmhmm,great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle,no,no,no,right you're just heading along past that you see the flat rocks
63,ehm no you're going down you're just going down,so i'm going over stone creek,great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle,no,no,no
64,right,aye,so i'm going over stone creek,great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle,no,no
65,no,well above it anyway on no wait a minute i have got flat rocks,aye,so i'm going over stone creek,great ehm okay head up ehm past stone creek you need to be going at about up curving up to the right at about a forty-five degree angle,no
