Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	. i think	37	B	26, 42, 62
2	3	a lot of	9	B	0, 8
2	3	and uh uh	65	B	14, 78
2	3	i don't know	45	B	42, 86
8	2	right .	91	B	0, 14, 20, 34, 56, 84, 88, 90
7	2	uh-huh .	63	B	2, 38, 40, 50, 54, 60, 64
5	2	. i	61	B	26, 38, 42, 62, 86
4	2	i don't	51	B	36, 42, 76, 86
3	2	that uh	73	B	0, 12, 72
3	2	to go	69	B	22, 58, 90
3	2	you know	67	B	12, 22, 78
2	2	. so	13	B	0, 12
2	2	. that's	55	B	20, 74
2	2	a little	69	B	10, 78
2	2	and i	57	B	20, 76
2	2	because i	23	B	20, 42
2	2	but i	37	B	0, 36
2	2	have to	19	B	58, 76
2	2	i mean	3	B	14, 16
2	2	it .	13	B	6, 18
2	2	it to	5	B	22, 26
2	2	that it	43	B	20, 62
2	2	that we	53	B	14, 66
2	2	though .	7	B	20, 26
2	2	to take	21	B	58, 78
2	2	to the	51	B	22, 72
2	2	we have	65	B	14, 78
2	2	wow .	29	B	46, 74
17	1	i	95	B	0, 8, 14, 16, 18, 20, 22, 26, 36, 38, 42, 62, 70, 76, 86, 88, 94
16	1	to	79	B	12, 14, 18, 20, 22, 26, 42, 48, 58, 62, 66, 72, 76, 78, 86, 90
10	1	that	73	B	0, 12, 14, 20, 38, 42, 48, 62, 66, 72
10	1	the	67	B	12, 20, 22, 38, 48, 58, 62, 68, 72, 78
9	1	and	65	B	14, 20, 22, 42, 48, 58, 62, 76, 78
9	1	have	83	B	0, 12, 14, 16, 58, 70, 76, 78, 82
8	1	a	87	B	0, 8, 10, 16, 20, 42, 78, 86
8	1	right	91	B	0, 14, 20, 34, 56, 84, 88, 90
8	1	that's	83	B	12, 20, 24, 38, 72, 74, 84, 94
8	1	you	77	B	12, 16, 18, 22, 38, 58, 78, 88
7	1	know	77	B	12, 22, 42, 62, 78, 86, 88
7	1	uh	95	B	0, 12, 14, 42, 72, 78, 94
6	1	because	55	B	12, 20, 38, 42, 62, 66
6	1	in	55	B	12, 16, 20, 42, 48, 66
6	1	it	57	B	6, 18, 20, 22, 26, 62
6	1	of	67	B	0, 8, 14, 20, 42, 66
6	1	well	73	B	18, 20, 26, 48, 72, 90
5	1	but	37	B	0, 6, 22, 32, 36
5	1	don't	51	B	36, 42, 52, 76, 86
4	1	for	71	B	20, 52, 62, 90
4	1	it's	77	B	10, 22, 42, 86
4	1	oh	51	B	42, 44, 52, 92
4	1	people	23	B	0, 14, 16, 22
4	1	really	57	B	36, 62, 78, 92
4	1	take	63	B	16, 36, 58, 78
4	1	there	69	B	14, 38, 62, 82
4	1	too	59	B	18, 38, 48, 76
4	1	um	65	B	22, 30, 66, 86
4	1	we	65	B	14, 26, 66, 78
3	1	are	21	B	42, 58, 62
3	1	has	71	B	20, 22, 90
3	1	huh	59	B	24, 28, 82
3	1	is	67	B	12, 72, 78
3	1	little	69	B	10, 66, 78
3	1	mean	75	B	14, 16, 88
3	1	my	71	B	20, 42, 90
3	1	on	63	B	14, 20, 76
3	1	one	81	B	14, 38, 94
3	1	so	95	B	0, 12, 94
3	1	was	25	B	18, 38, 42
2	1	about	59	B	0, 58
2	1	any	11	B	42, 52
2	1	doing	17	B	26, 42
2	1	get	9	B	58, 66
2	1	give	17	B	62, 78
2	1	got	25	B	66, 90
2	1	him	41	B	12, 52
2	1	i'm	21	B	66, 86
2	1	like	81	B	10, 90
2	1	made	15	B	38, 52
2	1	nice	57	B	18, 74
2	1	not	7	B	6, 12
2	1	now	19	B	72, 90
2	1	other	23	B	20, 42
2	1	place	7	B	10, 16
2	1	problem	67	B	20, 86
2	1	them	55	B	22, 76
2	1	this	17	B	26, 42
2	1	time	25	B	38, 62
2	1	up	9	B	58, 66
2	1	want	11	B	12, 22
2	1	what	77	B	12, 88
2	1	which	39	B	20, 58

