,Speaker,Utterance,Unified
5,M,"I don't, but I do like spaghetti","M|I don't, but I do like spaghetti"
6,A,"Uh, got kids?","A|Uh, got kids?"
7,M,I'm a spaghetti person.,M|I'm a spaghetti person.
8,A,married?,A|married?
9,M,I'm so down for this.,M|I'm so down for this.
10,A,Yeah.,A|Yeah.
11,M,"Well, uh, what about my husband?","M|Well, uh, what about my husband?"
12,A,"Well, my wife and I and we've got a thirteen week old baby so don't do much cooking for him yet.","A|Well, my wife and I and we've got a thirteen week old baby so don't do much cooking for him yet."
13,M,"Well, you know what to do, huh?","M|Well, you know what to do, huh?"
14,A,"Uh,","A|Uh,"
15,M,Do you want to cook?,M|Do you want to cook?
16,A,"Uh, yeah what kind of menu would you plan for a dinner party and, uh, what kind of dishes you might have for it, or some sort of thing like that.","A|Uh, yeah what kind of menu would you plan for a dinner party and, uh, what kind of dishes you might have for it, or some sort of thing like that."
17,M,"I'm sorry, I don't know what you're talking about.","M|I'm sorry, I don't know what you're talking about."
18,A,"Let's see, a good dinner party menu.","A|Let's see, a good dinner party menu."
19,M,I don't know.,M|I don't know.
20,A,"I suppose it would just about depend on who was coming, I guess.","A|I suppose it would just about depend on who was coming, I guess."
21,M,"I'm not sure, maybe.","M|I'm not sure, maybe."
22,A,"You know, uh, something light and easy. If it was pretty informal about anything.","A|You know, uh, something light and easy. If it was pretty informal about anything."
23,M,It's a good idea.,M|It's a good idea.
24,A,"Breast of chicken Oh, gosh, yeah. How do you usually cook your deer?","A|Breast of chicken Oh, gosh, yeah. How do you usually cook your deer?"
25,M,Oh yeah. We're gonna have a deer.,M|Oh yeah. We're gonna have a deer.
26,A,How do you usually cook your deer?,A|How do you usually cook your deer?
27,M,Weird...,M|Weird...
28,A,Yeah.,A|Yeah.
29,M,I don't think we can be sure.,M|I don't think we can be sure.
30,A,Yeah.,A|Yeah.
31,M,"Well, you can have a steak and a beer.","M|Well, you can have a steak and a beer."
32,A,I imagine.,A|I imagine.
33,M,It's been good,M|It's been good
34,A,I would imagine it is.,A|I would imagine it is.
35,M,Is it good?,M|Is it good?
36,A,"Yeah. Yeah, I understand. We just had, uh, deer stew sort of uh, it was deer steak stew. Uh, well about a day, day and a half in the crock pot, uh uh, some deer steaks in kind of a mushroom gravy.","A|Yeah. Yeah, I understand. We just had, uh, deer stew sort of uh, it was deer steak stew. Uh, well about a day, day and a half in the crock pot, uh uh, some deer steaks in kind of a mushroom gravy."
37,M,Oh yeah.,M|Oh yeah.
38,A,"Uh, some veggies in it.","A|Uh, some veggies in it."
39,M,I like the way you think.,M|I like the way you think.
40,A,No.,A|No.
41,M,Was the deer a vegetable?,M|Was the deer a vegetable?
42,A,"No, the times I've been out deer hunting, I, I can go out in the woods unarmed and deer will be tripping over me and vice versa.","A|No, the times I've been out deer hunting, I, I can go out in the woods unarmed and deer will be tripping over me and vice versa."
43,M,You don't hunt deer.,M|You don't hunt deer.
44,A,"I mean, I get close to the woods with anything resembling a weapon and suddenly there isn't a deer within fifty miles. So, no, this was given to us by some friends.","A|I mean, I get close to the woods with anything resembling a weapon and suddenly there isn't a deer within fifty miles. So, no, this was given to us by some friends."
45,M,It's in the description.,M|It's in the description.
46,A,"Uh, guy was in a, uh, in a hunting club","A|Uh, guy was in a, uh, in a hunting club"
47,M,How did you get in there?,M|How did you get in there?
48,A,"and, you know, but the whole group goes out hunting and then at the end of the day, they split it","A|and, you know, but the whole group goes out hunting and then at the end of the day, they split it"
49,M,They don't go out hunting.,M|They don't go out hunting.
50,A,"and whoever brought it down gets the lion's share and the rest of it is split with the rest, with everybody in the group.","A|and whoever brought it down gets the lion's share and the rest of it is split with the rest, with everybody in the group."
51,M,"You know, uh...","M|You know, uh..."
52,A,"Well, he they, they went out last year and almost everybody got it, the limit","A|Well, he they, they went out last year and almost everybody got it, the limit"
53,M,Didn't they go out last time?,M|Didn't they go out last time?
54,A,"so there's, everybody had deer coming out their ears. So,","A|so there's, everybody had deer coming out their ears. So,"
55,M,They were just trying to get the deer to go into the city.,M|They were just trying to get the deer to go into the city.
56,A,"Yeah, they, they gave us some deer and some of it's still in the freezer and they, about eight months ago they gave it to us.","A|Yeah, they, they gave us some deer and some of it's still in the freezer and they, about eight months ago they gave it to us."
57,M,So did they give us some of that deer?,M|So did they give us some of that deer?
58,A,"We, we either crock pot deer or we'll, uh, you know, put it out on the grill so that, uh the bulk of the tallow will dribble off of it.","A|We, we either crock pot deer or we'll, uh, you know, put it out on the grill so that, uh the bulk of the tallow will dribble off of it."
59,M,"Oh, well, they're delicious.","M|Oh, well, they're delicious."
60,A,Yeah. Yeah.,A|Yeah. Yeah.
61,M,"Uhh, yeah.","M|Uhh, yeah."
62,A,That is good.,A|That is good.
63,M,I'll be sure to.,M|I'll be sure to.
64,A,Deer spaghetti is real good.,A|Deer spaghetti is real good.
65,M,"Heh, heh.","M|Heh, heh."
66,A,"Anyway, uh, no, I think if I was going to have a dinner party, I'd probably have, uh, sandwiches or something along those lines and then, uh, uh, you know, just something light finger food sort of something or, Or maybe have something roasting out on the fire.","A|Anyway, uh, no, I think if I was going to have a dinner party, I'd probably have, uh, sandwiches or something along those lines and then, uh, uh, you know, just something light finger food sort of something or, Or maybe have something roasting out on the fire."
67,M,"I know, it's just... I don't know, I don't really know.","M|I know, it's just... I don't know, I don't really know."
68,A,"Oh, well, anyway. Uh, we don't do much in the way of entertaining.","A|Oh, well, anyway. Uh, we don't do much in the way of entertaining."
69,M,"What? Uh, uh, I'm not really interested in that.","M|What? Uh, uh, I'm not really interested in that."
70,A,"Usually it's, one other couple come over for a dinner.","A|Usually it's, one other couple come over for a dinner."
71,M,What's the meal?,M|What's the meal?
72,A,"Let's see, what did we have the last time we had guests over. Ah, yeah, we had a, uh, a turkey loaf.","A|Let's see, what did we have the last time we had guests over. Ah, yeah, we had a, uh, a turkey loaf."
73,M,I have a turkey sandwich,M|I have a turkey sandwich
74,A,"Which, uh, kind of taco turkey loaf. It was good. Uh, scalloped potatoes.","A|Which, uh, kind of taco turkey loaf. It was good. Uh, scalloped potatoes."
75,M,"Well, I mean, you're not wrong.","M|Well, I mean, you're not wrong."
76,A,"No, mashed potatoes.","A|No, mashed potatoes."
77,M,What's a potato?,M|What's a potato?
78,A,"Mashed potatoes with, uh, cheese melted over the top of them. A couple things like that. It was pretty good little dinner. Yeah, usually it's","A|Mashed potatoes with, uh, cheese melted over the top of them. A couple things like that. It was pretty good little dinner. Yeah, usually it's"
79,M,What did you eat?,M|What did you eat?
80,A,"Oh, don't you hate that? I've got a, I got a few pounds to lose myself. That's okay.","A|Oh, don't you hate that? I've got a, I got a few pounds to lose myself. That's okay."
81,M,"I've got to say, that's a really good idea. I've been thinking about it, but I don't think it'll work out.","M|I've got to say, that's a really good idea. I've been thinking about it, but I don't think it'll work out."
82,A,I've been fighting my weight since I was about ten years old.,A|I've been fighting my weight since I was about ten years old.
83,M,You're a little late.,M|You're a little late.
84,A,"Yeah, yeah, I was, left the fourth grade weighing about a hundred pounds and started the seventh grade, grade at two,","A|Yeah, yeah, I was, left the fourth grade weighing about a hundred pounds and started the seventh grade, grade at two,"
