,Speaker,Utterance,Unified
5,M,you.,M|you.
6,A,"Some buildings do, it depends on the location. The area I live in right now, is, is real good as far as crime rate is concerned and we don't have anything at all, no burglar alarms, no guards.","A|Some buildings do, it depends on the location. The area I live in right now, is, is real good as far as crime rate is concerned and we don't have anything at all, no burglar alarms, no guards."
7,M,I.,M|I.
8,A,Uh-huh.,A|Uh-huh.
9,M,that,M|that
10,A,Uh-huh.,A|Uh-huh.
11,M,"Yes, I'm.","M|Yes, I'm."
12,A,Uh-huh. Um.,A|Uh-huh. Um.
13,M,"Uh, we have a lot in common.","M|Uh, we have a lot in common."
14,A,Uh-huh.,A|Uh-huh.
15,M,Uhhuhuh. And.,M|Uhhuhuh. And.
16,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
17,M,"Uhh, uh, they're all over the place.","M|Uhh, uh, they're all over the place."
18,A,"Oh, yeah, yeah.","A|Oh, yeah, yeah."
19,M,"Uuh, uh, uh...","M|Uuh, uh, uh..."
20,A,"Uh-huh. There's a lot of that going on in Dallas, too.","A|Uh-huh. There's a lot of that going on in Dallas, too."
21,M,What about Dallas?,M|What about Dallas?
22,A,"Yeah, it's really sad.","A|Yeah, it's really sad."
23,M,"Well, yeah.","M|Well, yeah."
24,A,"Uh-huh, Uh-huh.","A|Uh-huh, Uh-huh."
25,M,You're not alone.,M|You're not alone.
26,A,"Oh, I agree. I think that people are getting off too easy. They're getting, they're getting paroled too easily.","A|Oh, I agree. I think that people are getting off too easy. They're getting, they're getting paroled too easily."
27,M,I agree,M|I agree
28,A,"They're just getting, uh, put on probation or something, because the prisons don't have enough room so they get, they get lighter sentences,","A|They're just getting, uh, put on probation or something, because the prisons don't have enough room so they get, they get lighter sentences,"
29,M,"And they're going to get... uh, they're just going to be put on parades and they're not going to...","M|And they're going to get... uh, they're just going to be put on parades and they're not going to..."
30,A,"and some of those people, they don't deserve to be let loose.","A|and some of those people, they don't deserve to be let loose."
31,M,That's what I was saying. They get off.,M|That's what I was saying. They get off.
32,A,"Oh, yeah.","A|Oh, yeah."
33,M,You know,M|You know
34,A,Oh my gosh.,A|Oh my gosh.
35,M,"',,.","M|',,."
36,A,Uh-huh.,A|Uh-huh.
37,M,I think he was in prison.,M|I think he was in prison.
38,A,"Uh, that's terrible.","A|Uh, that's terrible."
39,M,I have a son. He's out.,M|I have a son. He's out.
40,A,Uh-huh.,A|Uh-huh.
41,M,"You know, the one that had a job, and then he went to jail, that he had a problem with, that was the problem.","M|You know, the one that had a job, and then he went to jail, that he had a problem with, that was the problem."
42,A,Yeah.,A|Yeah.
43,M,You think?,M|You think?
44,A,Uh-huh.,A|Uh-huh.
45,M,Uhuh. And?,M|Uhuh. And?
46,A,Yeah.,A|Yeah.
47,M,The reason you're doing this is because of the way the laws are.,M|The reason you're doing this is because of the way the laws are.
48,A,"Right, it's a little more understandable under the circumstances, I guess.","A|Right, it's a little more understandable under the circumstances, I guess."
49,M,"That's true, but I think it's because he's in jail, and he's being held at gunpoint","M|That's true, but I think it's because he's in jail, and he's being held at gunpoint"
50,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
51,M,"But if they are from another country, they are still citizens of that country.","M|But if they are from another country, they are still citizens of that country."
52,A,Uh-huh.,A|Uh-huh.
53,M,"Uhh, that's a very good point.","M|Uhh, that's a very good point."
54,A,Uh-huh.,A|Uh-huh.
55,M,Uhhh... what if they are innocent?,M|Uhhh... what if they are innocent?
56,A,Uh-huh.,A|Uh-huh.
57,M,"Uhhh, no.","M|Uhhh, no."
58,A,"Right, we have enough, enough problems with overcrowding in the jails as it is. So let, let their country take care of it.","A|Right, we have enough, enough problems with overcrowding in the jails as it is. So let, let their country take care of it."
59,M,You are correct. They are not the same.,M|You are correct. They are not the same.
60,A,"We don't have, I guess too much trouble in Dallas with, well, I guess, I guess we do have a lot of people come in from Mexico, that cause problems, but, uh.","A|We don't have, I guess too much trouble in Dallas with, well, I guess, I guess we do have a lot of people come in from Mexico, that cause problems, but, uh."
61,M,They're not going to come in because they have no problems.,M|They're not going to come in because they have no problems.
62,A,Yeah. Uh-huh.,A|Yeah. Uh-huh.
63,M,Mexico. We have.,M|Mexico. We have.
64,A,Uh-huh.,A|Uh-huh.
65,M,"Uhhhh, I think.","M|Uhhhh, I think."
66,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
67,M,"It's like you know, uh, where the women are from.","M|It's like you know, uh, where the women are from."
68,A,"Uh-huh. It was amazing I went to the Far East, uh, back in October to do some training for T I and I,","A|Uh-huh. It was amazing I went to the Far East, uh, back in October to do some training for T I and I,"
69,M,uhh. uh.,M|uhh. uh.
