,Speaker,Utterance,Unified
5,M,Are you from Pennsylvania?,M|Are you from Pennsylvania?
6,A,"Um, the South Hills area, Beaver County, well originally Beaver County .","A|Um, the South Hills area, Beaver County, well originally Beaver County ."
7,M,Where in Pittsburgh?,M|Where in Pittsburgh?
8,A,"And, uh, where are you from?","A|And, uh, where are you from?"
9,M,Yeah. I live in Pittsburgh.,M|Yeah. I live in Pittsburgh.
10,A,"Oh, okay, I know where that is.","A|Oh, okay, I know where that is."
11,M,It's in California.,M|It's in California.
12,A,"Yeah, that's pretty out there. What, well,","A|Yeah, that's pretty out there. What, well,"
13,M,I live in the US.,M|I live in the US.
14,A,"Oh, okay, yeah, I got my brother and my whole family there. I'm, I'm talking to you from Dallas right now.","A|Oh, okay, yeah, I got my brother and my whole family there. I'm, I'm talking to you from Dallas right now."
15,M,"No, I'm in Texas.","M|No, I'm in Texas."
16,A,Uh-huh,A|Uh-huh
17,M,"Well, what's up?","M|Well, what's up?"
18,A,"No, my husband does.","A|No, my husband does."
19,M,Are you in texas?,M|Are you in texas?
20,A,"And who, how about you?","A|And who, how about you?"
21,M,"Uhh, I do","M|Uhh, I do"
22,A,"place that, that needed this. *listen--not sure who's saying what","A|place that, that needed this. *listen--not sure who's saying what"
23,M,That's what I said.,M|That's what I said.
24,A,"Well that's okay. I guess it's an easy thing to do. So you're you have a big, do you have a rural house or what do you have?","A|Well that's okay. I guess it's an easy thing to do. So you're you have a big, do you have a rural house or what do you have?"
25,M,i know i'm just being a meanie.,M|i know i'm just being a meanie.
26,A,"Oh, that's a, Those are beautiful.","A|Oh, that's a, Those are beautiful."
27,M,"I'm so glad you found something to do, it's so peaceful.","M|I'm so glad you found something to do, it's so peaceful."
28,A,Uh-huh.,A|Uh-huh.
29,M,... You?,M|... You?
30,A,"Yeah, is it a, is it a working farm or is it?","A|Yeah, is it a, is it a working farm or is it?"
31,M,"Oh, is it?","M|Oh, is it?"
32,A,"More, more, I can understand that, that's probably what I would, uh,","A|More, more, I can understand that, that's probably what I would, uh,"
33,M,"You can't make a farm without a working, working farm.","M|You can't make a farm without a working, working farm."
34,A,Yeah,A|Yeah
35,M,But... but... your garden?,M|But... but... your garden?
36,A,"I can hear the accent now I hear the I hear the Western Pennsylvania, um.","A|I can hear the accent now I hear the I hear the Western Pennsylvania, um."
37,M,He's from the west.,M|He's from the west.
38,A,"We live, uh, we lived in Minneapolis for about five years.","A|We live, uh, we lived in Minneapolis for about five years."
39,M,Wait... what?,M|Wait... what?
40,A,"We, we originally lived in Dallas and we met and got married","A|We, we originally lived in Dallas and we met and got married"
41,M,What happened to you?,M|What happened to you?
42,A,"and then, um, actually married in Pittsburgh, and that's, that's not what they want to hear on this call, uh","A|and then, um, actually married in Pittsburgh, and that's, that's not what they want to hear on this call, uh"
43,M,"Uh... and then, uh, we have a baby and we're married in Minneapolis.","M|Uh... and then, uh, we have a baby and we're married in Minneapolis."
44,A,"at any rate we came back here with, my husband was transferred around, uh, up to Minnesota and now back to Texas with T I","A|at any rate we came back here with, my husband was transferred around, uh, up to Minnesota and now back to Texas with T I"
45,M,"So uh, how did it go?","M|So uh, how did it go?"
46,A,"and we're leasing a, uh, two story town home in a section of Dallas they call North Dallas.","A|and we're leasing a, uh, two story town home in a section of Dallas they call North Dallas."
47,M,"Uh, you know what to do.uh?","M|Uh, you know what to do.uh?"
48,A,"And it's, uh, near a little town called Plano, well, it's not little any more.","A|And it's, uh, near a little town called Plano, well, it's not little any more."
49,M,"He's, uh, living in a little place called Planos.","M|He's, uh, living in a little place called Planos."
50,A,"Uh, yes, that's out near the airport. That's about forty-five miles from us.","A|Uh, yes, that's out near the airport. That's about forty-five miles from us."
51,M,That's... a lot of drive,M|That's... a lot of drive
52,A,"It's, yeah, That's why we not sure, we, we're not sure we want to, uh, buy down here, because we actually, we lived up north long enough to appreciate the, um, *listen--one utt? Minneapolis-Saint Paul is very clean","A|It's, yeah, That's why we not sure, we, we're not sure we want to, uh, buy down here, because we actually, we lived up north long enough to appreciate the, um, *listen--one utt? Minneapolis-Saint Paul is very clean"
53,M,"Yeah, yeah, ya, er, that's","M|Yeah, yeah, ya, er, that's"
