,Speaker,Utterance,Unified
5,M,It's,M|It's
6,A,"Um. Yeah, it seems to me I'm always challenged peremptorily also when I go to these things. I think I have a severe demeanor or something.","A|Um. Yeah, it seems to me I'm always challenged peremptorily also when I go to these things. I think I have a severe demeanor or something."
7,M,Do you remember?,M|Do you remember?
8,A,"Uh,","A|Uh,"
9,M,"Uh, um","M|Uh, um"
10,A,"But, typically, you know, uh, typically, uh, everyone gets involved in, uh, the jury process and I suppose an elitist might say, well, you really want someone who is well educated to be able to, to winnow the facts from the, from the prejudice.","A|But, typically, you know, uh, typically, uh, everyone gets involved in, uh, the jury process and I suppose an elitist might say, well, you really want someone who is well educated to be able to, to winnow the facts from the, from the prejudice."
11,M,"It's not always, uh, the judge, uh.","M|It's not always, uh, the judge, uh."
12,A,Right.,A|Right.
13,M,"So, what?","M|So, what?"
14,A,"So,","A|So,"
15,M,"You're right,","M|You're right,"
16,A,"So if you're a nincompoop on trial, you'd, you'd have to have nincompoops to, uh,","A|So if you're a nincompoop on trial, you'd, you'd have to have nincompoops to, uh,"
17,M,I'm a ninj,M|I'm a ninj
18,A,Um.,A|Um.
19,M,Well you're in a jury.,M|Well you're in a jury.
20,A,Uh-huh.,A|Uh-huh.
21,M,,M|
22,A,Um.,A|Um.
23,M,"Uhhh, I think you're right.","M|Uhhh, I think you're right."
24,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
25,M,That's not how it works.,M|That's not how it works.
26,A,Um.,A|Um.
27,M,What's the difference?,M|What's the difference?
28,A,Uh-huh. Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh. Uh-huh.
29,M,Hmmm... I'll have,M|Hmmm... I'll have
30,A,"Well, I suppose you may be right on that.  Matter of fact, I've heard that,  I've heard that some of the information, uh, is prevented from reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,","A|Well, I suppose you may be right on that.  Matter of fact, I've heard that,  I've heard that some of the information, uh, is prevented from reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,"
31,M,I,M|I
32,A,"Oh, is it? Oh, I didn't realize that. Okay.","A|Oh, is it? Oh, I didn't realize that. Okay."
33,M,,M|
34,A,Right.,A|Right.
35,M,I,M|I
36,A,Uh-huh.,A|Uh-huh.
37,M,Uhm... what's wrong with that?,M|Uhm... what's wrong with that?
38,A,"Uh-huh. So, you, what you're saying is this, if there is the second offense, then you execute them.","A|Uh-huh. So, you, what you're saying is this, if there is the second offense, then you execute them."
39,M,"Yeah, it's a lot easier to just put them in a different sentence, like in the case of the people that are already dead.","M|Yeah, it's a lot easier to just put them in a different sentence, like in the case of the people that are already dead."
40,A,Um.,A|Um.
41,M,Uhh. I think you misunderstood my sentence.,M|Uhh. I think you misunderstood my sentence.
42,A,"What about, uh, white collar crimes like, uh, theft of trade secrets.","A|What about, uh, white collar crimes like, uh, theft of trade secrets."
43,M,yes.,M|yes.
44,A,"Oh, really?","A|Oh, really?"
45,M,The criminal justice system is supposed,M|The criminal justice system is supposed
46,A,Like what?,A|Like what?
47,M,I'm just curious.,M|I'm just curious.
