,Speaker,Utterance,Unified
5,M,I live in Planos,M|I live in Planos
6,A,"Well, good to hear. I was just talking to someone the other day from Pennsylvania.","A|Well, good to hear. I was just talking to someone the other day from Pennsylvania."
7,M,"Yes, we're in the middle of the US.","M|Yes, we're in the middle of the US."
8,A,Really?,A|Really?
9,M,We have a decent number of people from Utah,M|We have a decent number of people from Utah
10,A,"All right. Well, good to hear, good to hear.","A|All right. Well, good to hear, good to hear."
11,M,Yes. Yes it is.,M|Yes. Yes it is.
12,A,Which one?,A|Which one?
13,M,I was the first person to ask about the team.,M|I was the first person to ask about the team.
14,A,"Oh, yeah.","A|Oh, yeah."
15,M,"Ah, right.","M|Ah, right."
16,A,The Utah Jazz.,A|The Utah Jazz.
17,M,What is Utah?,M|What is Utah?
18,A,"Yeah, they're, they're pretty good. They've got some good good, some good, uh, good players out there.","A|Yeah, they're, they're pretty good. They've got some good good, some good, uh, good players out there."
19,M,Hey! That's pretty good.,M|Hey! That's pretty good.
20,A,"Well, you ready for New Year's Eve?","A|Well, you ready for New Year's Eve?"
21,M,I don't know.,M|I don't know.
22,A,"Good. Should we, uh, start this so we can,","A|Good. Should we, uh, start this so we can,"
23,M,"I'm in the military, I don't know how to use my phone","M|I'm in the military, I don't know how to use my phone"
24,A,What was your name again?,A|What was your name again?
25,M,He nods.,M|He nods.
26,A,"Nancy, that's right,","A|Nancy, that's right,"
27,M,She nods.,M|She nods.
28,A,and I'm Brian.,A|and I'm Brian.
29,M,I'm Brian.,M|I'm Brian.
30,A,"Just a moment Okay Nancy, then I guess the, today's subject is benefits in the job other than salary.","A|Just a moment Okay Nancy, then I guess the, today's subject is benefits in the job other than salary."
31,M,I'm Brian.,M|I'm Brian.
32,A,"What, uh what do you feel are important to you or other people as, as crucial benefits?","A|What, uh what do you feel are important to you or other people as, as crucial benefits?"
33,M,I'm not a scientist.,M|I'm not a scientist.
34,A,Uh-huh.,A|Uh-huh.
35,M,Um... What?,M|Um... What?
36,A,Oh,A|Oh
37,M,"Uh, you know, I don't have any special qualifications.","M|Uh, you know, I don't have any special qualifications."
