,Speaker,Utterance,Unified
5,M,you?,M|you?
6,A,and I was going through a divorce and I just found that running really made me feel good.,A|and I was going through a divorce and I just found that running really made me feel good.
7,M,"I love running, I love exercise, I'm a runner, I just like running.","M|I love running, I love exercise, I'm a runner, I just like running."
8,A,"Got out a lot of aggression. I went to the gym every day and I ran on the treadmill and rode the bike and, uh, I felt really good. I needed to do it and it was really helpful at the time. Now when I do those things, they're boring. I would rather be outside then in the gym doing this in one place.","A|Got out a lot of aggression. I went to the gym every day and I ran on the treadmill and rode the bike and, uh, I felt really good. I needed to do it and it was really helpful at the time. Now when I do those things, they're boring. I would rather be outside then in the gym doing this in one place."
9,M,Nope.,M|Nope.
10,A,"And so I just recently discovered jazzercise, about two months ago. And I'm getting to be a good dancer from it and I'm just feeling really good. I love the class, it's real challenging, so I'm really into that, I really like that a lot.","A|And so I just recently discovered jazzercise, about two months ago. And I'm getting to be a good dancer from it and I'm just feeling really good. I love the class, it's real challenging, so I'm really into that, I really like that a lot."
11,M,congrats.,M|congrats.
12,A,"It is, it's aerobics but it's with dance steps.","A|It is, it's aerobics but it's with dance steps."
13,M,That's,M|That's
14,A,"It's an aerobic exercise and it's an hour straight. And it's just, uh, it's a lot of fun.","A|It's an aerobic exercise and it's an hour straight. And it's just, uh, it's a lot of fun."
15,M,What is,M|What is
16,A,"and I'm, I'm getting much better. My stamina is getting great for the dance floor  so  I mean it's just,","A|and I'm, I'm getting much better. My stamina is getting great for the dance floor  so  I mean it's just,"
17,M,That's what I mean.,M|That's what I mean.
18,A,"there's a lot of positive things with it, so.","A|there's a lot of positive things with it, so."
19,M,It's a good game.I like it.It's fun.It's not a chore to play.,M|It's a good game.I like it.It's fun.It's not a chore to play.
20,A,It is inside and I've  been doing a lot of bike riding outside with the nice weather we've been having,A|It is inside and I've  been doing a lot of bike riding outside with the nice weather we've been having
21,M,"I don't know what's inside, but I like it.","M|I don't know what's inside, but I like it."
22,A,and I just enjoy that much more too than inside.,A|and I just enjoy that much more too than inside.
23,M,That's a good idea. I'll take it.,M|That's a good idea. I'll take it.
