,Speaker,Utterance,Unified
5,M,I'm sorry?,M|I'm sorry?
6,A,"Oh, my.","A|Oh, my."
7,M,You,M|You
8,A,"Yeah,  so the convenience,  Right.","A|Yeah,  so the convenience,  Right."
9,M,It's.,M|It's.
10,A,"My grandmother lived with us, um, until August, um, and we made the decision to put her in a nursing home. She has leukemia","A|My grandmother lived with us, um, until August, um, and we made the decision to put her in a nursing home. She has leukemia"
11,M,Thanks.gif,M|Thanks.gif
12,A,"and her, the rest of her family and her regular doctors and everybody she trusted and knew was in Dayton, and were several thousand miles away","A|and her, the rest of her family and her regular doctors and everybody she trusted and knew was in Dayton, and were several thousand miles away"
13,M,"... um, how did she die?","M|... um, how did she die?"
14,A,"so I made the decision to put her in a nursing home, and my sister being on the other end found one that she could have what was called an independent living facility. She had her own little room and didn't have to share it with anyone and could bring in her own chair and T V set","A|so I made the decision to put her in a nursing home, and my sister being on the other end found one that she could have what was called an independent living facility. She had her own little room and didn't have to share it with anyone and could bring in her own chair and T V set"
15,M,No,M|No
16,A,so.,A|so.
17,M,I don't think so.,M|I don't think so.
18,A,"Yes. And that, the other major factor is that she needs blood transfusions every week to ten days, and would have to be hospitalized a day or two, so in this facility they can do it right there from her own room","A|Yes. And that, the other major factor is that she needs blood transfusions every week to ten days, and would have to be hospitalized a day or two, so in this facility they can do it right there from her own room"
19,M,It's fine,M|It's fine
20,A,"so she didn't have to be transported back and forth. So, she's been there since August the thirteenth and seems to have adjusted pretty well. It's not her favorite place to be in. She'd much rather be here with me. But when it got to the point I was spending more time at the hospital with her,","A|so she didn't have to be transported back and forth. So, she's been there since August the thirteenth and seems to have adjusted pretty well. It's not her favorite place to be in. She'd much rather be here with me. But when it got to the point I was spending more time at the hospital with her,"
21,M,,M|
22,A,and I've got little children here who needed me here she needed somebody to watch her twenty-four hours a day.,A|and I've got little children here who needed me here she needed somebody to watch her twenty-four hours a day.
23,M,She's so she's just fine.,M|She's so she's just fine.
24,A,"So. She was falling down and hemorrhaging and, you know, all kinds of physical problems, so it just became too much for me to handle, even though I would have liked to have had her stay, with her health being what it was she couldn't anymore.","A|So. She was falling down and hemorrhaging and, you know, all kinds of physical problems, so it just became too much for me to handle, even though I would have liked to have had her stay, with her health being what it was she couldn't anymore."
25,M,It,M|It
26,A,Yeah. Uh-huh. Yeah.,A|Yeah. Uh-huh. Yeah.
27,M,Weep.,M|Weep.
28,A,Oh.,A|Oh.
29,M,He had to get.it was.in.greee.me.up,M|He had to get.it was.in.greee.me.up
30,A,Yeah.,A|Yeah.
31,M,Oh. That's unfortunate.,M|Oh. That's unfortunate.
32,A,"Yes, well, I think sometimes when people get to be a certain age, other people have to kind of help them make decisions. It sure wouldn't have been Granny's decision to leave us and go back to a nursing home, but she's accepted it real well now","A|Yes, well, I think sometimes when people get to be a certain age, other people have to kind of help them make decisions. It sure wouldn't have been Granny's decision to leave us and go back to a nursing home, but she's accepted it real well now"
33,M,"I'm pretty sure that's why he left, he didn't want to be the only one.","M|I'm pretty sure that's why he left, he didn't want to be the only one."
34,A,so.,A|so.
35,M,I know.,M|I know.
36,A,"Well, we enjoyed having her here,","A|Well, we enjoyed having her here,"
37,M,"she's not that old, she's a year old now","M|she's not that old, she's a year old now"
38,A,"but we feel she's much safer where she is now. She still continues to fall, but when she does there, a nurse is right there to help her","A|but we feel she's much safer where she is now. She still continues to fall, but when she does there, a nurse is right there to help her"
39,M,And she's very calm.,M|And she's very calm.
40,A,"and I know she's eating the right things, and her doctor's right there where he can come in and check on her, so. It became dangerous for us to keep transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair","A|and I know she's eating the right things, and her doctor's right there where he can come in and check on her, so. It became dangerous for us to keep transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair"
41,M,... I'm so sorry.,M|... I'm so sorry.
42,A,"so, I think she'll adjust,","A|so, I think she'll adjust,"
