,Speaker,Utterance,Unified
5,M,.of?,M|.of?
6,A,"and, and, you know, obviously they're probably not going to be doing a good job and so forth, but I don't really like having to do it. It,","A|and, and, you know, obviously they're probably not going to be doing a good job and so forth, but I don't really like having to do it. It,"
7,M,Um.,M|Um.
8,A,"And I don't like the idea of it, it's, it's, makes too much of a big brother type of thing.","A|And I don't like the idea of it, it's, it's, makes too much of a big brother type of thing."
9,M,But I like it.,M|But I like it.
10,A,Yeah.,A|Yeah.
11,M,...,M|...
12,A,Huh-uh.,A|Huh-uh.
13,M,How much of what?,M|How much of what?
14,A,"Yeah,  yeah, I think so too. But, you know, it's one of those things.","A|Yeah,  yeah, I think so too. But, you know, it's one of those things."
15,M,"hehehe, yeah, that's right","M|hehehe, yeah, that's right"
16,A,Yeah.,A|Yeah.
17,M,"yeah, yeah,","M|yeah, yeah,"
18,A,"Plus, I guess, if they are in problem enough to be jailed or something of that nature for any length of time, then the company has lost what they've put into that employee, and their expertise or whatever.","A|Plus, I guess, if they are in problem enough to be jailed or something of that nature for any length of time, then the company has lost what they've put into that employee, and their expertise or whatever."
19,M,"I say, to be","M|I say, to be"
20,A,Yeah.,A|Yeah.
21,M,But... the company is still a part of the company.,M|But... the company is still a part of the company.
22,A,"Well, do you think that, um, it should be like we have this sort of random spot testing type of thing or do you think it would be more palatable if we had some sort of regular schedule or would that just allow everybody a chance to get out of it?","A|Well, do you think that, um, it should be like we have this sort of random spot testing type of thing or do you think it would be more palatable if we had some sort of regular schedule or would that just allow everybody a chance to get out of it?"
23,M,This,M|This
24,A,"Well, you know, if, if they have time enough they can,  stay off of it.","A|Well, you know, if, if they have time enough they can,  stay off of it."
25,M,I see you're?,M|I see you're?
26,A,Yeah.,A|Yeah.
27,M,That's a.,M|That's a.
28,A,Yeah.,A|Yeah.
29,M,,M|
30,A,"I think so too, uh, I know the, the group I was in at the time this all came up they, uh, were quite vocal about it, through electronic mail, boy, they just really, you know let them have it from one end to the other, vehemently","A|I think so too, uh, I know the, the group I was in at the time this all came up they, uh, were quite vocal about it, through electronic mail, boy, they just really, you know let them have it from one end to the other, vehemently"
31,M,It,M|It
32,A,"but, uh, it has quieted down, but I don't think they probably feel any differently,","A|but, uh, it has quieted down, but I don't think they probably feel any differently,"
33,M,Ohhuh?,M|Ohhuh?
34,A,"and some, some of them did quit the company.","A|and some, some of them did quit the company."
35,M,Some of them are just going to be on the internet forever.,M|Some of them are just going to be on the internet forever.
36,A,True.,A|True.
37,M,"I'm, it's.","M|I'm, it's."
38,A,Uh-huh.,A|Uh-huh.
39,M,we.,M|we.
40,A,"Yeah,  I wouldn't like anything of that nature, you know,","A|Yeah,  I wouldn't like anything of that nature, you know,"
41,M,"I would, but I'd have to be the one to ask you.","M|I would, but I'd have to be the one to ask you."
42,A,"don't tell me what to do, you know.","A|don't tell me what to do, you know."
43,M,Uh huh.,M|Uh huh.
44,A,Yeah.,A|Yeah.
45,M,I'd be willing to bet the majority of those guys are just as bad.,M|I'd be willing to bet the majority of those guys are just as bad.
46,A,"Yeah. Well, I guess too if I thought that this would help really and truly do away with the drug problem, then that would be one thing. But I think it's too minor and too, you know,","A|Yeah. Well, I guess too if I thought that this would help really and truly do away with the drug problem, then that would be one thing. But I think it's too minor and too, you know,"
47,M,,M|
48,A,"in, in the whole scope of things this isn't going to, to have any real affect on, what's going on in the street.","A|in, in the whole scope of things this isn't going to, to have any real affect on, what's going on in the street."
49,M,"You,.","M|You,."
50,A,Yeah.,A|Yeah.
51,M,You're,M|You're
52,A,"Well, yes.","A|Well, yes."
53,M,not.,M|not.
54,A,"That, yes. I, I think that could be a big problem, you know, I would just be irate if they said it was positive and I knew it wasn't,","A|That, yes. I, I think that could be a big problem, you know, I would just be irate if they said it was positive and I knew it wasn't,"
55,M,"I would be a little, I could be, you","M|I would be a little, I could be, you"
56,A,"you know, that just really rubbed me the wrong way.","A|you know, that just really rubbed me the wrong way."
57,M,"That, and the whole,''","M|That, and the whole,''"
58,A,Yeah.,A|Yeah.
59,M,,M|
60,A,Yeah.,A|Yeah.
61,M,"You know, that's why","M|You know, that's why"
62,A,Right. No.,A|Right. No.
63,M,i.think it can.it.show up and flag as positive,M|i.think it can.it.show up and flag as positive
64,A,"I guess the one that really got me too was that, uh, let's say your spouse is on a particular drug and you know what that is,","A|I guess the one that really got me too was that, uh, let's say your spouse is on a particular drug and you know what that is,"
65,M,I think you mean the one I'm talking about,M|I think you mean the one I'm talking about
66,A,"and then you end up with the same problem and you take their leftover medicine, that's not allowed.","A|and then you end up with the same problem and you take their leftover medicine, that's not allowed."
67,M,No. It's a pill.,M|No. It's a pill.
68,A,"You know, that's, that's totally out.","A|You know, that's, that's totally out."
69,M,"A lot of people are saying that, I think.","M|A lot of people are saying that, I think."
70,A,Uh-huh.,A|Uh-huh.
71,M,"Well, there's","M|Well, there's"
72,A,"Oh, that's interesting.","A|Oh, that's interesting."
73,M,"I'm sorry, I don't know, but, I think.","M|I'm sorry, I don't know, but, I think."
74,A,"Well, I guess we've exhausted that one.","A|Well, I guess we've exhausted that one."
75,M,"Yeah, but, uh, there are certain things they could do without a doctor's prescription.","M|Yeah, but, uh, there are certain things they could do without a doctor's prescription."
76,A,enjoyed talking to you.,A|enjoyed talking to you.
77,M,I guess so.,M|I guess so.
78,A,Good-bye.,A|Good-bye.
79,M,I am,M|I am
