,Speaker,Utterance,Unified
5,M,You know what's small?,M|You know what's small?
6,A,Uh-huh.,A|Uh-huh.
7,M,Uhhh... I don't know...,M|Uhhh... I don't know...
8,A,Uh-huh.,A|Uh-huh.
9,M,"I'm guessing they are from a lab, but the fact that they have that much hair, I'm guessing it's a lab.","M|I'm guessing they are from a lab, but the fact that they have that much hair, I'm guessing it's a lab."
10,A,"Huh. Well, I, I work for, uh, actually probably similar kind of place. I work for, uh, Lincoln Laboratory.","A|Huh. Well, I, I work for, uh, actually probably similar kind of place. I work for, uh, Lincoln Laboratory."
11,M,"Hahaha, you know, I'm not sure.","M|Hahaha, you know, I'm not sure."
12,A,"Uh, yeah. We actually do some work with some people down at Georgia Tech.","A|Uh, yeah. We actually do some work with some people down at Georgia Tech."
13,M,"Huh. Uh, you do?","M|Huh. Uh, you do?"
14,A,"Uh, and, uh, so we're, we're part, we're actually part of M I T. So it's very much the same kind of place and, uh  the technical institution.","A|Uh, and, uh, so we're, we're part, we're actually part of M I T. So it's very much the same kind of place and, uh  the technical institution."
15,M,Huh. So what?,M|Huh. So what?
16,A,"Uh, while I was sitting here waiting while they tried to find somebody for me to talk to, trying to think of what, uh, uh, what things were important, uh, besides salary and a, and a job. I guess, uh, list I had scribbled down was the people you worked with and maybe the, uh, the challenge of the work and, uh the working conditions, things like that.","A|Uh, while I was sitting here waiting while they tried to find somebody for me to talk to, trying to think of what, uh, uh, what things were important, uh, besides salary and a, and a job. I guess, uh, list I had scribbled down was the people you worked with and maybe the, uh, the challenge of the work and, uh the working conditions, things like that."
17,M,I.,M|I.
18,A,"I don't know. What are your, uh, what sorts of things would you consider important?","A|I don't know. What are your, uh, what sorts of things would you consider important?"
19,M,"I mean, uh, uh.","M|I mean, uh, uh."
20,A,Uh-huh.,A|Uh-huh.
21,M,It's not exactly,M|It's not exactly
22,A,Uh-huh.,A|Uh-huh.
23,M,Why not?,M|Why not?
24,A,Yeah.,A|Yeah.
25,M,Um. Uh,M|Um. Uh
26,A,Uh-huh.,A|Uh-huh.
27,M,"No, they","M|No, they"
28,A,Uh-huh.,A|Uh-huh.
29,M,Yup. I'm sure it's the same reason you can't have a blunt blow on a plane.,M|Yup. I'm sure it's the same reason you can't have a blunt blow on a plane.
30,A,Uh-huh.,A|Uh-huh.
31,M,I,M|I
32,A,"Now how do you mean that? I know it,","A|Now how do you mean that? I know it,"
33,M,,M|
34,A,Uh-huh.,A|Uh-huh.
35,M,...,M|...
36,A,Uh-huh.,A|Uh-huh.
37,M,How do you know that?,M|How do you know that?
38,A,"Well, you, you think it's better than to, to try to spread the, the effort equally among all the employees of the company or,","A|Well, you, you think it's better than to, to try to spread the, the effort equally among all the employees of the company or,"
39,M,"Yeah, but...","M|Yeah, but..."
40,A,Uh-huh.,A|Uh-huh.
41,M,Not really.,M|Not really.
42,A,Uh-huh.,A|Uh-huh.
43,M,"Yeah, that's right.","M|Yeah, that's right."
44,A,Yeah. Uh-huh.,A|Yeah. Uh-huh.
45,M,Ugh. Ugh. Uh,M|Ugh. Ugh. Uh
46,A,"Yeah. I've heard of a couple of companies that have done that. I think, uh, back about, a few years ago when things were tough, Hewlett-Packard did that for awhile. They went to a, uh, a, a four and a half day work week rather  than cut, yeah, just cut everybody back ten percent. And, uh, have to, give everybody a half day a week off.","A|Yeah. I've heard of a couple of companies that have done that. I think, uh, back about, a few years ago when things were tough, Hewlett-Packard did that for awhile. They went to a, uh, a, a four and a half day work week rather  than cut, yeah, just cut everybody back ten percent. And, uh, have to, give everybody a half day a week off."
47,M,Hehehuh,M|Hehehuh
48,A,"And I think you can do that for a little while but I'm,","A|And I think you can do that for a little while but I'm,"
49,M,"you, you're","M|you, you're"
50,A,Yeah.,A|Yeah.
