,Speaker,Utterance,Unified
5,A,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,","A|and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,"
6,M,So they are.,M|So they are.
7,A,"and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California.","A|and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California."
8,M,"There's one of those that was working for the American Cancer Society, and then the same one who worked for the British Cancer Society.","M|There's one of those that was working for the American Cancer Society, and then the same one who worked for the British Cancer Society."
9,A,"And these were from other, people from other countries. He's a translator.","A|And these were from other, people from other countries. He's a translator."
10,M,He's a human translator.,M|He's a human translator.
11,A,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is.","A|And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is."
12,M,It's so scary.,M|It's so scary.
13,A,"Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it.","A|Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it."
14,M,You're,M|You're
15,A,"You mean more money for that means less for cancer or,","A|You mean more money for that means less for cancer or,"
16,M,Yes.,M|Yes.
17,A,yeah.,A|yeah.
18,M,Are you saying we should spend more money on cancer research?,M|Are you saying we should spend more money on cancer research?
19,A,Uh-huh.,A|Uh-huh.
20,M,It's not.,M|It's not.
21,A,Uh-huh.,A|Uh-huh.
22,M,.,M|.
23,A,"Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie.","A|Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie."
24,M,"i, uh, i, uh.","M|i, uh, i, uh."
25,A,"Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point.","A|Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point."
26,M,So you agree with that.,M|So you agree with that.
27,A,Uh-huh.,A|Uh-huh.
28,M,... treating.,M|... treating.
29,A,Uh-huh.,A|Uh-huh.
30,M,You don't.,M|You don't.
31,A,"Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more.","A|Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more."
32,M,,M|
33,A,"That's, that's the part that,","A|That's, that's the part that,"
34,M,What,M|What
35,A,"That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?","A|That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?"
36,M,No.,M|No.
37,A,Oh,A|Oh
38,M,I...,M|I...
39,A,Right.,A|Right.
40,M,It was,M|It was
41,A,"And how is it really transmitted, et cetera.","A|And how is it really transmitted, et cetera."
42,M,How is it transmitted?,M|How is it transmitted?
43,A,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know.","A|Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know."
44,M,You don't think that's what they meant?,M|You don't think that's what they meant?
45,A,"It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa.","A|It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa."
46,M,"They're not going to let you do that, but it's good to know.","M|They're not going to let you do that, but it's good to know."
47,A,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this.","A|In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this."
48,M,?,M|?
49,A,"And does that mean like flus and everything else, there are all these different strains of it?","A|And does that mean like flus and everything else, there are all these different strains of it?"
50,M,It's not.,M|It's not.
51,A,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,","A|I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,"
52,M,So it's the scarier.,M|So it's the scarier.
53,A,"Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care.","A|Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care."
54,M,You mean there are,M|You mean there are
55,A,"Yeah, right. I'll take anything you know.","A|Yeah, right. I'll take anything you know."
56,M,It,M|It
57,A,"I mean if I'm dying, if I know I'm dying, you can experiment on me.","A|I mean if I'm dying, if I know I'm dying, you can experiment on me."
58,M,"Heh, yeah, you can't.","M|Heh, yeah, you can't."
59,A,Go ahead.,A|Go ahead.
60,M,She smiles and puts her hands on her hips,M|She smiles and puts her hands on her hips
61,A,Exactly.,A|Exactly.
62,M,You're not the one who needs to study.,M|You're not the one who needs to study.
63,A,Yeah. Yeah. And that's what I think they're saying too.,A|Yeah. Yeah. And that's what I think they're saying too.
