,Speaker,Utterance,Unified
5,M,I'm,M|I'm
6,A,"Well, oh, hobbies, gee whiz, I guess I got too many hobbies so I never have time to deal with them.","A|Well, oh, hobbies, gee whiz, I guess I got too many hobbies so I never have time to deal with them."
7,M,What do you enjoy?,M|What do you enjoy?
8,A,"I like photography a lot,","A|I like photography a lot,"
9,M,What do you like to do?,M|What do you like to do?
10,A,"uh, I used to do that a lot and then I like, um, we have a new child that will be a year old here next week, so I'll take a lot of pictures of her, you know, and spoil them,","A|uh, I used to do that a lot and then I like, um, we have a new child that will be a year old here next week, so I'll take a lot of pictures of her, you know, and spoil them,"
11,M,"I see, cool.","M|I see, cool."
12,A,"first one, you know how that is. And, um, uh, I play the guitar and a banjo. I mainly play the guitar a lot, I play about every night. And, um, I really love that, if I had a druther , if I could have, if I could make it on the road, I'd like to play on like a bluegrass band or something, because that's, I've,","A|first one, you know how that is. And, um, uh, I play the guitar and a banjo. I mainly play the guitar a lot, I play about every night. And, um, I really love that, if I had a druther , if I could have, if I could make it on the road, I'd like to play on like a bluegrass band or something, because that's, I've,"
13,M,,M|
14,A,"yeah, I've done it before and when I was in in high school and college, and thoroughly enjoyed it,","A|yeah, I've done it before and when I was in in high school and college, and thoroughly enjoyed it,"
15,M,this,M|this
16,A,"and it's really a, a blast. My wife hates it, but that's the way life is, I guess.","A|and it's really a, a blast. My wife hates it, but that's the way life is, I guess."
17,M,Yea,M|Yea
18,A,Exactly.,A|Exactly.
19,M,It's a hard thing to say.,M|It's a hard thing to say.
20,A,"yeah, we, uh, she's, uh, into aerobics, and, uh, and we did aerobics together for about a month and a half","A|yeah, we, uh, she's, uh, into aerobics, and, uh, and we did aerobics together for about a month and a half"
21,M,That was great.,M|That was great.
22,A,"and that went over real well,","A|and that went over real well,"
23,M,The relationship between me and my sister is... complicated.,M|The relationship between me and my sister is... complicated.
24,A,"but, uh, that's about it there.","A|but, uh, that's about it there."
25,M,"uh, uh, uh","M|uh, uh, uh"
26,A,"Oh, yeah, yeah.","A|Oh, yeah, yeah."
27,M,"You know, I'm not a big fan of the''.","M|You know, I'm not a big fan of the''."
28,A,"Oh, that's great.","A|Oh, that's great."
29,M,I'm not a good runner. I don't run in the gym.,M|I'm not a good runner. I don't run in the gym.
30,A,That's great.,A|That's great.
31,M,I do.,M|I do.
32,A,"Yeah, that's, uh, spare time, with a child it's, kind of she's, we have, uh, we're looking for a baby-sitter so we've been out twice in in this year so far. By ourselves without the child","A|Yeah, that's, uh, spare time, with a child it's, kind of she's, we have, uh, we're looking for a baby-sitter so we've been out twice in in this year so far. By ourselves without the child"
33,M,I'm a bit late but I think it's because we're all thinking of you.,M|I'm a bit late but I think it's because we're all thinking of you.
34,A,"so it's kind of, uh, become an issue you could say.","A|so it's kind of, uh, become an issue you could say."
35,M,"I mean, if you want to, sure.","M|I mean, if you want to, sure."
36,A,"Um, hobbies, I like, messing around in your house building things, and, you know, putting cabinets up, and, those kind of things, um,","A|Um, hobbies, I like, messing around in your house building things, and, you know, putting cabinets up, and, those kind of things, um,"
37,M,You wanna see?,M|You wanna see?
38,A,It's really kind of fun.,A|It's really kind of fun.
39,M,I guess so.,M|I guess so.
40,A,"Especially if your spouse will get in there with you and get dirty, yeah.","A|Especially if your spouse will get in there with you and get dirty, yeah."
41,M,"Yes, I do","M|Yes, I do"
42,A,Uh-huh. Sounds like it.,A|Uh-huh. Sounds like it.
43,M,I like you're doing it,M|I like you're doing it
44,A,Do you like to cook?,A|Do you like to cook?
45,M,,M|
46,A,"Yeah, I love to cook, too, I'm, uh,","A|Yeah, I love to cook, too, I'm, uh,"
47,M,"I love to bake, I'm, uh, not a bad cook, I guess.","M|I love to bake, I'm, uh, not a bad cook, I guess."
48,A,"Oh, really?","A|Oh, really?"
49,M,"Well, we do have a thing for Italian food.","M|Well, we do have a thing for Italian food."
50,A,"Well, we're all skinny farts so, I, it, so when it comes to, I like to cook and eat and, to have, mainly, I guess, I get to","A|Well, we're all skinny farts so, I, it, so when it comes to, I like to cook and eat and, to have, mainly, I guess, I get to"
51,M,"Oh, you're a cook, huh?","M|Oh, you're a cook, huh?"
52,A,"amount of people eat, *listen and then say, man this is really good,","A|amount of people eat, *listen and then say, man this is really good,"
53,M,"Well, I've been eating for the past few days.","M|Well, I've been eating for the past few days."
54,A,"um, um, but it just, work in the garden, work around the yard, of course,","A|um, um, but it just, work in the garden, work around the yard, of course,"
55,M,"I know, right? It's the only way I can do it!","M|I know, right? It's the only way I can do it!"
56,A,"Yes,  we sure do, smoke them","A|Yes,  we sure do, smoke them"
57,M,Do we?,M|Do we?
58,A,"Oh, yeah, all that hoedown stuff.","A|Oh, yeah, all that hoedown stuff."
59,M,"Well, uh, all that, uh stuff.","M|Well, uh, all that, uh stuff."
60,A,All that stuff that's bad for you.,A|All that stuff that's bad for you.
61,M,"Like, all of it?","M|Like, all of it?"
62,A,"Oh, sure, yeah.","A|Oh, sure, yeah."
63,M,It's a bit of a joke.,M|It's a bit of a joke.
64,A,"Oh, yeah.","A|Oh, yeah."
65,M,we used to do a lot of things,M|we used to do a lot of things
66,A,"That's, uh, only way to do it.","A|That's, uh, only way to do it."
67,M,We used to do that.,M|We used to do that.
68,A,"Well, yeah, it's, uh, it's, uh, it's, uh, there's, uh, there's pluses to everything,","A|Well, yeah, it's, uh, it's, uh, it's, uh, there's, uh, there's pluses to everything,"
69,M,It's a good thing.,M|It's a good thing.
70,A,"but, you know, seems like there's just so many things to do down here, I like the sports, I play a lot of racquetball.","A|but, you know, seems like there's just so many things to do down here, I like the sports, I play a lot of racquetball."
71,M,"There are, uh, lots of things to be done down here.","M|There are, uh, lots of things to be done down here."
72,A,"Oh, that's great, sounds like you,","A|Oh, that's great, sounds like you,"
73,M,No.,M|No.
74,A,Horses?,A|Horses?
75,M,I had a lot,M|I had a lot
76,A,"Yeah, you really don't. Yeah, the, you have to look real hard to see a lot of things besides concrete, uh,","A|Yeah, you really don't. Yeah, the, you have to look real hard to see a lot of things besides concrete, uh,"
77,M,You really don t.,M|You really don t.
78,A,"there's buildings and concrete and a lot of people and that's about it down here, and so,","A|there's buildings and concrete and a lot of people and that's about it down here, and so,"
79,M,"Well, there's no actual cities, so there's nothing really.","M|Well, there's no actual cities, so there's nothing really."
80,A,"Yeah. But, uh, that's great. Well, sounds like you have a lot of nice hobbies there.","A|Yeah. But, uh, that's great. Well, sounds like you have a lot of nice hobbies there."
81,M,"You know, there's a lot, but I don't know what they are.","M|You know, there's a lot, but I don't know what they are."
82,A,"Well, great, well look, uh, I know it's probably late for you,","A|Well, great, well look, uh, I know it's probably late for you,"
83,M,I don't think so.,M|I don't think so.
84,A,I enjoyed speaking with you,A|I enjoyed speaking with you
85,M,That's cool.,M|That's cool.
86,A,have a good weekend.,A|have a good weekend.
87,M,Yeah I know.,M|Yeah I know.
88,A,Bye-bye.,A|Bye-bye.
89,M,Have a good day,M|Have a good day
