,Speaker,Utterance,Unified
5,M,You,M|You
6,A,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff.","A|The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff."
7,M,I,M|I
8,A,They pick up everything.,A|They pick up everything.
9,M,Are they just like a group of people who work together?,M|Are they just like a group of people who work together?
10,A,Uh-huh.,A|Uh-huh.
11,M,There are a lot of homeless people in Florida.,M|There are a lot of homeless people in Florida.
12,A,Uh-huh.,A|Uh-huh.
13,M,But I have the money to buy a new car...,M|But I have the money to buy a new car...
14,A,Uh-huh.,A|Uh-huh.
15,M,uhhhhhhh. Uhuh.,M|uhhhhhhh. Uhuh.
16,A,Yeah,A|Yeah
17,M,I think they are.,M|I think they are.
18,A,"Uh-huh. I know it, I know it.","A|Uh-huh. I know it, I know it."
19,M,"It's all the students, the students...","M|It's all the students, the students..."
20,A,It piles up.,A|It piles up.
21,M,How do they get to the other side?,M|How do they get to the other side?
22,A,I just don't know.,A|I just don't know.
23,M,I don't have much to say about it.,M|I don't have much to say about it.
24,A,"I just don't know and now they have, like bins and stuff that are a little more convenient because, mean, until seven o'clock, you got to pay to park at the student center, you can't really unload all your stuff.","A|I just don't know and now they have, like bins and stuff that are a little more convenient because, mean, until seven o'clock, you got to pay to park at the student center, you can't really unload all your stuff."
25,M,"Well, I am an engineer.","M|Well, I am an engineer."
26,A,Uh-huh.,A|Uh-huh.
27,M,Parking is free on campus.,M|Parking is free on campus.
28,A,"I know it, I know it.","A|I know it, I know it."
29,M,This is an inconvenient fact,M|This is an inconvenient fact
30,A,"Oh, yeah.","A|Oh, yeah."
31,M,"Oh, yeah.","M|Oh, yeah."
32,A,"The ,","A|The ,"
33,M,"You're, uh, good at it.","M|You're, uh, good at it."
34,A,Uh-huh.,A|Uh-huh.
35,M,"What is this, a for sale?","M|What is this, a for sale?"
36,A,"Well, I mean, it's real, you ought to, because the, the, the farmer's market recycles absolutely everything.","A|Well, I mean, it's real, you ought to, because the, the, the farmer's market recycles absolutely everything."
37,M,I know.,M|I know.
38,A,"And since we go there all the time, I mean","A|And since we go there all the time, I mean"
39,M,"Oh, I'm not that crazy.","M|Oh, I'm not that crazy."
40,A,probably at all.,A|probably at all.
41,M,What's the most common thing in the world?,M|What's the most common thing in the world?
42,A,"Oh, by the way, may name's Julie.","A|Oh, by the way, may name's Julie."
43,M,"Yeah, I know who you are.","M|Yeah, I know who you are."
44,A,Hi.,A|Hi.
45,M,Hi Bill.,M|Hi Bill.
46,A,I'm from Atlanta.,A|I'm from Atlanta.
47,M,You live in Atlanta?,M|You live in Atlanta?
48,A,Neat.,A|Neat.
49,M,Yeah. I live in Atlanta.,M|Yeah. I live in Atlanta.
50,A,I just think that everybody ought to do it.,A|I just think that everybody ought to do it.
51,M,How do you know?,M|How do you know?
52,A,The only thing I know that you can recycle is milk jugs.,A|The only thing I know that you can recycle is milk jugs.
53,M,What do you mean?,M|What do you mean?
54,A,Yeah.,A|Yeah.
55,M,I know.,M|I know.
56,A,"Oh, yeah, they have, uh, uh, what I, what I used to, uh, now that I don't go to the grocery store much, it's kind of moot, but I used to just save up the ones that I got one time and then go and hand them to them the next time and use them over and over.","A|Oh, yeah, they have, uh, uh, what I, what I used to, uh, now that I don't go to the grocery store much, it's kind of moot, but I used to just save up the ones that I got one time and then go and hand them to them the next time and use them over and over."
57,M,"You mean like, like, recycling?","M|You mean like, like, recycling?"
58,A,"but, also most places, like Big Star does and I'm not sure if Kroger does or not but,","A|but, also most places, like Big Star does and I'm not sure if Kroger does or not but,"
59,M,Most places do.,M|Most places do.
60,A,"Yeah, and they, they have like little, little boxes that you can put your old bags in.","A|Yeah, and they, they have like little, little boxes that you can put your old bags in."
61,M,I think of stuff you?,M|I think of stuff you?
62,A,Can bring them in.,A|Can bring them in.
63,M,How can I get in?,M|How can I get in?
64,A,"I know it, I know it.","A|I know it, I know it."
65,M,You know what?,M|You know what?
66,A,"It really is a small,  hostile planet","A|It really is a small,  hostile planet"
67,M,"We are the universe, it is us.","M|We are the universe, it is us."
68,A,"Did you know that, No, really not. Did you know that, like, something like fifty percent of the world's landfills is like paper? Filled with paper.","A|Did you know that, No, really not. Did you know that, like, something like fifty percent of the world's landfills is like paper? Filled with paper."
69,M,That's not a very nice thing to say.,M|That's not a very nice thing to say.
70,A,Huh?,A|Huh?
71,M,And paper!,M|And paper!
72,A,"Well, it is, it is, though.","A|Well, it is, it is, though."
73,M,You don't seem very threatening.,M|You don't seem very threatening.
74,A,"It is, because they,","A|It is, because they,"
75,M,"I think it's bad, because it's not even bad.","M|I think it's bad, because it's not even bad."
76,A,"Well, they do treat paper with chemicals like yellow paper, you know takes something like twenty times as long to decompose.","A|Well, they do treat paper with chemicals like yellow paper, you know takes something like twenty times as long to decompose."
77,M,"The paper is chemically treated, so it can't break down.","M|The paper is chemically treated, so it can't break down."
78,A,"You know, you can bury a piece of yellow paper, it will still be there in a couple of weeks.","A|You know, you can bury a piece of yellow paper, it will still be there in a couple of weeks."
79,M,"They have to leave it on the ground, so it will not decompose","M|They have to leave it on the ground, so it will not decompose"
80,A,Yeah,A|Yeah
81,M,"You mean, like, in a place where the ground is dirt?","M|You mean, like, in a place where the ground is dirt?"
82,A,it will be whole. You'll be able to read  off of it.,A|it will be whole. You'll be able to read  off of it.
83,M,I can't read that.,M|I can't read that.
84,A,"Yeah, um.","A|Yeah, um."
85,M,"That's the thing, I can't read the yellow legal pad.","M|That's the thing, I can't read the yellow legal pad."
86,A,"Well, white paper's bad too. They, they treat it, too.","A|Well, white paper's bad too. They, they treat it, too."
87,M,It's white paper.,M|It's white paper.
88,A,I'm sure that's fine.  I'm sure.  Maybe we ought to just start carving in stone again.,A|I'm sure that's fine.  I'm sure.  Maybe we ought to just start carving in stone again.
89,M,Aye,M|Aye
