Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	2	on the	1	1	1	f	0,1	[[0, 1]]
4	2	2	the pine	27	5	3	f	22,24,26,27	[[22, 24, 26, 27], [24, 26, 27], [26, 27]]
4	0	2	the rocket	91	9	1	f	88,91,96,97	[[88, 91], [96, 97]]
3	1	2	have a	83	5	2	f	82,83,87	[[82, 83, 87]]
3	1	2	on my	27	3	1	f	26,27,29	[[26, 27, 29]]
2	0	2	past the	97	1	2	f	96,97	[[96, 97]]
2	0	2	side of	97	5	2	f	92,97	[[92, 97]]
2	0	2	a rocket	85	3	1	f	82,85	[[82, 85]]
2	0	2	at the	115	1	2	f	114,115	[[114, 115]]
2	0	2	the top	91	3	2	f	88,91	[[88, 91]]
2	0	2	a bit	45	1	1	f	44,45	[[44, 45]]
2	0	2	a canal	67	1	1	f	66,67	[[66, 67]]
2	0	2	the nose	51	1	1	f	50,51	[[50, 51]]
2	0	2	tree is	29	3	1	f	26,29	[[26, 29]]
48	12	1	the	1	115	1	f	0,1,2,4,7,8,10,11,12,14,17,19,20,21,22,23,24,26,27,29,30,31,34,39,50,51,53,62,65,76,77,79,80,81,88,91,92,96,97,104,106,107,108,110,111,112,114,115	[[0, 1], [2, 4, 7], [4, 7], [8, 10, 11], [10, 11], [12, 14, 17], [14, 17, 19], [20, 21, 22, 23], [22, 23, 24, 26, 27], [24, 26, 27, 29], [26, 27, 29, 30, 31], [30, 31], [34, 39], [50, 51, 53], [62, 65], [76, 77, 79, 80, 81], [80, 81], [88, 91], [92, 96, 97], [96, 97], [104, 106, 107], [106, 107, 108, 110, 111], [108, 110, 111], [110, 111, 112, 114, 115]]
10	2	1	a	9	79	1	f	8,9,44,45,66,67,82,83,85,87	[[8, 9], [44, 45], [66, 67], [82, 83, 85, 87]]
9	1	1	of	1	97	1	f	0,1,14,17,19,22,23,92,97	[[0, 1], [14, 17, 19], [22, 23], [92, 97]]
2	0	1	okay	41	1	3	f	40,41	[[40, 41]]
2	0	1	yes	109	3	10	f	106,109	[[106, 109]]
7	1	1	on	1	29	1	f	0,1,2,5,26,27,29	[[0, 1, 2, 5], [2, 5], [26, 27, 29]]
7	1	1	in	7	107	1	f	4,7,56,59,106,110,111	[[4, 7], [56, 59], [106, 110, 111]]
4	0	1	left	5	25	1	f	2,5,22,27	[[2, 5], [22, 27]]
4	2	1	pine	27	5	3	f	22,24,26,27	[[22, 24, 26, 27], [24, 26, 27], [26, 27]]
4	0	1	so	55	57	3	f	50,55,106,107	[[50, 55], [106, 107]]
2	0	1	just	115	1	2	f	114,115	[[114, 115]]
2	0	1	past	97	1	2	f	96,97	[[96, 97]]
2	0	1	at	115	1	1	f	114,115	[[114, 115]]
3	1	1	lighthouse	115	3	3	f	112,114,115	[[112, 114, 115]]
3	1	1	map	15	5	2	f	10,14,15	[[10, 14, 15]]
2	0	1	top	91	3	3	f	88,91	[[88, 91]]
2	0	1	warehouse	83	1	1	f	82,83	[[82, 83]]
2	0	1	forest	39	1	1	f	38,39	[[38, 39]]
2	0	1	got	7	3	1	f	4,7	[[4, 7]]
2	0	1	there	19	3	1	f	16,19	[[16, 19]]
2	0	1	vertically	37	5	1	f	32,37	[[32, 37]]
