,response,context,context/0,context/1,context/2,context/3
0,What do you think is the main reason for the current outbreak?,"More money )),","AIDS research is something that, that, I think whether our country is putting enough money into it",What are we supposed to discuss again?,"Uh, go ahead.",Okay.
1,So they are.,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,","More money )),","AIDS research is something that, that, I think whether our country is putting enough money into it",What are we supposed to discuss again?,"Uh, go ahead."
2,That's what I was going for.,Uh-huh.,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,","More money )),","AIDS research is something that, that, I think whether our country is putting enough money into it",What are we supposed to discuss again?
3,"There's one of those that was working for the American Cancer Society, and then the same one who worked for the British Cancer Society.","and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California.",Uh-huh.,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,","More money )),","AIDS research is something that, that, I think whether our country is putting enough money into it"
4,It's funny because he's not.,Uh-huh.,"and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California.",Uh-huh.,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,","More money )),"
5,He's a human translator.,"And these were from other, people from other countries. He's a translator.",Uh-huh.,"and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California.",Uh-huh.,"and actually I'm concerned that they're not. I have a friend who is working with, uh, who works with, uh, travel groups,"
6,I like the way he says it.,Uh-huh.,"And these were from other, people from other countries. He's a translator.",Uh-huh.,"and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California.",Uh-huh.
7,It's so scary.,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is.",Uh-huh.,"And these were from other, people from other countries. He's a translator.",Uh-huh.,"and one of the ones that he's worked with was professionals who came in for an AIDS, uh, conference in, uh, California."
8,He said the same thing to the French people in Paris.,Huh.,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is.",Uh-huh.,"And these were from other, people from other countries. He's a translator.",Uh-huh.
9,You're,"Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it.",Huh.,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is.",Uh-huh.,"And these were from other, people from other countries. He's a translator."
10,...,"Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,","Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it.",Huh.,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is.",Uh-huh.
11,Yes.,"You mean more money for that means less for cancer or,","Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,","Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it.",Huh.,"And in talking to the people from France he said, you know, he says, one of the things that really concerns me is your government is not telling you enough about how it and frightening this epidemic is. And they're letting, the information out slowly about how, you know, how big it is."
12,So? Is that why you have less money than other people?,Yes.,"You mean more money for that means less for cancer or,","Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,","Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it.",Huh.
13,Are you saying we should spend more money on cancer research?,yeah.,Yes.,"You mean more money for that means less for cancer or,","Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,","Which is scary, you know, pretty scary when so many people get it. So, I guess I'm, I'm, I'd like to see us spend more. I don't know that spending more always gets it."
14,"... because, uh, uh.","And, uh, whether those diseases can some difference could be made if you did pour more money in like diabetes research",yeah.,Yes.,"You mean more money for that means less for cancer or,","Yeah. I'm, I'm ambivalent about it because, um, uh, well it is very frightening and scary. I have no perspective on how it relates to other diseases, and, uh, I mean whether,"
15,It's not.,Uh-huh.,"And, uh, whether those diseases can some difference could be made if you did pour more money in like diabetes research",yeah.,Yes.,"You mean more money for that means less for cancer or,"
16,Uhhhhhhhhhh.,uh,Uh-huh.,"And, uh, whether those diseases can some difference could be made if you did pour more money in like diabetes research",yeah.,Yes.
17,.,Uh-huh.,uh,Uh-huh.,"And, uh, whether those diseases can some difference could be made if you did pour more money in like diabetes research",yeah.
18,"I don't think it's the same. I think the money would go to education, and the money goes to cancer research.","didn't, uh, you know, but I, uh, then part of it's lack of education. I don't know whether, whether, you know, where our money would be most effectively spent.",Uh-huh.,uh,Uh-huh.,"And, uh, whether those diseases can some difference could be made if you did pour more money in like diabetes research"
19,"i, uh, i, uh.","Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie.","didn't, uh, you know, but I, uh, then part of it's lack of education. I don't know whether, whether, you know, where our money would be most effectively spent.",Uh-huh.,uh,Uh-huh.
20,"Uuh, I don'know if it, uh, is still going to be the case.",Uh-huh.,"Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie.","didn't, uh, you know, but I, uh, then part of it's lack of education. I don't know whether, whether, you know, where our money would be most effectively spent.",Uh-huh.,uh
21,So you agree with that.,"Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point.",Uh-huh.,"Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie.","didn't, uh, you know, but I, uh, then part of it's lack of education. I don't know whether, whether, you know, where our money would be most effectively spent.",Uh-huh.
22,",","And I'm, I am concerned a lot about, uh, I'm concerned about, uh, two things. One is preventing the spread and the other is for, uh, for, uh, treating the illness.","Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point.",Uh-huh.,"Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie.","didn't, uh, you know, but I, uh, then part of it's lack of education. I don't know whether, whether, you know, where our money would be most effectively spent."
23,... treating.,Uh-huh.,"And I'm, I am concerned a lot about, uh, I'm concerned about, uh, two things. One is preventing the spread and the other is for, uh, for, uh, treating the illness.","Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point.",Uh-huh.,"Well it, I, I agree with you there because I know every time that something comes into vogue all the money goes to that one and you don't know whether it's still also going to the other or if it's a limited pie."
24,"Uhh, you're not very good","And I'm not certain, I, I, again this, I'm telling you, basically I don't have any opinion.",Uh-huh.,"And I'm, I am concerned a lot about, uh, I'm concerned about, uh, two things. One is preventing the spread and the other is for, uh, for, uh, treating the illness.","Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point.",Uh-huh.
25,You don't.,Uh-huh.,"And I'm not certain, I, I, again this, I'm telling you, basically I don't have any opinion.",Uh-huh.,"And I'm, I am concerned a lot about, uh, I'm concerned about, uh, two things. One is preventing the spread and the other is for, uh, for, uh, treating the illness.","Money from, money for taking care of the infants takes money away from taking care of the elderly, or do they both get served? Uh, that's a good point."
26,,"But whether or not it would be, uh, our money would be better spent, uh, teaching, you know, working on the drug problems and the, and the sex problems, uh, rather than trying to cure the people that already have it.",Uh-huh.,"And I'm not certain, I, I, again this, I'm telling you, basically I don't have any opinion.",Uh-huh.,"And I'm, I am concerned a lot about, uh, I'm concerned about, uh, two things. One is preventing the spread and the other is for, uh, for, uh, treating the illness."
27,,"Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more.","But whether or not it would be, uh, our money would be better spent, uh, teaching, you know, working on the drug problems and the, and the sex problems, uh, rather than trying to cure the people that already have it.",Uh-huh.,"And I'm not certain, I, I, again this, I'm telling you, basically I don't have any opinion.",Uh-huh.
28,"No, and","Yeah, well, you know,","Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more.","But whether or not it would be, uh, our money would be better spent, uh, teaching, you know, working on the drug problems and the, and the sex problems, uh, rather than trying to cure the people that already have it.",Uh-huh.,"And I'm not certain, I, I, again this, I'm telling you, basically I don't have any opinion."
29,What,"That's, that's the part that,","Yeah, well, you know,","Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more.","But whether or not it would be, uh, our money would be better spent, uh, teaching, you know, working on the drug problems and the, and the sex problems, uh, rather than trying to cure the people that already have it.",Uh-huh.
30,,"t-, whether my dentist or","That's, that's the part that,","Yeah, well, you know,","Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more.","But whether or not it would be, uh, our money would be better spent, uh, teaching, you know, working on the drug problems and the, and the sex problems, uh, rather than trying to cure the people that already have it."
31,No.,"That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?","t-, whether my dentist or","That's, that's the part that,","Yeah, well, you know,","Well, and one of the things I'd, and I'm with you that I don't know is, is that really the only way it's being transmitted or was that the easier way to tell us and we're going to find out more."
32,yes.,"and I heard something the other day, this sounds ridiculous, about mosquitoes. And, you know, they've been saying oh, no, absolutely not. Can't get it from mosquitoes. And, uh, and now they are saying well maybe in the right conditions, yes.","That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?","t-, whether my dentist or","That's, that's the part that,","Yeah, well, you know,"
33,I...,Oh,"and I heard something the other day, this sounds ridiculous, about mosquitoes. And, you know, they've been saying oh, no, absolutely not. Can't get it from mosquitoes. And, uh, and now they are saying well maybe in the right conditions, yes.","That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?","t-, whether my dentist or","That's, that's the part that,"
34,I don't.,"And I don't know that's true or not. I mean, I just heard it in passing, but so what does that,",Oh,"and I heard something the other day, this sounds ridiculous, about mosquitoes. And, you know, they've been saying oh, no, absolutely not. Can't get it from mosquitoes. And, uh, and now they are saying well maybe in the right conditions, yes.","That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?","t-, whether my dentist or"
35,It was,Right.,"And I don't know that's true or not. I mean, I just heard it in passing, but so what does that,",Oh,"and I heard something the other day, this sounds ridiculous, about mosquitoes. And, you know, they've been saying oh, no, absolutely not. Can't get it from mosquitoes. And, uh, and now they are saying well maybe in the right conditions, yes.","That's the part that scares me, you know. I mean beginning with this is, this is just for homosexuals, well no, it's for homosexuals and gays, well no, actually, it's, I mean, you know. Did they know that all along?"
36,I work with him and shake his hand,what does that mean for people that you work with and shake hands with and,Right.,"And I don't know that's true or not. I mean, I just heard it in passing, but so what does that,",Oh,"and I heard something the other day, this sounds ridiculous, about mosquitoes. And, you know, they've been saying oh, no, absolutely not. Can't get it from mosquitoes. And, uh, and now they are saying well maybe in the right conditions, yes."
37,How is it transmitted?,"And how is it really transmitted, et cetera.",what does that mean for people that you work with and shake hands with and,Right.,"And I don't know that's true or not. I mean, I just heard it in passing, but so what does that,",Oh
38,It's not a virus. It's a virus.The same thing as the flu virus.,Yeah.,"And how is it really transmitted, et cetera.",what does that mean for people that you work with and shake hands with and,Right.,"And I don't know that's true or not. I mean, I just heard it in passing, but so what does that,"
39,You don't think that's what they meant?,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know.",Yeah.,"And how is it really transmitted, et cetera.",what does that mean for people that you work with and shake hands with and,Right.
40,What's wrong with that?,Uh-huh.,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know.",Yeah.,"And how is it really transmitted, et cetera.",what does that mean for people that you work with and shake hands with and
41,"They're not going to let you do that, but it's good to know.","It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa.",Uh-huh.,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know.",Yeah.,"And how is it really transmitted, et cetera."
42,So did the UN,No.,"It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa.",Uh-huh.,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know.",Yeah.
43,?,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this.",No.,"It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa.",Uh-huh.,"Which is, I think, what they also don't know. I mean that's, I think they, they told us what was convenient and felt safe to say, you know."
44,,Uh-huh.,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this.",No.,"It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa.",Uh-huh.
45,It's not.,"And does that mean like flus and everything else, there are all these different strains of it?",Uh-huh.,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this.",No.,"It was nice to isolate it to one particular community that they have trouble, you know, they just as soon not approve of anyway, but, but that isn't how it was in Africa."
46,You know.,Oh.,"And does that mean like flus and everything else, there are all these different strains of it?",Uh-huh.,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this.",No.
47,So it's the scarier.,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,",Oh.,"And does that mean like flus and everything else, there are all these different strains of it?",Uh-huh.,"In Africa was the men and women and, and had nothing to do with that, and it's huge over there. So I, I, you know, and it's beginning, other countries that's what's his point. This was an international, conference where people are saying, well, but in my country it's, you know, like this."
48,We do know that the effects of it are very much different.,I think maybe more information should be given out about it.,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,",Oh.,"And does that mean like flus and everything else, there are all these different strains of it?",Uh-huh.
49,You mean there are,"Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care.",I think maybe more information should be given out about it.,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,",Oh.,"And does that mean like flus and everything else, there are all these different strains of it?"
50,It's not.,"I, I, give me cyanide. I mean, is it )),","Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care.",I think maybe more information should be given out about it.,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,",Oh.
51,It,"Yeah, right. I'll take anything you know.","I, I, give me cyanide. I mean, is it )),","Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care.",I think maybe more information should be given out about it.,"I mean I don't know. All I'm saying is I think it's scarier than we know. Uh, or maybe they understand but,"
52,"Well, yeah, but if I had a gun, I would still have it.",Uh-huh.,"Yeah, right. I'll take anything you know.","I, I, give me cyanide. I mean, is it )),","Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care.",I think maybe more information should be given out about it.
53,"Heh, yeah, you can't.","I mean if I'm dying, if I know I'm dying, you can experiment on me.",Uh-huh.,"Yeah, right. I'll take anything you know.","I, I, give me cyanide. I mean, is it )),","Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care."
54,Are you sure you are dying?,"Ri-, Exactly.","I mean if I'm dying, if I know I'm dying, you can experiment on me.",Uh-huh.,"Yeah, right. I'll take anything you know.","I, I, give me cyanide. I mean, is it )),"
55,She smiles and puts her hands on her hips,Go ahead.,"Ri-, Exactly.","I mean if I'm dying, if I know I'm dying, you can experiment on me.",Uh-huh.,"Yeah, right. I'll take anything you know."
56,"I'm not going to answer that question, you're not the same guy.","And why can't you, why can't the F D A say, you know, if these people knowingly consent to be, research monkeys and well, let them,",Go ahead.,"Ri-, Exactly.","I mean if I'm dying, if I know I'm dying, you can experiment on me.",Uh-huh.
57,You're not the one who needs to study.,Exactly.,"And why can't you, why can't the F D A say, you know, if these people knowingly consent to be, research monkeys and well, let them,",Go ahead.,"Ri-, Exactly.","I mean if I'm dying, if I know I'm dying, you can experiment on me."
58,Exactly. It's not like they're the only ones who can do it.,"let them, do it.",Exactly.,"And why can't you, why can't the F D A say, you know, if these people knowingly consent to be, research monkeys and well, let them,",Go ahead.,"Ri-, Exactly."
