,response,context,context/0,context/1,context/2,context/3
0,They are in a glass jar.,I see.,so we use that one.,Oh.,"I don't have one in my home here. My, um, parents have one and they live just about three miles away,","Okay. Uh, do you own a P C by the way? I'm guessing you probably do."
1,My parents have a similar one.The only thing i can think of is that it's a special type of water.,"And my in-laws also have one, and they're almost as close.",I see.,so we use that one.,Oh.,"I don't have one in my home here. My, um, parents have one and they live just about three miles away,"
2,We have a few of those,Right.,"And my in-laws also have one, and they're almost as close.",I see.,so we use that one.,Oh.
3,Where do you live?,They're in Richardson.,Right.,"And my in-laws also have one, and they're almost as close.",I see.,so we use that one.
4,"I don't have a garage, so I don't really have a car.","Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?",They're in Richardson.,Right.,"And my in-laws also have one, and they're almost as close.",I see.
5,What do you mean?,"Um, usually, uh, word processing something, um, such as, oh, forms for things, uh,","Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?",They're in Richardson.,Right.,"And my in-laws also have one, and they're almost as close."
6,I'm sorry?,Yeah.,"Um, usually, uh, word processing something, um, such as, oh, forms for things, uh,","Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?",They're in Richardson.,Right.
7,"Oh, I've never been home schooled.",also I have a nine year old that I've been home schooling for the last three years.,Yeah.,"Um, usually, uh, word processing something, um, such as, oh, forms for things, uh,","Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?",They're in Richardson.
8,"Yeah, uh, uh.",Oh.,also I have a nine year old that I've been home schooling for the last three years.,Yeah.,"Um, usually, uh, word processing something, um, such as, oh, forms for things, uh,","Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?"
9,"Ah, okay.","And we got, uh, the one that my parents have is an Apple Two E.",Oh.,also I have a nine year old that I've been home schooling for the last three years.,Yeah.,"Um, usually, uh, word processing something, um, such as, oh, forms for things, uh,"
10,Umm. Uh huh.,Uh-huh.,"And we got, uh, the one that my parents have is an Apple Two E.",Oh.,also I have a nine year old that I've been home schooling for the last three years.,Yeah.
11,It's my sister in law's name.,"And I have a sister-in-law who is, who works in the Fort Worth school district.",Uh-huh.,"And we got, uh, the one that my parents have is an Apple Two E.",Oh.,also I have a nine year old that I've been home schooling for the last three years.
12,I've been told by my family that I have an apple.,Uh-huh.,"And I have a sister-in-law who is, who works in the Fort Worth school district.",Uh-huh.,"And we got, uh, the one that my parents have is an Apple Two E.",Oh.
13,Uh... um...,"And so she got me copies of, uh, several of the Apple programs for school programs,",Uh-huh.,"And I have a sister-in-law who is, who works in the Fort Worth school district.",Uh-huh.,"And we got, uh, the one that my parents have is an Apple Two E."
14,She got me a copy of the iPhone app for school.,Great. Yeah.,"And so she got me copies of, uh, several of the Apple programs for school programs,",Uh-huh.,"And I have a sister-in-law who is, who works in the Fort Worth school district.",Uh-huh.
15,I just like to play games with my mom.,"and so we use those and there's some, whenever we go over and visit grandma the kids love to play the computer game, so, that's part of it.",Great. Yeah.,"And so she got me copies of, uh, several of the Apple programs for school programs,",Uh-huh.,"And I have a sister-in-law who is, who works in the Fort Worth school district."
16,I think we've got a few of them in the past.,"Oh, sure.","and so we use those and there's some, whenever we go over and visit grandma the kids love to play the computer game, so, that's part of it.",Great. Yeah.,"And so she got me copies of, uh, several of the Apple programs for school programs,",Uh-huh.
17,How does one use a computer?,"Um, my husband has used the one at his folks house for mostly business things. Uh, his resume, his, uh, letter,","Oh, sure.","and so we use those and there's some, whenever we go over and visit grandma the kids love to play the computer game, so, that's part of it.",Great. Yeah.,"And so she got me copies of, uh, several of the Apple programs for school programs,"
18,Do you have a resume?,Yeah.,"Um, my husband has used the one at his folks house for mostly business things. Uh, his resume, his, uh, letter,","Oh, sure.","and so we use those and there's some, whenever we go over and visit grandma the kids love to play the computer game, so, that's part of it.",Great. Yeah.
19,"Wait, what?","he's been applying for jobs and things, so that type of thing. Uh, forms for his photography business, and that kind of thing.",Yeah.,"Um, my husband has used the one at his folks house for mostly business things. Uh, his resume, his, uh, letter,","Oh, sure.","and so we use those and there's some, whenever we go over and visit grandma the kids love to play the computer game, so, that's part of it."
20,It's the most beautiful thing ever.,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","he's been applying for jobs and things, so that type of thing. Uh, forms for his photography business, and that kind of thing.",Yeah.,"Um, my husband has used the one at his folks house for mostly business things. Uh, his resume, his, uh, letter,","Oh, sure."
21,"uh, uh, how did you get these?",Yeah.,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","he's been applying for jobs and things, so that type of thing. Uh, forms for his photography business, and that kind of thing.",Yeah.,"Um, my husband has used the one at his folks house for mostly business things. Uh, his resume, his, uh, letter,"
22,I dunno.,"Uh,",Yeah.,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","he's been applying for jobs and things, so that type of thing. Uh, forms for his photography business, and that kind of thing.",Yeah.
23,Oh. That's cool.,"I'm, uh, my father had a software company,","Uh,",Yeah.,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","he's been applying for jobs and things, so that type of thing. Uh, forms for his photography business, and that kind of thing."
24,I've been told.,Oh.,"I'm, uh, my father had a software company,","Uh,",Yeah.,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly."
25,I wonder what that's like.,and they have a bunch of computers leftover from that,Oh.,"I'm, uh, my father had a software company,","Uh,",Yeah.
26,But they're still the same.,Uh-huh.,and they have a bunch of computers leftover from that,Oh.,"I'm, uh, my father had a software company,","Uh,"
27,"They have a computer and a radio, and a computer.","and we're hoping that they can put together something for us here that we can have the word processing, here",Uh-huh.,and they have a bunch of computers leftover from that,Oh.,"I'm, uh, my father had a software company,"
28,I think it's a little late to make this comment,Yeah.,"and we're hoping that they can put together something for us here that we can have the word processing, here",Uh-huh.,and they have a bunch of computers leftover from that,Oh.
29,"Yeah, it's a little bit older.","But, um, they're kind of old older",Yeah.,"and we're hoping that they can put together something for us here that we can have the word processing, here",Uh-huh.,and they have a bunch of computers leftover from that
30,I don't think that's the case.,Right.,"But, um, they're kind of old older",Yeah.,"and we're hoping that they can put together something for us here that we can have the word processing, here",Uh-huh.
31,"We have a program for that, we'll just have to see what it is.","so I'm not sure that we'll be able to do, get too many other programs for it.",Right.,"But, um, they're kind of old older",Yeah.,"and we're hoping that they can put together something for us here that we can have the word processing, here"
32,It's,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","so I'm not sure that we'll be able to do, get too many other programs for it.",Right.,"But, um, they're kind of old older",Yeah.
33,...,Oh. I have one of those. Yeah.,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","so I'm not sure that we'll be able to do, get too many other programs for it.",Right.,"But, um, they're kind of old older"
34,"I'm not really, I'm just...","Well, then, um,",Oh. I have one of those. Yeah.,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","so I'm not sure that we'll be able to do, get too many other programs for it.",Right.
35,I'm not.,"Mine's broke at the moment, but","Well, then, um,",Oh. I have one of those. Yeah.,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","so I'm not sure that we'll be able to do, get too many other programs for it."
