,Word,Conc.M
0,the,1.43
1,a,1.46
3,of,1.67
4,right,3.47
5,to,1.55
6,you,4.11
7,and,1.52
8,have,2.18
9,go,3.15
10,then,1.44
11,down,3.52
12,do,2.46
13,just,1.52
14,it,2.81
15,at,2.07
16,on,3.25
17,in,3.0
18,how,1.35
19,above,3.33
21,side,3.68
22,left,3.7
23,going,2.69
24,but,2.04
25,so,1.42
26,no,2.45
27,map,4.93
28,got,1.93
29,up,3.83
30,straight,2.76
31,stone,4.72
32,that,1.54
33,is,1.59
34,yeah,1.89
35,far,2.71
36,fort,4.72
37,want,1.93
38,creek,4.87
39,past,1.7
40,mine,3.56
41,gold,4.81
44,turn,3.44
45,bit,3.27
46,cross,4.44
48,okay,1.89
49,bar,4.67
51,come,2.72
52,diamond,4.89
53,thing,3.17
54,page,4.9
55,see,3.21
56,line,4.5
57,tree,5.0
58,if,1.19
59,pine,4.37
60,rift,3.4
61,there,2.2
62,river,4.89
63,avalanche,4.32
65,ravine,4.61
66,below,3.45
67,south,3.84
68,flat,4.07
69,about,1.77
70,fast,3.32
71,end,3.14
72,know,1.68
73,your,2.37
74,crane,4.68
75,get,2.38
76,pyramid,4.96
77,corner,4.61
78,mountain,4.96
79,boat,4.93
80,are,1.96
81,edge,4.24
82,ghost,3.19
83,valley,4.72
84,old,2.72
85,trout,4.72
86,town,4.64
87,forge,4.04
88,cactus,5.0
89,lake,4.88
90,from,1.84
91,along,2.14
92,over,2.46
93,pole,4.66
94,hideout,3.83
95,top,3.93
96,an,1.46
98,truck,4.84
99,heading,3.1
100,camp,4.35
101,like,1.89
102,village,4.89
103,be,1.85
104,been,1.92
105,oh,1.48
106,rocket,4.73
107,move,3.25
108,city,4.79
109,my,2.42
110,bay,4.81
112,meadow,4.86
113,hot,4.31
114,bridge,4.97
115,rope,4.93
116,well,3.33
117,warehouse,4.69
118,aye,2.09
119,nose,4.89
120,yes,2.14
121,house,5.0
122,forest,4.76
123,was,1.69
124,back,4.33
125,think,2.41
126,round,3.9
127,or,1.72
128,into,2.3
129,east,3.04
130,should,1.53
131,fallen,3.53
132,draw,3.97
133,what,2.0
134,them,3.04
135,between,2.72
136,level,2.86
137,face,4.87
138,lighthouse,4.96
139,not,2.08
140,west,3.44
141,stop,3.68
142,cattle,4.64
143,gone,2.04
144,one,3.97
145,mean,2.5
146,take,3.06
147,temple,4.53
149,abandoned,2.52
150,by,1.55
151,again,2.0
152,hit,4.11
154,with,2.0
156,as,1.33
157,rock,4.91
158,coming,2.07
159,where,1.66
160,cottage,4.85
161,anything,1.38
162,pass,2.71
163,remote,3.44
164,across,3.07
166,can,4.55
167,north,4.14
168,keep,2.37
169,washed,4.0
170,buffalo,4.83
171,caravan,4.37
172,touching,3.43
173,monument,4.58
174,still,3.46
175,grove,4.76
176,curve,4.41
177,all,2.27
179,farm,4.59
180,will,2.64
181,through,2.9
183,finish,2.89
184,other,2.04
185,me,4.33
187,description,2.43
188,noose,4.52
189,way,2.34
191,more,2.37
192,wheel,4.86
193,wagon,4.89
194,avoid,2.41
195,less,2.77
196,supposed,1.6
197,moment,1.61
198,am,1.96
199,next,2.56
200,they,2.93
201,wooden,4.61
202,which,1.54
203,bottom,4.25
204,flagship,3.89
205,drawn,2.79
206,always,1.71
207,canal,4.68
208,walk,4.07
209,banana,5.0
210,standing,4.04
211,steps,4.39
212,almost,1.66
213,apache,3.88
214,canoe,4.86
216,under,3.45
217,vertically,3.63
219,doing,2.66
220,out,2.73
222,for,1.63
223,different,1.97
224,another,2.69
227,road,4.75
228,site,4.56
229,test,3.93
230,country,4.17
