,Speaker,Utterance,Unified
5,f,mmhmm,f|mmhmm
6,M,its a lot of fun,M|its a lot of fun
7,f,oh hang on i don't have a graveyard,f|oh hang on i don't have a graveyard
8,M,I don't think you're supposed to do that.,M|I don't think you're supposed to do that.
9,f,fast running creek,f|fast running creek
10,M,What is it?,M|What is it?
11,f,is that to the right that'll be to my right to my right,f|is that to the right that'll be to my right to my right
12,M,no it's not,M|no it's not
13,f,right so i continue and go below the fast running creek,f|right so i continue and go below the fast running creek
14,M,"oh, yeah","M|oh, yeah"
15,f,i don't have a fast flowing river,f|i don't have a fast flowing river
16,M,I'll have a quick run then,M|I'll have a quick run then
17,f,i've a fast flowing running creek which is on the far right-hand corner,f|i've a fast flowing running creek which is on the far right-hand corner
18,M,which one is the red one?,M|which one is the red one?
19,f,so you have,f|so you have
20,M,i have a river,M|i have a river
21,f,yeah got an apache camp,f|yeah got an apache camp
22,M,do you have any apaches?,M|do you have any apaches?
23,f,but that's like at forty-five degrees south east,f|but that's like at forty-five degrees south east
24,M,north east,M|north east
25,f,right,f|right
26,M,"its just a diamond mine, you can make any stone you want","M|its just a diamond mine, you can make any stone you want"
27,f,no no graveyard,f|no no graveyard
28,M,do u have a deck?,M|do u have a deck?
29,f,no,f|no
30,M,"no, no","M|no, no"
31,f,yes got a desert which if i continue straight down past the diamond mine,f|yes got a desert which if i continue straight down past the diamond mine
32,M,no no,M|no no
33,f,okay so i'm still below the diamond mine,f|okay so i'm still below the diamond mine
34,M,you should probably go there then,M|you should probably go there then
35,f,right okay,f|right okay
36,M,you are the one who asked me,M|you are the one who asked me
37,f,my right right okay,f|my right right okay
38,M,You are not near the diamond mines.,M|You are not near the diamond mines.
39,f,i've got a fast running creek,f|i've got a fast running creek
40,M,i have a graveyard and a fast flow river,M|i have a graveyard and a fast flow river
41,f,how unlucky,f|how unlucky
42,M,i have a lot of luck with the lucky,M|i have a lot of luck with the lucky
43,f,can i just go straight to the saloon bar,f|can i just go straight to the saloon bar
44,M,i'll just leave you alone,M|i'll just leave you alone
45,f,right okay,f|right okay
46,M,i'm thirsty,M|i'm thirsty
47,f,yes,f|yes
48,M,you know i'm not talking about the water,M|you know i'm not talking about the water
49,f,yeah,f|yeah
50,M,I think they're linked to each other,M|I think they're linked to each other
51,f,okay,f|okay
52,M,i am on my way,M|i am on my way
53,f,right okay,f|right okay
54,M,i dont know what you mean by that,M|i dont know what you mean by that
55,f,okay,f|okay
56,M,then go north,M|then go north
57,f,right okay,f|right okay
58,M,alright then,M|alright then
59,f,passing above it,f|passing above it
60,M,and what is your ign,M|and what is your ign
61,f,but to the southwest,f|but to the southwest
62,M,passes the black line,M|passes the black line
63,f,okay,f|okay
64,M,oh ok,M|oh ok
65,f,passing above it right,f|passing above it right
66,M,i don't see it,M|i don't see it
67,f,yes,f|yes
68,M,still building?,M|still building?
69,f,yes,f|yes
70,M,can you help me?,M|can you help me?
71,f,between them,f|between them
72,M,i think you have to pass through the wall first,M|i think you have to pass through the wall first
73,f,right okay,f|right okay
74,M,the walls,M|the walls
75,f,but i'm that's not in a straight line,f|but i'm that's not in a straight line
76,M,I'm that is not in the way,M|I'm that is not in the way
77,f,right okay right okay,f|right okay right okay
78,M,but I'm that is not in the straight line so I'm just gonna go between them,M|but I'm that is not in the straight line so I'm just gonna go between them
79,f,right,f|right
80,M,Right,M|Right
81,f,okay i'm between,f|okay i'm between
82,M,Ok ok i'm on,M|Ok ok i'm on
83,f,okay,f|okay
84,M,k go ahead,M|k go ahead
85,f,yes,f|yes
86,M,are you on right now?,M|are you on right now?
87,f,yes uh-huh,f|yes uh-huh
88,M,i like to see it,M|i like to see it
89,f,but right at the very bottom,f|but right at the very bottom
90,M,It's there.,M|It's there.
91,f,yes uh-huh,f|yes uh-huh
92,M,but up at the bottom right,M|but up at the bottom right
93,f,yes,f|yes
94,M,do u have a rock creek in the area?,M|do u have a rock creek in the area?
95,f,they're all on a diagonal,f|they're all on a diagonal
96,M,I think they are all on the same line.,M|I think they are all on the same line.
97,f,carved wooden pole stone creek flat rocks,f|carved wooden pole stone creek flat rocks
98,M,what did you use to make the logs?,M|what did you use to make the logs?
99,f,right,f|right
100,M,left side of the map,M|left side of the map
101,f,"an ""s""","f|an ""s"""
102,M,a. b.,M|a. b.
103,f,right i right wait,f|right i right wait
104,M,"I right, i right","M|I right, i right"
105,f,right from,f|right from
106,M,right down,M|right down
107,f,right i i'm at the walled city right,f|right i i'm at the walled city right
108,M,yeah right,M|yeah right
109,f,right,f|right
110,M,okay im in the room,M|okay im in the room
111,f,i'm just i'm just come down,f|i'm just i'm just come down
112,M,oh ok,M|oh ok
113,f,so i'm still at the parallel with the base,f|so i'm still at the parallel with the base
114,M,and the other side is also,M|and the other side is also
115,f,right,f|right
116,M,so what?,M|so what?
117,f,the carved wooden pole is right at my right at the bottom i've got a ghost town in between the walled city and,f|the carved wooden pole is right at my right at the bottom i've got a ghost town in between the walled city and
118,M,I'm at the bonfire.,M|I'm at the bonfire.
119,f,the carved wooden pole there's a ghost town,f|the carved wooden pole there's a ghost town
120,M,is it at the south wall?,M|is it at the south wall?
121,f,yes,f|yes
122,M,is the wooden pole on the bottom right?,M|is the wooden pole on the bottom right?
123,f,mm more or less yeah more or less,f|mm more or less yeah more or less
124,M,i know the old town is haunted but the old one is now,M|i know the old town is haunted but the old one is now
125,f,right okay,f|right okay
126,M,i have a fire safari if you need,M|i have a fire safari if you need
127,f,right okay,f|right okay
128,M,more or less pass pass,M|more or less pass pass
129,f,so between the ghost town and sort of like a forty-five degree line or something,f|so between the ghost town and sort of like a forty-five degree line or something
130,M,right ok,M|right ok
131,f,right below the go below the wooden pole,f|right below the go below the wooden pole
132,M,the ghost town is on the left,M|the ghost town is on the left
133,f,right so between the ghost town and the wooden pole,f|right so between the ghost town and the wooden pole
134,M,yes exactly,M|yes exactly
135,f,right okay so i'm passing above the stone creek and i'm going up to above the flat rocks,f|right okay so i'm passing above the stone creek and i'm going up to above the flat rocks
136,M,the stone creek is a bit to the right of the ghost towns,M|the stone creek is a bit to the right of the ghost towns
137,f,right okay right i know what you mean right,f|right okay right i know what you mean right
138,M,like above the rock creek,M|like above the rock creek
139,f,okay,f|okay
140,M,ok i'm in,M|ok i'm in
141,f,right okay i'm below the flat rocks,f|right okay i'm below the flat rocks
142,M,yes and yes,M|yes and yes
143,f,yeah,f|yeah
144,M,are you in the flat rock area?,M|are you in the flat rock area?
145,f,yeah got a saloon bar as well above that though,f|yeah got a saloon bar as well above that though
146,M,I'm pretty sure you can't.,M|I'm pretty sure you can't.
147,f,right i know,f|right i know
148,M,"the only way to do it is to go into a bar, and go on the way down","M|the only way to do it is to go into a bar, and go on the way down"
149,f,not just now right okay due south,f|not just now right okay due south
150,M,right now,M|right now
151,f,right that means i've passed the bar,f|right that means i've passed the bar
152,M,i'm just a kid,M|i'm just a kid
153,f,right okay,f|right okay
154,M,you mean a straight line?,M|you mean a straight line?
155,f,right,f|right
156,M,"ok fine, i'll just go straight back to the bar.","M|ok fine, i'll just go straight back to the bar."
157,f,no,f|no
158,M,ok and do i have a cabin,M|ok and do i have a cabin
159,f,no,f|no
160,M,Do you have any other friends?,M|Do you have any other friends?
161,f,yes,f|yes
162,M,you have a castle?,M|you have a castle?
163,f,mmhmm below them,f|mmhmm below them
164,M,where is the buffalo?,M|where is the buffalo?
165,f,below the buffalo right so turn to my left,f|below the buffalo right so turn to my left
166,M,where is the buffalo?,M|where is the buffalo?
167,f,below the buffalo,f|below the buffalo
168,M,above them,M|above them
169,f,right,f|right
170,M,above the buffalo.,M|above the buffalo.
171,f,okay pass straight across,f|okay pass straight across
172,M,i'm on my way there now,M|i'm on my way there now
173,f,right there's a cattle ranch between your buffalo and your fort,f|right there's a cattle ranch between your buffalo and your fort
174,M,and what about the cows?,M|and what about the cows?
175,f,"right so i've got to go along and uh over a ""u"" shape right","f|right so i've got to go along and uh over a ""u"" shape right"
176,M,I think you mean the cow.,M|I think you mean the cow.
177,f,and then to the along to the fort,f|and then to the along to the fort
178,M,I've gone up and down the cow fields,M|I've gone up and down the cow fields
179,f,"right hang on hang on right right i'm doing my ""u"" now right","f|right hang on hang on right right i'm doing my ""u"" now right"
180,M,"Oh, ok","M|Oh, ok"
181,f,right,f|right
182,M,and then right,M|and then right
183,f,"over the over the ""u"" right down and then down to the left and then south","f|over the over the ""u"" right down and then down to the left and then south"
184,M,you are the best kind of people,M|you are the best kind of people
185,f,before i reach the fort or on the other side,f|before i reach the fort or on the other side
186,M,"i dont know if youve been to the fort, but it's not too hard.","M|i dont know if youve been to the fort, but it's not too hard."
187,f,right,f|right
188,M,where i am,M|where i am
189,f,so down south right,f|so down south right
190,M,the fort,M|the fort
191,f,no,f|no
192,M,are you on the fort?,M|are you on the fort?
193,f,okay,f|okay
194,M,i dont like that,M|i dont like that
195,f,i have to proceed,f|i have to proceed
196,M,"so do i, but i don't know where to go","M|so do i, but i don't know where to go"
197,f,right so i just go straight up north,f|right so i just go straight up north
198,M,where is the fort?,M|where is the fort?
199,f,right,f|right
200,M,the left one,M|the left one
201,f,i'm above the fort at the base of the wooden,f|i'm above the fort at the base of the wooden
202,M,I'm right above the top of the fort.,M|I'm right above the top of the fort.
203,f,right okay,f|right okay
