Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	, uh , I	35	B	15, 49
2	4	Oh , okay .	11	B	75, 85
2	4	you know , it	15	B	13, 27
5	3	, uh ,	75	B	3, 13, 15, 49, 77
3	3	a , a	27	B	3, 13, 29
3	3	you know ,	17	B	11, 13, 27
2	3	, I like	43	B	7, 49
2	3	, it ,	3	B	27, 29
2	3	, you know	75	B	13, 87
2	3	. I ,	5	B	49, 53
2	3	that way .	57	B	13, 69
6	2	, I	47	B	7, 15, 19, 21, 49, 53
6	2	, uh	75	B	3, 13, 15, 29, 49, 77
6	2	Yeah .	49	B	25, 31, 35, 67, 71, 73
5	2	Oh ,	67	B	19, 23, 49, 75, 85
5	2	uh ,	75	B	3, 13, 15, 49, 77
4	2	, and	55	B	3, 11, 15, 57
4	2	, it	19	B	11, 13, 27, 29
4	2	, they	43	B	23, 47, 49, 65
4	2	, you	85	B	3, 13, 57, 87
4	2	. I	33	B	21, 47, 49, 53
3	2	, if	57	B	11, 13, 67
3	2	, it's	81	B	7, 27, 87
3	2	, that's	55	B	11, 63, 65
3	2	Oh .	37	B	45, 51, 81
3	2	a ,	27	B	3, 13, 29
3	2	going to	73	B	13, 67, 85
3	2	it ,	21	B	27, 29, 47
3	2	know ,	17	B	11, 13, 27
3	2	of the	55	B	13, 15, 67
2	2	, right	29	B	29, 57
2	2	, that	11	B	3, 13
2	2	, we	11	B	49, 59
2	2	. Yeah	7	B	29, 35
2	2	I do	3	B	19, 21
2	2	No ,	9	B	53, 61
2	2	So ,	69	B	15, 83
2	2	Uh .	49	B	1, 49
2	2	Uh-huh .	29	B	5, 33
2	2	Um ,	9	B	69, 77
2	2	Well ,	47	B	11, 57
2	2	Yeah ,	21	B	29, 49
2	2	a little	33	B	27, 59
2	2	for ,	21	B	67, 87
2	2	it's ,	77	B	11, 87
2	2	part of	5	B	63, 67
2	2	right ,	9	B	57, 65
2	2	so ,	23	B	41, 63
2	2	so much	3	B	11, 13
2	2	something ,	21	B	57, 77
2	2	that ,	43	B	13, 55
2	2	that you	3	B	11, 13
2	2	to get	47	B	11, 57
2	2	we have	29	B	21, 49
12	1	that	85	B	3, 7, 11, 13, 21, 49, 55, 59, 67, 69, 79, 87
11	1	I	81	B	7, 9, 13, 15, 19, 21, 47, 49, 53, 59, 87
9	1	the	65	B	3, 13, 15, 23, 49, 59, 63, 65, 67
9	1	you	85	B	3, 9, 11, 13, 27, 43, 55, 57, 87
8	1	and	85	B	3, 11, 13, 15, 27, 57, 63, 87
8	1	it	57	B	11, 13, 27, 29, 47, 61, 63, 67
8	1	to	77	B	11, 13, 15, 57, 63, 67, 85, 87
7	1	a	57	B	3, 13, 27, 29, 43, 49, 59
7	1	of	65	B	3, 11, 13, 15, 49, 63, 67
5	1	for	85	B	3, 57, 67, 77, 87
5	1	it's	81	B	7, 11, 27, 69, 87
5	1	so	77	B	11, 13, 41, 63, 87
5	1	they	65	B	23, 47, 49, 65, 87
5	1	we	47	B	21, 49, 59, 63, 67
4	1	all	47	B	3, 13, 27, 49
4	1	get	85	B	3, 11, 57, 87
4	1	is	57	B	11, 13, 21, 67
4	1	know	77	B	11, 13, 27, 87
4	1	like	81	B	7, 29, 49, 87
3	1	No	45	B	17, 53, 61
3	1	Uh	49	B	1, 37, 49
3	1	Uh-huh	61	B	5, 33, 65
3	1	Well	49	B	11, 57, 59
3	1	are	33	B	11, 23, 43
3	1	do	31	B	19, 21, 49
3	1	have	47	B	3, 21, 49
3	1	just	47	B	3, 11, 49
3	1	part	61	B	7, 63, 67
3	1	some	61	B	3, 13, 63
3	1	something	67	B	11, 57, 77
3	1	think	35	B	15, 21, 49
2	1	And	31	B	49, 79
2	1	almost	19	B	11, 29
2	1	as	67	B	11, 77
2	1	but	37	B	13, 49
2	1	can't	73	B	15, 87
2	1	go	5	B	63, 67
2	1	grandma	7	B	63, 69
2	1	lot	39	B	11, 49
2	1	not	33	B	21, 53
2	1	on	9	B	13, 21
2	1	one	37	B	11, 47
2	1	or	45	B	13, 57
2	1	our	29	B	21, 49
2	1	out	79	B	9, 87
2	1	over	37	B	27, 63
2	1	policy	9	B	13, 21
2	1	see	19	B	69, 87
2	1	too	9	B	19, 27
2	1	was	41	B	15, 55
2	1	well	59	B	11, 69
2	1	what	19	B	49, 67
2	1	when	29	B	27, 55
2	1	yeah	5	B	37, 41

