,response,context,context/0,context/1,context/2,context/3
0,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh,right so the start is at the top left-hand side of the page
1,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh
2,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right
3,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs
4,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe
5,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no
6,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve
7,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down
8,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs
9,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right
