,response,context,context/0,context/1,context/2,context/3
0,west and then down south,er go forward and then kind of down south,mmhmm,right now turn to the west,alright okay,right starts above the stony desert
1,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south,mmhmm,right now turn to the west,alright okay
2,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south,mmhmm,right now turn to the west
3,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south,mmhmm
4,mmhmm,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south,er go forward and then kind of down south
5,right to the very end of paper,mmhmm,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,west and then down south
6,the very end of the map,right to the very end of paper,mmhmm,right then travel west again,the map all right,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert
7,map right,the very end of the map,right to the very end of paper,mmhmm,right then travel west again,the map all right
8,mmhmm,map right,the very end of the map,right to the very end of paper,mmhmm,right then travel west again
9,and then up north,mmhmm,map right,the very end of the map,right to the very end of paper,mmhmm
10,mmhmm,and then up north,mmhmm,map right,the very end of the map,right to the very end of paper
11,now have you got anything down that side,mmhmm,and then up north,mmhmm,map right,the very end of the map
12,not in that corner,now have you got anything down that side,mmhmm,and then up north,mmhmm,map right
13,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side,mmhmm,and then up north,mmhmm
14,fssss over a bit,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side,mmhmm,and then up north
15,right go straight up north,fssss over a bit,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side,mmhmm
16,mmhmm,right go straight up north,fssss over a bit,no well have you got a collapsed shelter,not in that corner,now have you got anything down that side
17,until you get to a kind of level above the shelter,mmhmm,right go straight up north,fssss over a bit,no well have you got a collapsed shelter,not in that corner
18,alright,until you get to a kind of level above the shelter,mmhmm,right go straight up north,fssss over a bit,no well have you got a collapsed shelter
19,and turn east to and travel right along,alright,until you get to a kind of level above the shelter,mmhmm,right go straight up north,fssss over a bit
20,alright,and turn east to and travel right along,alright,until you get to a kind of level above the shelter,mmhmm,right go straight up north
21,past the the shelter that's over the top,alright,and turn east to and travel right along,alright,until you get to a kind of level above the shelter,mmhmm
22,uh-huh,past the the shelter that's over the top,alright,and turn east to and travel right along,alright,until you get to a kind of level above the shelter
23,right then south,uh-huh,past the the shelter that's over the top,alright,and turn east to and travel right along,alright
24,then south,right then south,uh-huh,past the the shelter that's over the top,alright,and turn east to and travel right along
25,just to below the shelter below the level of the shelter,then south,right then south,uh-huh,past the the shelter that's over the top,alright
26,right,just to below the shelter below the level of the shelter,then south,right then south,uh-huh,past the the shelter that's over the top
27,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter,then south,right then south,uh-huh
28,mmhmm,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter,then south,right then south
29,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter,then south
30,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah,right,just to below the shelter below the level of the shelter
31,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah,right
32,mmhmm,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm,in a kind of east and have you got a savannah
33,don't go round about it just go up before it,mmhmm,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah,mmhmm
34,mmhmm,don't go round about it just go up before it,mmhmm,then turn north up,mmhmm,there's a savannah right you want to travel east until you get to before the savannah
35,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it,mmhmm,then turn north up,mmhmm
36,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it,mmhmm,then turn north up
37,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it,mmhmm
38,they're over a bit,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm,don't go round about it just go up before it
39,or hot springs,they're over a bit,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north,mmhmm
40,they're over to the west a bit,or hot springs,they're over a bit,right now have you got the hot wells,i'm going north,right on my map there's a slate mountain you're traveling north
41,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs,they're over a bit,right now have you got the hot wells,i'm going north
42,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs,they're over a bit,right now have you got the hot wells
43,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs,they're over a bit
44,right so i'm going above them,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit,or hot springs
45,until you get to the hot wells,right so i'm going above them,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,they're over to the west a bit
46,right,until you get to the hot wells,right so i'm going above them,and turn to your the west,right,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it
47,no don't go over the top of them,right,until you get to the hot wells,right so i'm going above them,and turn to your the west,right
48,right i'll go up to them,no don't go over the top of them,right,until you get to the hot wells,right so i'm going above them,and turn to your the west
49,alright now and come down below them,right i'll go up to them,no don't go over the top of them,right,until you get to the hot wells,right so i'm going above them
50,underneath them,alright now and come down below them,right i'll go up to them,no don't go over the top of them,right,until you get to the hot wells
51,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them,right i'll go up to them,no don't go over the top of them,right
52,south,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them,right i'll go up to them,no don't go over the top of them
53,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them,right i'll go up to them
54,mmhmm underneath the elephants,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south,underneath them,alright now and come down below them
55,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south,underneath them
56,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west,south,mmhmm until you just get past them then come down to them south
57,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west,south
58,mmhmm,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants,just a a couple of inches and then west
59,past it,mmhmm,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain,mmhmm underneath the elephants
60,past the top of it,past it,mmhmm,right you want to go right up north,mmhmm it's up a bit,mmhmm and then north now have you got big white mountain
61,right up above it,past the top of it,past it,mmhmm,right you want to go right up north,mmhmm it's up a bit
62,right,right up above it,past the top of it,past it,mmhmm,right you want to go right up north
63,right have you got the lake,right,right up above it,past the top of it,past it,mmhmm
64,no,right have you got the lake,right,right up above it,past the top of it,past it
65,mm-mm,no,right have you got the lake,right,right up above it,past the top of it
66,to the no,mm-mm,no,right have you got the lake,right,right up above it
67,the roman baths,to the no,mm-mm,no,right have you got the lake,right
68,no,the roman baths,to the no,mm-mm,no,right have you got the lake
69,hmm antelopes,no,the roman baths,to the no,mm-mm,no
70,mm they're over to the east of the mountain,hmm antelopes,no,the roman baths,to the no,mm-mm
71,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes,no,the roman baths,to the no
72,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes,no,the roman baths
73,no but right the way over,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes,no
74,right over to the east again,no but right the way over,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain,hmm antelopes
75,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over,no beside this no,right you want to go sure you don't have a lake,mm they're over to the east of the mountain
76,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over,no beside this no,right you want to go sure you don't have a lake
77,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over,no beside this no
78,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again,no but right the way over
79,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake,right over to the east again
80,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake,aye right go up to about the the level with the bottom of the lake
81,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake,level with the bottom of the lake
82,right,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright,straight north to up to the level with the bottom of the lake
83,and you want to go right round about the lake,right,no,i'm i'm going to hit the round rocks no,and then east 'til you get to the front of the lake,alright
