,response,context,context/0,context/1,context/2,context/3
0,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls,right,we're starting down at the bottom right-hand corner nearly
1,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls,right
2,my left or the paper's left towards the banana tree,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm,have you got crest falls
3,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point,mmhmm
4,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left,yeah,well directly above them maybe about three quarters of an inch above there is the start point
5,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left,yeah
6,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree,go along to the the left
7,go west,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one,my left or the paper's left towards the banana tree
8,okey-dokey,go west,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right,there's no banana tree in this one
9,until you've just got past the edge of the crest falls,okey-dokey,go west,right,uh-huh well say the top's north and,well my left yeah paper left uh-huh right
10,right,until you've just got past the edge of the crest falls,okey-dokey,go west,right,uh-huh well say the top's north and
11,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls,okey-dokey,go west,right
12,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls,okey-dokey,go west
13,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls,okey-dokey
14,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right,until you've just got past the edge of the crest falls
15,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c""",right
16,just north of the banana tree yeah,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey,"and then come down until you reach a an angle maybe just past south towards west slightly past until you reach the bottom of crest falls and a level with the ""c"" and maybe about an inch to west of the ""c"""
17,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper,mm okey-dokey
18,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge,right,right and then go due west until about two centimetres from the edge of the paper
19,and then from there go over right to the edge of the the the western side of footbridge,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge,right
20,mmhmm,and then from there go over right to the edge of the the the western side of footbridge,mmhmm,right go up north now until you're just due north until you're just below the the level of the footbridge,just north of the banana tree yeah,now do you have a footbridge
