,response,context,context/0,context/1,context/2,context/3
0,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right,right oh sorry okay,right you start at the top left
1,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right,right oh sorry okay
2,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right
3,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes
4,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them
5,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom
6,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left
7,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left
8,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs
9,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs
10,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs
11,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes
12,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle
13,right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the
14,towards the outside of the map right,right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop
15,yeah and then round the bottom of the forge which isn't there,towards the outside of the map right,right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map
16,which isn't there,yeah and then round the bottom of the forge which isn't there,towards the outside of the map right,right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs
17,but it's on on the same level as the pine tree,which isn't there,yeah and then round the bottom of the forge which isn't there,towards the outside of the map right,right so you go out towards outside of the map,i'm just below the cliffs
18,right okay,but it's on on the same level as the pine tree,which isn't there,yeah and then round the bottom of the forge which isn't there,towards the outside of the map right,right so you go out towards outside of the map
19,right and then you go up the inside of the pine tree,right okay,but it's on on the same level as the pine tree,which isn't there,yeah and then round the bottom of the forge which isn't there,towards the outside of the map right
20,the inside,right and then you go up the inside of the pine tree,right okay,but it's on on the same level as the pine tree,which isn't there,yeah and then round the bottom of the forge which isn't there
21,right not no that the left of the pine tree so the that's outside of the map,the inside,right and then you go up the inside of the pine tree,right okay,but it's on on the same level as the pine tree,which isn't there
22,to the left of the pine,right not no that the left of the pine tree so the that's outside of the map,the inside,right and then you go up the inside of the pine tree,right okay,but it's on on the same level as the pine tree
23,uh-huh,to the left of the pine,right not no that the left of the pine tree so the that's outside of the map,the inside,right and then you go up the inside of the pine tree,right okay
24,up past the pine tree,uh-huh,to the left of the pine,right not no that the left of the pine tree so the that's outside of the map,the inside,right and then you go up the inside of the pine tree
25,uh-huh,up past the pine tree,uh-huh,to the left of the pine,right not no that the left of the pine tree so the that's outside of the map,the inside
