,Speaker,Utterance,Unified
5,M,"And, uh.","M|And, uh."
6,A,Andrews?,A|Andrews?
7,M,"Uh, yeah.","M|Uh, yeah."
8,A,"Well, for the past week or two it's been cold and wet","A|Well, for the past week or two it's been cold and wet"
9,M,Uh-oh.,M|Uh-oh.
10,A,"but before that, for most of the year, it's been hot and dry.","A|but before that, for most of the year, it's been hot and dry."
11,M,"Uh, I haven't had that problem either.","M|Uh, I haven't had that problem either."
12,A,"Um, September really was, I'm not sure about October. I think for about twelve months through September the, the average temperature has been higher than normal each month. Um, lots of ninety degree days during the summer.","A|Um, September really was, I'm not sure about October. I think for about twelve months through September the, the average temperature has been higher than normal each month. Um, lots of ninety degree days during the summer."
13,M,"Uh, oh, really?","M|Uh, oh, really?"
14,A,Uh-huh.,A|Uh-huh.
15,M,We've had some really nice weather.,M|We've had some really nice weather.
16,A,Uh-huh.,A|Uh-huh.
17,M,"and it's been so hot, and, and it's just been so dry.","M|and it's been so hot, and, and it's just been so dry."
18,A,Uh-huh.,A|Uh-huh.
19,M,"we had a lot of flooding,","M|we had a lot of flooding,"
20,A,"Oh, if you had it early.","A|Oh, if you had it early."
21,M,"Yeah, it was. It was, uh","M|Yeah, it was. It was, uh"
22,A,"Yeah, I think we usually have a frost in October.","A|Yeah, I think we usually have a frost in October."
23,M,Uh-oh.,M|Uh-oh.
24,A,"Uh, but, you know. We really need the rain that we've been getting, and it has not today, but the last few days it's been, been pouring most of the day.","A|Uh, but, you know. We really need the rain that we've been getting, and it has not today, but the last few days it's been, been pouring most of the day."
25,M,"!!!% Well, I know, I, I've been in Texas for the last three years, and I know that we had, uh, a freeze down to about forty-two degrees.","M|!!!% Well, I know, I, I've been in Texas for the last three years, and I know that we had, uh, a freeze down to about forty-two degrees."
26,A,"Flooding anywhere. I have not heard of it, any problems of it flooding anywhere, I mean, that's occurred certainly at times in the past, but, uh, no, I've not heard of any particular problems this time.","A|Flooding anywhere. I have not heard of it, any problems of it flooding anywhere, I mean, that's occurred certainly at times in the past, but, uh, no, I've not heard of any particular problems this time."
27,M,"!!!;!!%!! Remind me of that happening, because I know we've had some, uh.","M|!!!;!!%!! Remind me of that happening, because I know we've had some, uh."
28,A,Yes.,A|Yes.
29,M,"and then we went out to dinner on a Saturday morning, and we had a ball.","M|and then we went out to dinner on a Saturday morning, and we had a ball."
30,A,"Yes, yeah, we had summer lasting long and then it, then it, then it became winter like, uh today it's, today it's sort of change to warmer to sort of more typical autumn day.","A|Yes, yeah, we had summer lasting long and then it, then it, then it became winter like, uh today it's, today it's sort of change to warmer to sort of more typical autumn day."
31,M,Uh-huh.,M|Uh-huh.
32,A,Yeah.,A|Yeah.
33,M,"but, uh.","M|but, uh."
34,A,"I don't know. Yeah, our leaves are, are all on, on the ground now. I think it was an especially good winter for fall colors.","A|I don't know. Yeah, our leaves are, are all on, on the ground now. I think it was an especially good winter for fall colors."
35,M,Uh-huh.,M|Uh-huh.
36,A,"Oh, yeah, yeah.","A|Oh, yeah, yeah."
37,M,"Well, that's interesting.","M|Well, that's interesting."
38,A,"Yeah, we, we did, for a time.","A|Yeah, we, we did, for a time."
39,M,Yeah.,M|Yeah.
40,A,Uh-huh.,A|Uh-huh.
41,M,"Uh,","M|Uh,"
42,A,Uh-huh.,A|Uh-huh.
43,M,"But, uh, I've never had to drive in Texas.","M|But, uh, I've never had to drive in Texas."
44,A,Been that this year for the trees for the leaves.,A|Been that this year for the trees for the leaves.
45,M,Yes.,M|Yes.
46,A,Um.,A|Um.
47,M,"And, uh, we were down in Texas, and it was about a week before Christmas, and so we were, it was, it had been probably about three weeks before Christmas we had to cut some trees down.","M|And, uh, we were down in Texas, and it was about a week before Christmas, and so we were, it was, it had been probably about three weeks before Christmas we had to cut some trees down."
48,A,"Yeah, that's because it, it can't tolerate a freeze this early. Is that right?","A|Yeah, that's because it, it can't tolerate a freeze this early. Is that right?"
49,M,Yeah it's really funny.,M|Yeah it's really funny.
50,A,If it would came later it would be all right?,A|If it would came later it would be all right?
51,M,"I don't know, I'm not really sure what the answer is.","M|I don't know, I'm not really sure what the answer is."
52,A,Um.,A|Um.
53,M,"I, I, I don't know. I,","M|I, I, I don't know. I,"
