,Speaker,Utterance,Unified
5,M,Yeah. Uh-hue.,M|Yeah. Uh-hue.
6,A,"So, it really is a different, um,","A|So, it really is a different, um,"
7,M,"Well I think that, uh you know I think, I think a lot of people are more, uh I think more concerned with their safety than with, you, talking about the safety of their kids, I mean, I'm not a, I don't know, I was raised in a Baltimore, I grew up in, uh","M|Well I think that, uh you know I think, I think a lot of people are more, uh I think more concerned with their safety than with, you, talking about the safety of their kids, I mean, I'm not a, I don't know, I was raised in a Baltimore, I grew up in, uh"
8,A,"Yeah, that's, that's right talk to, I had to talk about gun control with somebody and I talked with a woman who actually, you know, had just purchased a gun that day,  and was going target shooting, you know,","A|Yeah, that's, that's right talk to, I had to talk about gun control with somebody and I talked with a woman who actually, you know, had just purchased a gun that day,  and was going target shooting, you know,"
9,M,Right.,M|Right.
10,A,"and it was very different it was a whole,  different view. It's really, um, this has opened my eyes to thinking, you know, at one time I just sat here and thought, well, how can anybody believe that because I'd really never met people that did, and now, I talk to people that do. So that's, it's really interesting.","A|and it was very different it was a whole,  different view. It's really, um, this has opened my eyes to thinking, you know, at one time I just sat here and thought, well, how can anybody believe that because I'd really never met people that did, and now, I talk to people that do. So that's, it's really interesting."
11,M,Uh.,M|Uh.
12,A,Uh-huh.,A|Uh-huh.
13,M,"And I, I have a, a son that's a, you might say he's a sophomore in high school,","M|And I, I have a, a son that's a, you might say he's a sophomore in high school,"
14,A,Uh-huh.,A|Uh-huh.
15,M,And they're in the same school system as my daughters,M|And they're in the same school system as my daughters
16,A,Yeah.,A|Yeah.
17,M,"And I don't know, I guess I'm not for sure what the laws are anymore. I, I think they're pretty much on the books as far as guns go.","M|And I don't know, I guess I'm not for sure what the laws are anymore. I, I think they're pretty much on the books as far as guns go."
18,A,"Yeah, isn't it funny.","A|Yeah, isn't it funny."
19,M,"Uh, yeah, I mean, I'm sure a lot of people, uh, I know a lot, uh a lot more people, a lot less than I do, uh","M|Uh, yeah, I mean, I'm sure a lot of people, uh, I know a lot, uh a lot more people, a lot less than I do, uh"
20,A,Uh-huh.,A|Uh-huh.
21,M,"And, and, uh, I mean, you know, it's just, uh","M|And, and, uh, I mean, you know, it's just, uh"
22,A,Uh. Yeah.,A|Uh. Yeah.
23,M,"And, uh, I don't know, I, I think they should have, uh.","M|And, uh, I don't know, I, I think they should have, uh."
24,A,"Yeah well you can possess 'em here too but They have to be they're registered and Uh, like uh the the Brady Bill that's currently being discussed nationally and whatever is very well supported here, in gun control avenues,","A|Yeah well you can possess 'em here too but They have to be they're registered and Uh, like uh the the Brady Bill that's currently being discussed nationally and whatever is very well supported here, in gun control avenues,"
25,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
26,A,You have the seven day waiting period.,A|You have the seven day waiting period.
27,M,Right.,M|Right.
28,A,Yeah,A|Yeah
29,M,"Oh, that's, uh,","M|Oh, that's, uh,"
30,A,that's uh that's,A|that's uh that's
31,M,Uh-huh.,M|Uh-huh.
