,Speaker,Utterance,Unified
5,M,"Well, you're not going to have to worry too much about that, because, uh.","M|Well, you're not going to have to worry too much about that, because, uh."
6,A,"Some buildings do, it depends on the location. The area I live in right now, is, is real good as far as crime rate is concerned and we don't have anything at all, no burglar alarms, no guards.","A|Some buildings do, it depends on the location. The area I live in right now, is, is real good as far as crime rate is concerned and we don't have anything at all, no burglar alarms, no guards."
7,M,Um.,M|Um.
8,A,Uh-huh.,A|Uh-huh.
9,M,"But, uh.","M|But, uh."
10,A,Uh-huh.,A|Uh-huh.
11,M,"and it's just, it just seems like there's just a lot more of the, the people, more of them, you get a lot,","M|and it's just, it just seems like there's just a lot more of the, the people, more of them, you get a lot,"
12,A,Uh-huh. Um.,A|Uh-huh. Um.
13,M,"but they're still, they're trying to fill the gap.","M|but they're still, they're trying to fill the gap."
14,A,Uh-huh.,A|Uh-huh.
15,M,"So, uh.","M|So, uh."
16,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
17,M,"I mean, you know, you hear about people selling their babies to support their family, you don't hear about kids being involved in drug crimes, you mean?","M|I mean, you know, you hear about people selling their babies to support their family, you don't hear about kids being involved in drug crimes, you mean?"
18,A,"Oh, yeah, yeah.","A|Oh, yeah, yeah."
19,M,I don't think that's a good thing.,M|I don't think that's a good thing.
20,A,"Uh-huh. There's a lot of that going on in Dallas, too.","A|Uh-huh. There's a lot of that going on in Dallas, too."
21,M,"Yeah, it's, it is scary.","M|Yeah, it's, it is scary."
22,A,"Yeah, it's really sad.","A|Yeah, it's really sad."
23,M,"It is, it is.","M|It is, it is."
24,A,"Uh-huh, Uh-huh.","A|Uh-huh, Uh-huh."
25,M,"I don't, I don, I, I think that, that, uh you know I think it's important to have children.","M|I don't, I don, I, I think that, that, uh you know I think it's important to have children."
26,A,"Oh, I agree. I think that people are getting off too easy. They're getting, they're getting paroled too easily.","A|Oh, I agree. I think that people are getting off too easy. They're getting, they're getting paroled too easily."
27,M,"Well, I,","M|Well, I,"
28,A,"They're just getting, uh, put on probation or something, because the prisons don't have enough room so they get, they get lighter sentences,","A|They're just getting, uh, put on probation or something, because the prisons don't have enough room so they get, they get lighter sentences,"
29,M,"Uh-uh. Uh-uh, uh-uh","M|Uh-uh. Uh-uh, uh-uh"
30,A,"and some of those people, they don't deserve to be let loose.","A|and some of those people, they don't deserve to be let loose."
31,M,Yeah.,M|Yeah.
32,A,"Oh, yeah.","A|Oh, yeah."
33,M,"So, you could tell they had gotten away from the real world and were living in a real world, you knew.","M|So, you could tell they had gotten away from the real world and were living in a real world, you knew."
34,A,Oh my gosh.,A|Oh my gosh.
35,M,"Uh, and, uh.","M|Uh, and, uh."
36,A,Uh-huh.,A|Uh-huh.
37,M,"So, I guess, you know, you, you don't want to say, you want to, you can't say that they were in there for life, but they were certainly not for saving the country.","M|So, I guess, you know, you, you don't want to say, you want to, you can't say that they were in there for life, but they were certainly not for saving the country."
38,A,"Uh, that's terrible.","A|Uh, that's terrible."
39,M,Yeah.,M|Yeah.
40,A,Uh-huh.,A|Uh-huh.
41,M,"So, I think that's a big problem.","M|So, I think that's a big problem."
42,A,Yeah.,A|Yeah.
43,M,and I don't know what the answer is.,M|and I don't know what the answer is.
44,A,Uh-huh.,A|Uh-huh.
45,M,"and so the person that's committing the crime is going, well, I mean I think they should be punished,","M|and so the person that's committing the crime is going, well, I mean I think they should be punished,"
46,A,Yeah.,A|Yeah.
47,M,"It's like, uh, you see the same thing happen with the kids, you're like, well, you got to do something to get them to do.","M|It's like, uh, you see the same thing happen with the kids, you're like, well, you got to do something to get them to do."
48,A,"Right, it's a little more understandable under the circumstances, I guess.","A|Right, it's a little more understandable under the circumstances, I guess."
49,M,"Uh-uh. But, I, I think, I mean, you just have to take what they say at face value, you're not going to get anything out of it.","M|Uh-uh. But, I, I think, I mean, you just have to take what they say at face value, you're not going to get anything out of it."
50,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
51,M,"And I don, I don's that, that's, that would be fair, but I think the, the problem is that, um, you know, the, uh the, I, I really don't see the problem with it. I, uh","M|And I don, I don's that, that's, that would be fair, but I think the, the problem is that, um, you know, the, uh the, I, I really don't see the problem with it. I, uh"
52,A,Uh-huh.,A|Uh-huh.
53,M,"And I think, uh.","M|And I think, uh."
54,A,Uh-huh.,A|Uh-huh.
