,Speaker,Utterance,Unified
5,M,and I think that's good.,M|and I think that's good.
6,A,Uh-huh.,A|Uh-huh.
7,M,"because they're not, you know, they're more, um","M|because they're not, you know, they're more, um"
8,A,Uh-huh.,A|Uh-huh.
9,M,but the women don't.,M|but the women don't.
10,A,"You know, I, I really agree with you. Um, I, uh, though I've never done that myself, I, I'm, was a basically an education major when I graduated from college and I accepted a job that at the time was just slightly above the poverty level to teach to, um, very rural children in a very low income district and I spent a year teaching there","A|You know, I, I really agree with you. Um, I, uh, though I've never done that myself, I, I'm, was a basically an education major when I graduated from college and I accepted a job that at the time was just slightly above the poverty level to teach to, um, very rural children in a very low income district and I spent a year teaching there"
11,M,"Uh, uh-hue.","M|Uh, uh-hue."
12,A,and I think it was probably one of my largest eye-opening experiences because I come from nice middle class white suburban home,A|and I think it was probably one of my largest eye-opening experiences because I come from nice middle class white suburban home
13,M,"Uh, uh-hue.","M|Uh, uh-hue."
14,A,"and I did it, um, for one reason I wanted, I was working on a masters degree so I wanted to stay close to where I was working on a masters degree, but also because I just thought that it would be interesting to live some place else so totally different than my own up bringing","A|and I did it, um, for one reason I wanted, I was working on a masters degree so I wanted to stay close to where I was working on a masters degree, but also because I just thought that it would be interesting to live some place else so totally different than my own up bringing"
15,M,Uh.,M|Uh.
16,A,"and I, it changed, it probably changed my political views it changed my understanding of the world around me","A|and I, it changed, it probably changed my political views it changed my understanding of the world around me"
17,M,"Uh, uh-hue","M|Uh, uh-hue"
18,A,"and I think, um, in fact, if I had to do it all again I, you know, after that, you know, you never think of it because, I guess because I paid for all of my college education myself, I never thought about doing that because I had all these college loans I'd started paying back.","A|and I think, um, in fact, if I had to do it all again I, you know, after that, you know, you never think of it because, I guess because I paid for all of my college education myself, I never thought about doing that because I had all these college loans I'd started paying back."
19,M,"Uh, yeah.","M|Uh, yeah."
20,A,"Um, so that was, that was one reason why I never considered it but now that I'm further along, and I'm still paying these college loans, I, I think realistically, you know, you can have your college loans delayed now, because I had them delayed because I'm back in graduate school at thirty years old,","A|Um, so that was, that was one reason why I never considered it but now that I'm further along, and I'm still paying these college loans, I, I think realistically, you know, you can have your college loans delayed now, because I had them delayed because I'm back in graduate school at thirty years old,"
21,M,"Huh-uh. Oh, that's, that is, that would be, that'd be an ideal situation.","M|Huh-uh. Oh, that's, that is, that would be, that'd be an ideal situation."
22,A,"um, I had them delayed because I'm back in graduate school and on that form it says if your joining the Peace Corps you can have them delayed","A|um, I had them delayed because I'm back in graduate school and on that form it says if your joining the Peace Corps you can have them delayed"
23,M,"Oh, really?","M|Oh, really?"
24,A,"and I thought that was, you know, very interesting and I, I would have thought of that earlier I probably would have done, you know, just like, is that, is this, is that the Mormon church, that does that?","A|and I thought that was, you know, very interesting and I, I would have thought of that earlier I probably would have done, you know, just like, is that, is this, is that the Mormon church, that does that?"
25,M,"Uh,","M|Uh,"
26,A,"Because one of my neighbors, uh, did that in Pittsburgh, from Pittsburgh.","A|Because one of my neighbors, uh, did that in Pittsburgh, from Pittsburgh."
27,M,Uh-huh.,M|Uh-huh.
28,A,"And I thought, you know, that really, now that I'm thirty years old, I think that one or two years out of my life would have, probably like you said, to be able to travel some place else whether it be the United States or outside the country, I think it would have been a very good, um, experience for me.","A|And I thought, you know, that really, now that I'm thirty years old, I think that one or two years out of my life would have, probably like you said, to be able to travel some place else whether it be the United States or outside the country, I think it would have been a very good, um, experience for me."
29,M,Yeah.,M|Yeah.
30,A,Uh-huh.,A|Uh-huh.
