,Speaker,Utterance,Unified
5,M,"Uh, do you have a garden or,","M|Uh, do you have a garden or,"
6,A,and they put them out on a certain day of the week,A|and they put them out on a certain day of the week
7,M,Uh.,M|Uh.
8,A,"and each, uh, home does participate but we really don't have anything, uh, close in this area that, that do anything. And, and some of the communities that do, the residents are having to pay to participate in it. Which really doesn't make sense.","A|and each, uh, home does participate but we really don't have anything, uh, close in this area that, that do anything. And, and some of the communities that do, the residents are having to pay to participate in it. Which really doesn't make sense."
9,M,"Right, right.","M|Right, right."
10,A,"Yeah, that's good.","A|Yeah, that's good."
11,M,"And, uh","M|And, uh"
12,A,"Yeah, yeah. That's another thing. You have to go to different places to do that.","A|Yeah, yeah. That's another thing. You have to go to different places to do that."
13,M,Uh-huh.,M|Uh-huh.
14,A,"Uh-huh. But I heard that most homes that do participate in that are having to pay a monthly fee to do that. Which, uh, I don't know, it just doesn't make sense to me.","A|Uh-huh. But I heard that most homes that do participate in that are having to pay a monthly fee to do that. Which, uh, I don't know, it just doesn't make sense to me."
15,M,"Well, I think it's just a, it's a matter of, of people not being lazy and not paying, you, you don't want to, you want to say, well, I just didn't take the time to look and see what it was.","M|Well, I think it's just a, it's a matter of, of people not being lazy and not paying, you, you don't want to, you want to say, well, I just didn't take the time to look and see what it was."
16,A,Yeah. Yeah.,A|Yeah. Yeah.
17,M,"But, uh.","M|But, uh."
18,A,"Yeah. That's good, that's good.","A|Yeah. That's good, that's good."
19,M,"So, yeah, I guess I, I,","M|So, yeah, I guess I, I,"
20,A,Uh-huh.,A|Uh-huh.
21,M,"but they've, they've really, uh, started to cut down on that.","M|but they've, they've really, uh, started to cut down on that."
22,A,Huh. No.,A|Huh. No.
23,M,"And, and it's not like they, you know, they, it's, it doesn't, they don't really have a, a, uh, a marketing deal on it.","M|And, and it's not like they, you know, they, it's, it doesn't, they don't really have a, a, uh, a marketing deal on it."
24,A,"Oh, I didn't know that.","A|Oh, I didn't know that."
25,M,"You know, you have to have a certain weight,","M|You know, you have to have a certain weight,"
26,A,Yeah.,A|Yeah.
27,M,"And, uh.","M|And, uh."
28,A,"Uh-huh. Well, that's good. I, I'm, you know, unfortunately Garland doesn't have, doesn't, they don't, I don't know, they don't do anything like that or I, you know, I read those little slips that come in to your, utility bills or your, uh, garbage collection","A|Uh-huh. Well, that's good. I, I'm, you know, unfortunately Garland doesn't have, doesn't, they don't, I don't know, they don't do anything like that or I, you know, I read those little slips that come in to your, utility bills or your, uh, garbage collection"
29,M,"Uh,","M|Uh,"
30,A,"and they haven't, you know, talked about doing something like that","A|and they haven't, you know, talked about doing something like that"
31,M,Yeah. Yeah.,M|Yeah. Yeah.
32,A,"She lives in Garland and I'm not sure where, what she does. But she's, uh, oh she's very heavy in that and she takes her own bags to the grocery store","A|She lives in Garland and I'm not sure where, what she does. But she's, uh, oh she's very heavy in that and she takes her own bags to the grocery store"
33,M,Uh-oh.,M|Uh-oh.
34,A,"Uh, she has, I, I really don't think she has any paper products in her house.","A|Uh, she has, I, I really don't think she has any paper products in her house."
35,M,Right.,M|Right.
36,A,"Uh, and just a lot of things I've learned off of her that, to start doing. And she does make a lot of sense.","A|Uh, and just a lot of things I've learned off of her that, to start doing. And she does make a lot of sense."
37,M,"Oh, that's great.","M|Oh, that's great."
38,A,Just her whole house is like wow.,A|Just her whole house is like wow.
39,M,Huh.,M|Huh.
40,A,Yeah.,A|Yeah.
41,M,"and they say, well, you know, I, I can't say I'm sure, but she says, uh, she said she's not going to tell me.","M|and they say, well, you know, I, I can't say I'm sure, but she says, uh, she said she's not going to tell me."
42,A,Yeah.,A|Yeah.
43,M,"And you can't stop it, so.","M|And you can't stop it, so."
44,A,"Yeah. And, uh, my little boy has, watches a program that was really neat. I sat and watched him. You know the Barney? You know the little, I don't know if you know the little character Barney.","A|Yeah. And, uh, my little boy has, watches a program that was really neat. I sat and watched him. You know the Barney? You know the little, I don't know if you know the little character Barney."
45,M,Uh-huh.,M|Uh-huh.
46,A,"They had one, uh, on that kind of, type of thing and how children can, can do that and how to save water when you brush your teeth in water and it's really caught on and he's only four and he's really caught on.","A|They had one, uh, on that kind of, type of thing and how children can, can do that and how to save water when you brush your teeth in water and it's really caught on and he's only four and he's really caught on."
47,M,"Oh, boy.","M|Oh, boy."
48,A,And keep the refrigerator door closed and that kind of thing. He's really caught on so that's really neat,A|And keep the refrigerator door closed and that kind of thing. He's really caught on so that's really neat
49,M,"Oh, that is neat.","M|Oh, that is neat."
