,Speaker,Utterance,Unified
5,A,"Oh, yeah?","A|Oh, yeah?"
6,M,And I've had the three eighty-eight for about three years now.,M|And I've had the three eighty-eight for about three years now.
7,A,"What did you do, put it together?","A|What did you do, put it together?"
8,M,"I, I made a deck out of one of those.","M|I, I made a deck out of one of those."
9,A,"Well, that's, Yeah.","A|Well, that's, Yeah."
10,M,"and, uh.","M|and, uh."
11,A,Yeah. What do you use it for?,A|Yeah. What do you use it for?
12,M,"Uh, mainly I'm a data entry system user.","M|Uh, mainly I'm a data entry system user."
13,A,What do you use it for?,A|What do you use it for?
14,M,"Um, mostly just stuff for spreadsheets and data base.","M|Um, mostly just stuff for spreadsheets and data base."
15,A,"Oh, yeah? What kind of programs do you,","A|Oh, yeah? What kind of programs do you,"
16,M,I'm a production student.,M|I'm a production student.
17,A,"Okay, I mean like business programs or, Man.","A|Okay, I mean like business programs or, Man."
18,M,"Okay. I mean, I, I don't, I think that, uh.","M|Okay. I mean, I, I don't, I think that, uh."
19,A,"Uh-huh,","A|Uh-huh,"
20,M,"!!!!,!!!.!!;!!%!! Remind me of that.","M|!!!!,!!!.!!;!!%!! Remind me of that."
21,A,"Huh. Well, that's, Well, that sounds interesting. Matter of fact, uh, I guess you do, uh, you get a lot of graphics in there, I imagine, huh.","A|Huh. Well, that's, Well, that sounds interesting. Matter of fact, uh, I guess you do, uh, you get a lot of graphics in there, I imagine, huh."
22,M,"Yeah, we do.","M|Yeah, we do."
23,A,That's where the speed helps out.,A|That's where the speed helps out.
24,M,Yeah.,M|Yeah.
25,A,"Yep, that will, that will, slow you up","A|Yep, that will, that will, slow you up"
26,M,"Yeah, it's, uh.","M|Yeah, it's, uh."
27,A,"Well, I, I do, uh, uh, programming for C N C turret presses and uh, cat cam system type things","A|Well, I, I do, uh, uh, programming for C N C turret presses and uh, cat cam system type things"
28,M,"Oh, okay.","M|Oh, okay."
29,A,"and, uh, really need a faster system. Uh, I got a new line that I, I sell metal fabricating equipment, and cat cam systems, and tooling, et cetera.","A|and, uh, really need a faster system. Uh, I got a new line that I, I sell metal fabricating equipment, and cat cam systems, and tooling, et cetera."
30,M,"Oh, yeah.","M|Oh, yeah."
31,A,"Uh,","A|Uh,"
32,M,What do you do?,M|What do you do?
33,A,Who is that?,A|Who is that?
34,M,"Uh,","M|Uh,"
35,A,I've tried to do is get this outfit to give me one,A|I've tried to do is get this outfit to give me one
36,M,Yeah.,M|Yeah.
37,A,"That's how I got my other ones by selling their product for them. They not only give me a demonstrator, but the hardware as well as the software.","A|That's how I got my other ones by selling their product for them. They not only give me a demonstrator, but the hardware as well as the software."
38,M,"Oh, okay.","M|Oh, okay."
39,A,"And as they, And as they go to the next one I just keep the,","A|And as they, And as they go to the next one I just keep the,"
40,M,"Oh, yeah.","M|Oh, yeah."
41,A,that's why I have so many different levels of P C around at the moment.,A|that's why I have so many different levels of P C around at the moment.
42,M,Oh.,M|Oh.
43,A,A T S?,A|A T S?
44,M,Yeah.,M|Yeah.
45,A,And where are they at?,A|And where are they at?
46,M,"Um, it's at Skillman and Central.","M|Um, it's at Skillman and Central."
47,A,"Oh, yeah.","A|Oh, yeah."
48,M,Oh.,M|Oh.
49,A,In Richardson there.,A|In Richardson there.
50,M,"Yeah, Richardson.","M|Yeah, Richardson."
51,A,In Richardson?,A|In Richardson?
52,M,Yeah.,M|Yeah.
53,A,"I know where you mean. There is a Mobil and all that kind of uh, on that one corner, that's about Lookout there, I think, isn't it.","A|I know where you mean. There is a Mobil and all that kind of uh, on that one corner, that's about Lookout there, I think, isn't it."
54,M,Yeah.,M|Yeah.
55,A,Yeah.,A|Yeah.
56,M,"Uh, it used to be a real farm, uh, but it's now it's a residential homeowners, uh.","M|Uh, it used to be a real farm, uh, but it's now it's a residential homeowners, uh."
57,A,Yeah.,A|Yeah.
58,M,"I don't know, I, I like the, the architecture, I don't like the landscaping.","M|I don't know, I, I like the, the architecture, I don't like the landscaping."
59,A,Oh.,A|Oh.
60,M,"And, uh.","M|And, uh."
61,A,"Really? Well, that's a good deal.","A|Really? Well, that's a good deal."
62,M,"Yeah, it is.","M|Yeah, it is."
63,A,Yeah.,A|Yeah.
64,M,"And, uh.","M|And, uh."
65,A,"Uh, there is a lot, you ever go by Lucky Computer there?","A|Uh, there is a lot, you ever go by Lucky Computer there?"
66,M,Uh-huh.,M|Uh-huh.
67,A,"I used to, when I was putting shop floor computers together for guys, I'd go and get their units and put them together and go and interface the stuff with our systems.","A|I used to, when I was putting shop floor computers together for guys, I'd go and get their units and put them together and go and interface the stuff with our systems."
68,M,Yeah. Yeah.,M|Yeah. Yeah.
69,A,"Haven't been doing much of that for the last year or so. So I, I don't know where those guys are at these days. But I, ,","A|Haven't been doing much of that for the last year or so. So I, I don't know where those guys are at these days. But I, ,"
70,M,"Yeah, well, I,","M|Yeah, well, I,"
71,A,Yeah. Yeah.,A|Yeah. Yeah.
72,M,"And, uh,","M|And, uh,"
73,A,"I tell you, those prices have just, unbelievably come down.","A|I tell you, those prices have just, unbelievably come down."
74,M,"Oh, they do?","M|Oh, they do?"
75,A,Yeah.,A|Yeah.
