,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
6,A,"And the reason that they're inordinately high is because that has, to cover the costs for the indigent people who apparently don't have the money or the wherewithal to do that.","A|And the reason that they're inordinately high is because that has, to cover the costs for the indigent people who apparently don't have the money or the wherewithal to do that."
7,M,Uh-huh.,M|Uh-huh.
8,A,"It would seem to spread it out a little better if the employers who, uh, employ these people, and pay them, uh, you know, subminimum wages or whatever, were asked to share their fair burden of this too, just as my employer is.","A|It would seem to spread it out a little better if the employers who, uh, employ these people, and pay them, uh, you know, subminimum wages or whatever, were asked to share their fair burden of this too, just as my employer is."
9,M,Uh-huh.,M|Uh-huh.
10,A,"And myself, I guess.","A|And myself, I guess."
11,M,"I guess, I, I can see where that would, would probably be a problem.","M|I guess, I, I can see where that would, would probably be a problem."
12,A,"Well   well, who, who else is going to do this, then?","A|Well   well, who, who else is going to do this, then?"
13,M,"Uh, well, the, the other thing that, uh, that I worry about is, uh...","M|Uh, well, the, the other thing that, uh, that I worry about is, uh..."
14,A,"I mean, it's worked successfully in Europe.","A|I mean, it's worked successfully in Europe."
15,M,Uh-huh.,M|Uh-huh.
16,A,"I've heard all these stories about, I travel extensively and spend, uh, maybe half a year in Europe every year,","A|I've heard all these stories about, I travel extensively and spend, uh, maybe half a year in Europe every year,"
17,M,Uh.,M|Uh.
18,A,"and I find that the health care programs there, uh, are administered with, uh, at least people I talk to, with, uh, a great deal of integrity, and, uh, people don't seem to be reluctant to use them to any degree.","A|and I find that the health care programs there, uh, are administered with, uh, at least people I talk to, with, uh, a great deal of integrity, and, uh, people don't seem to be reluctant to use them to any degree."
19,M,Right.,M|Right.
20,A,"As a matter of fact, if I'm injured or have an emergency when I'm, say in Germany or France, uh, that, I'm automatically taken care of,","A|As a matter of fact, if I'm injured or have an emergency when I'm, say in Germany or France, uh, that, I'm automatically taken care of,"
21,M,Uh-huh.,M|Uh-huh.
22,A,I mean I don't even have to pay.,A|I mean I don't even have to pay.
23,M,"Wow, that's great.","M|Wow, that's great."
24,A,"Well I,  uh, uh, I know it.","A|Well I,  uh, uh, I know it."
25,M,"And, uh  I don t understand why they're not doing the testing.","M|And, uh  I don t understand why they're not doing the testing."
26,A,"I have a solution, you see. my solution, even though I'm rapidly approaching the, uh, the age when I'll qualify for Medicare and Medicaid, I, I, my mother and father both, uh, uh, well, my father's not living but my mother is,","A|I have a solution, you see. my solution, even though I'm rapidly approaching the, uh, the age when I'll qualify for Medicare and Medicaid, I, I, my mother and father both, uh, uh, well, my father's not living but my mother is,"
27,M,Uh-huh.,M|Uh-huh.
28,A,"and they are, um, of an advanced years, and when I see the money that's poured down the, down the drain on Medicare and Medicaid, I mean, the,  absolute uncontrollable situation that we find ourselves in,","A|and they are, um, of an advanced years, and when I see the money that's poured down the, down the drain on Medicare and Medicaid, I mean, the,  absolute uncontrollable situation that we find ourselves in,"
29,M,Right.,M|Right.
30,A,"and the extraordinary amounts, I know that, because those people vote, I mean, they're the ones who get out and vote, that's what's robbing a poor mother of the prenatal care. The young people aren't getting the proper care that they need, and nutrition, I think,","A|and the extraordinary amounts, I know that, because those people vote, I mean, they're the ones who get out and vote, that's what's robbing a poor mother of the prenatal care. The young people aren't getting the proper care that they need, and nutrition, I think,"
31,M,That's right.,M|That's right.
32,A,"and we're spending on these useless, many times useless and inordinately complex unnecessary tests in hospitals for older people.","A|and we're spending on these useless, many times useless and inordinately complex unnecessary tests in hospitals for older people."
33,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
34,A,"That's right, I mean, it does,  seem like we're,","A|That's right, I mean, it does,  seem like we're,"
35,M,and it's amazing.,M|and it's amazing.
36,A,"now I noticed just the other day in the paper that, that Medicare will be based, payments will be based not, uh, just on cost, but on cost effectiveness. So I","A|now I noticed just the other day in the paper that, that Medicare will be based, payments will be based not, uh, just on cost, but on cost effectiveness. So I"
37,M,"That, that's right.","M|That, that's right."
38,A,"Well, I don't know, uh, we'll see how that goes.","A|Well, I don't know, uh, we'll see how that goes."
39,M,Uh-huh.,M|Uh-huh.
40,A,"I think that was just a regulation that was up for comment, but we'll see what happens.","A|I think that was just a regulation that was up for comment, but we'll see what happens."
41,M,I don't think so.,M|I don't think so.
42,A,"Well, listen, uh, I think I've, I've exhausted my, uh, self on, at least I've blown off steam of the way I feel about it.","A|Well, listen, uh, I think I've, I've exhausted my, uh, self on, at least I've blown off steam of the way I feel about it."
43,M,Uh-huh.,M|Uh-huh.
44,A,Okay?,A|Okay?
45,M,"Well I, I, uh","M|Well I, I, uh"
46,A,See you next time. Bye.,A|See you next time. Bye.
