,Speaker,Utterance,Unified
5,M,"But, uh.","M|But, uh."
6,A,"Yeah, right. Well, I can remember are from, from my childhood were the disco days and maybe that's changed a lot. Uh the way, the way people dress","A|Yeah, right. Well, I can remember are from, from my childhood were the disco days and maybe that's changed a lot. Uh the way, the way people dress"
7,M,Yeah.,M|Yeah.
8,A,"and, uh.","A|and, uh."
9,M,!!!%!!;!! Remind me.,M|!!!%!!;!! Remind me.
10,A,More lax?,A|More lax?
11,M,"Yeah, and, uh,","M|Yeah, and, uh,"
12,A,Uh-huh.,A|Uh-huh.
13,M,"and, you know, I think that's good.","M|and, you know, I think that's good."
14,A,Maybe a people are a little more open-minded than maybe they used to be.,A|Maybe a people are a little more open-minded than maybe they used to be.
15,M,"Uh, no, I think, uh, I, I don't think there's as much of that anymore.","M|Uh, no, I think, uh, I, I don't think there's as much of that anymore."
16,A,Uh-huh.,A|Uh-huh.
17,M,"And, uh, I think that, uh I think we're going to see a lot more recycling centers where they're more organized.","M|And, uh, I think that, uh I think we're going to see a lot more recycling centers where they're more organized."
18,A,"Right. Right. Uh-huh. Especially with like a lot of the different organizations now like, you know, Pro-Life and, and uh, Choice in, in the special interest groups maybe um, like amnesty.","A|Right. Right. Uh-huh. Especially with like a lot of the different organizations now like, you know, Pro-Life and, and uh, Choice in, in the special interest groups maybe um, like amnesty."
19,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
20,A,"Uh, yeah, maybe people are a little, a little more, uh, free to express their opinions, socially free.","A|Uh, yeah, maybe people are a little, a little more, uh, free to express their opinions, socially free."
21,M,!!!%!!;!!et!! Remind me of that.,M|!!!%!!;!!et!! Remind me of that.
22,A,"Oh, yeah. Right.","A|Oh, yeah. Right."
23,M,"and,","M|and,"
24,A,Uh-huh. Uh-huh. Uh-huh. Right.,A|Uh-huh. Uh-huh. Uh-huh. Right.
25,M,"I mean, I'm not saying that women should have to go through, you know, the government run health services.","M|I mean, I'm not saying that women should have to go through, you know, the government run health services."
26,A,Right. Just wasn't socially acceptable.,A|Right. Just wasn't socially acceptable.
27,M,No.,M|No.
28,A,"Yeah. Uh, maybe, maybe too a big social change that's, that's maybe for the worst is, uh, is, is how, um, the people's, uh, views on, on relationships has changed, you know, and now we have, now we have several, you know, we have to worry about AIDS and we have to worry about, uh, maybe people are becoming more aware, more, more afraid of relationships.","A|Yeah. Uh, maybe, maybe too a big social change that's, that's maybe for the worst is, uh, is, is how, um, the people's, uh, views on, on relationships has changed, you know, and now we have, now we have several, you know, we have to worry about AIDS and we have to worry about, uh, maybe people are becoming more aware, more, more afraid of relationships."
29,M,"Uh-uh, uh-uh","M|Uh-uh, uh-uh"
30,A,Uh-huh.,A|Uh-huh.
31,M,"I mean, it was like, you, you're like, well, you don't know what you're going to do because you're not going to get, you can't get pregnant and stuff.","M|I mean, it was like, you, you're like, well, you don't know what you're going to do because you're not going to get, you can't get pregnant and stuff."
32,A,right. Yeah.,A|right. Yeah.
33,M,"!!!!,!!et!!illion!!!.!!eting!!We, we were in the same boat.","M|!!!!,!!et!!illion!!!.!!eting!!We, we were in the same boat."
34,A,Yeah.,A|Yeah.
35,M,"I mean, I think that, that maybe there are ways to, um, to, uh, to cope with the problem.","M|I mean, I think that, that maybe there are ways to, um, to, uh, to cope with the problem."
36,A,Yeah.,A|Yeah.
37,M,"But, uh, I think that, uh.","M|But, uh, I think that, uh."
38,A,Uh-huh.,A|Uh-huh.
39,M,"and so I, I was real concerned about that.","M|and so I, I was real concerned about that."
40,A,"Uh-huh. Yeah. Right. It used to be that we were, that we were trying to protect morality. Now it's we're protecting our lives. It's a it's a much different,","A|Uh-huh. Yeah. Right. It used to be that we were, that we were trying to protect morality. Now it's we're protecting our lives. It's a it's a much different,"
41,M,Yeah. I think that's true.,M|Yeah. I think that's true.
42,A,"we have, you know, you can't just, just hope for abstinence.","A|we have, you know, you can't just, just hope for abstinence."
43,M,Right.,M|Right.
44,A,Yeah.,A|Yeah.
45,M,"and I think it's, it's sad.","M|and I think it's, it's sad."
46,A,Yeah. Uh-huh. Uh-huh.,A|Yeah. Uh-huh. Uh-huh.
47,M,"And, you're right, it's, it seems like they're always trying to find out what they can do, you just can't do it.","M|And, you're right, it's, it seems like they're always trying to find out what they can do, you just can't do it."
48,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
49,M,"but, uh, they still, you know, you have to kind of be a little bit of a person to go and, and be open with everybody else.","M|but, uh, they still, you know, you have to kind of be a little bit of a person to go and, and be open with everybody else."
50,A,Uh-huh.,A|Uh-huh.
51,M,"and, uh, you know he, he talked about the war, you hear these little girls in the background, you go, what's going on, you get out of that, you're not even supposed to hear what they're talking about.","M|and, uh, you know he, he talked about the war, you hear these little girls in the background, you go, what's going on, you get out of that, you're not even supposed to hear what they're talking about."
52,A,That's right.,A|That's right.
53,M,"And I think that's what they, they look for. I think they look, I don't know, they think it's going to be a happy ending.","M|And I think that's what they, they look for. I think they look, I don't know, they think it's going to be a happy ending."
54,A,Yeah.,A|Yeah.
55,M,"But, uh, I, I don't know, I just, I find it a little bit strange that, that, uh.","M|But, uh, I, I don't know, I just, I find it a little bit strange that, that, uh."
56,A,Right.,A|Right.
57,M,"And, uh, you can't find a job now that pays that.","M|And, uh, you can't find a job now that pays that."
58,A,Uh-huh.,A|Uh-huh.
59,M,"and then I'll, you know, I'll go and I'll find out something else, you don't, you, you're just not real bright, you can't do anything about it.","M|and then I'll, you know, I'll go and I'll find out something else, you don't, you, you're just not real bright, you can't do anything about it."
60,A,"Uh-huh. Right, right. Yeah, I, I, I imagine you're right. I, I teach swim lessons a lot, and, and to see what, see what kids talk about when, uh, you know, they're, they're open about, well, you know, kids are a lot more educated now than I think that, that, like we were, uh, at that age um, about a lot of things.","A|Uh-huh. Right, right. Yeah, I, I, I imagine you're right. I, I teach swim lessons a lot, and, and to see what, see what kids talk about when, uh, you know, they're, they're open about, well, you know, kids are a lot more educated now than I think that, that, like we were, uh, at that age um, about a lot of things."
61,M,Right. Right.,M|Right. Right.
62,A,"You know, besides what, besides what they learn, uh, from, from our social environment is, uh, their education is just amazing. Kids are, kids are learning, uh, you know, their math is just, every year, uh, algebra goes down a grade, you know, and, and, uh, students learn it earlier.","A|You know, besides what, besides what they learn, uh, from, from our social environment is, uh, their education is just amazing. Kids are, kids are learning, uh, you know, their math is just, every year, uh, algebra goes down a grade, you know, and, and, uh, students learn it earlier."
63,M,!!!%!! Remind me.,M|!!!%!! Remind me.
