,Speaker,Utterance,Unified
5,M,"No, huh-uh.","M|No, huh-uh."
6,A,"Really? I guess they paired two women together on this call for a reason which is something we can think about later but, um, I understand a little bit about the Texas Rangers. I know George Bush threw out the first pitch hitter bounced off the ground and that, um, yeah , I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system, and, uh, the radio's kind of cruel, I mean, think, the, he, this chain that must have been on President Bush to bounce the first pitch off the ground, I mean, how humiliating for a man to do that, any man. I don't care if you're President.","A|Really? I guess they paired two women together on this call for a reason which is something we can think about later but, um, I understand a little bit about the Texas Rangers. I know George Bush threw out the first pitch hitter bounced off the ground and that, um, yeah , I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system, and, uh, the radio's kind of cruel, I mean, think, the, he, this chain that must have been on President Bush to bounce the first pitch off the ground, I mean, how humiliating for a man to do that, any man. I don't care if you're President."
7,M,Oh.,M|Oh.
8,A,"I know but he's a man come on, men know how to do that, right?","A|I know but he's a man come on, men know how to do that, right?"
9,M,Yeah.,M|Yeah.
10,A,"I know so, I felt kind of sorry for him. that must have been hard on him because he's just a person but, um, I never , a major owner of our of the team here.","A|I know so, I felt kind of sorry for him. that must have been hard on him because he's just a person but, um, I never , a major owner of our of the team here."
11,M,Right.,M|Right.
12,A,"Yeah, he's like, I thought he was the owner but it turns out my Mom said that he's part owner but he must own the biggest chunk because that's all you hear about is, if, you know, about Neal Bush I think is his name.","A|Yeah, he's like, I thought he was the owner but it turns out my Mom said that he's part owner but he must own the biggest chunk because that's all you hear about is, if, you know, about Neal Bush I think is his name."
13,M,Uh-huh.,M|Uh-huh.
14,A,"See, I even know his name because he's on the news a lot, and I never had to watch the news not, you know, not like some people hour and a half a day or anything.","A|See, I even know his name because he's on the news a lot, and I never had to watch the news not, you know, not like some people hour and a half a day or anything."
15,M,Right.,M|Right.
16,A,Uh-huh.,A|Uh-huh.
17,M,"And, uh.","M|And, uh."
18,A,"Oh, I saw that.","A|Oh, I saw that."
19,M,"And, uh.","M|And, uh."
20,A,Yeah.,A|Yeah.
21,M,"he, he said he saw it in a little classroom at high school, and he said that it was a private school.","M|he, he said he saw it in a little classroom at high school, and he said that it was a private school."
22,A,"I want to see your driver's I, I, I don't,","A|I want to see your driver's I, I, I don't,"
23,M,"Uh, well, he's been in the, uh, in the in the forties,","M|Uh, well, he's been in the, uh, in the in the forties,"
24,A,"you're not President Bush. I know and he said yeah, it does so fast , I heard it on the radio. I heard the audio portion on the radio in the car but I didn't see it but,","A|you're not President Bush. I know and he said yeah, it does so fast , I heard it on the radio. I heard the audio portion on the radio in the car but I didn't see it but,"
25,M,"Yeah, it's, uh,","M|Yeah, it's, uh,"
26,A,"That's about my extent of, um, about baseball, I don't know, that much about it.","A|That's about my extent of, um, about baseball, I don't know, that much about it."
27,M,"Yeah, I'm trying to think, I guess I'm not really, um","M|Yeah, I'm trying to think, I guess I'm not really, um"
28,A,Uh-huh.,A|Uh-huh.
29,M,and they got out of the bottom and went in first and they went in two days later.,M|and they got out of the bottom and went in first and they went in two days later.
30,A,Uh-huh.,A|Uh-huh.
31,M,"but he pitched for the Indians, so.","M|but he pitched for the Indians, so."
32,A,Did they?,A|Did they?
33,M,They won in a squeaker.,M|They won in a squeaker.
34,A,Uh-huh.,A|Uh-huh.
35,M,"and, uh, I was just sitting there with, with absolutely no idea, I, I mean, I didn't even know who won the pennant last year.","M|and, uh, I was just sitting there with, with absolutely no idea, I, I mean, I didn't even know who won the pennant last year."
36,A,That's so stupid that you all have two teams.,A|That's so stupid that you all have two teams.
37,M,"Well, they're, they've only been doing it for a couple of years.","M|Well, they're, they've only been doing it for a couple of years."
38,A,That's really stupid.,A|That's really stupid.
39,M,"I mean, they're, they've got two, two great big cities. Chicago and Pittsburgh.","M|I mean, they're, they've got two, two great big cities. Chicago and Pittsburgh."
40,A,"Yeah, I know.","A|Yeah, I know."
41,M,"But, uh, you know, I don't know, you, you get in a, a heated argument over it, and you get into a, you go down to the store and buy a pair of those and you, and then you look at the price of them and you say, well, you can get, you got two hundred dollars for them","M|But, uh, you know, I don't know, you, you get in a, a heated argument over it, and you get into a, you go down to the store and buy a pair of those and you, and then you look at the price of them and you say, well, you can get, you got two hundred dollars for them"
42,A,Yeah.,A|Yeah.
43,M,"so, I don't know, it's, it seems like it's always been the New Orleans Giants, you,","M|so, I don't know, it's, it seems like it's always been the New Orleans Giants, you,"
44,A,"The Texas Rangers, they, they lost, I think.","A|The Texas Rangers, they, they lost, I think."
45,M,"Yeah, they did.","M|Yeah, they did."
46,A,"But I know that last year we did go to a baseball game last year. We got free tickets because someone at our church, one of the deacons at church, um, parks cars at The Mansion at Turtle Creek which is like one of the, uh, the places and stuff.","A|But I know that last year we did go to a baseball game last year. We got free tickets because someone at our church, one of the deacons at church, um, parks cars at The Mansion at Turtle Creek which is like one of the, uh, the places and stuff."
47,M,"Oh, yeah.","M|Oh, yeah."
48,A,"And he's their head chauffeur, is this funny, as they're parking the cars the valet service.","A|And he's their head chauffeur, is this funny, as they're parking the cars the valet service."
49,M,"Yeah, that's funny.","M|Yeah, that's funny."
50,A,"Yeah, he makes good money too doing that, you'd be I was shocked, but anyway, someone gave an Iranian a tip of four Rangers tickets last year,","A|Yeah, he makes good money too doing that, you'd be I was shocked, but anyway, someone gave an Iranian a tip of four Rangers tickets last year,"
51,M,Yeah.,M|Yeah.
52,A,"and then the Iranian couldn't, he didn't want them, so he gave them to Alan, and Alan and his Dad had plans that night so they gave them to us, so he decided that some wealthy man tipped this Iranian, with baseball tickets,","A|and then the Iranian couldn't, he didn't want them, so he gave them to Alan, and Alan and his Dad had plans that night so they gave them to us, so he decided that some wealthy man tipped this Iranian, with baseball tickets,"
53,M,Yeah.,M|Yeah.
54,A,"and we ended up with them, right. And so we were, walking up","A|and we ended up with them, right. And so we were, walking up"
55,M,"I don't know, uh, I don't think I've ever actually seen a baseball game advertised anywhere in the Dallas area.","M|I don't know, uh, I don't think I've ever actually seen a baseball game advertised anywhere in the Dallas area."
56,A,"and I looked at my husband and I said, you know what Kyle this is The Mansion at Turtle Creek a tip I bet these are really good seats and so we ended up on first base right down there on the floor,","A|and I looked at my husband and I said, you know what Kyle this is The Mansion at Turtle Creek a tip I bet these are really good seats and so we ended up on first base right down there on the floor,"
57,M,"Oh, that's good.","M|Oh, that's good."
58,A,"oh, yeah, we they called us at five and the game started at seven so we just threw everything together, ran over and got the tickets and walked and so we took two kids with us and nobody brings two children in these seats, you know because,","A|oh, yeah, we they called us at five and the game started at seven so we just threw everything together, ran over and got the tickets and walked and so we took two kids with us and nobody brings two children in these seats, you know because,"
59,M,That's great.,M|That's great.
60,A,"yeah, and you just sit down and all the girls were all dressed up you know, I just was there, you know, like I'm loaded, I'm here, you know, and, uh, it was just kind of funny because, you know, but we got to sit by first base if they did hit a ball I would have been afraid it would have knocked my face in, you know.","A|yeah, and you just sit down and all the girls were all dressed up you know, I just was there, you know, like I'm loaded, I'm here, you know, and, uh, it was just kind of funny because, you know, but we got to sit by first base if they did hit a ball I would have been afraid it would have knocked my face in, you know."
61,M,Yeah.,M|Yeah.
62,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
63,M,"but, I don't know, we're going to have a ball this year.","M|but, I don't know, we're going to have a ball this year."
64,A,Really?,A|Really?
65,M,"Yeah, I mean there's not a whole lot.","M|Yeah, I mean there's not a whole lot."
66,A,I'm glad my husband's not like that.,A|I'm glad my husband's not like that.
67,M,Yeah.,M|Yeah.
68,A,Uh-huh.,A|Uh-huh.
69,M,"so he goes out and plays and that kind of stuff, but, uh, it's just not something I want to do, you know, like I said,","M|so he goes out and plays and that kind of stuff, but, uh, it's just not something I want to do, you know, like I said,"
70,A,Uh-huh.,A|Uh-huh.
71,M,"So we went to a baseball, and I'm not really a big baseball fan","M|So we went to a baseball, and I'm not really a big baseball fan"
72,A,That's funny.,A|That's funny.
