,Speaker,Utterance,Unified
5,M,"Oh, really?","M|Oh, really?"
6,A,"And, of course, they don't have that here in Texas so, there's ...","A|And, of course, they don't have that here in Texas so, there's ..."
7,M,"Well, that's true. I have a friend who lives in Dallas and she says that there's, there, there are a lot of smog problems,","M|Well, that's true. I have a friend who lives in Dallas and she says that there's, there, there are a lot of smog problems,"
8,A,"No, not in, not in well not in Dallas, that is.","A|No, not in, not in well not in Dallas, that is."
9,M,"Well, they do have, uh the, the, they have a couple of areas where you can go to and, and you can, uh uh, uh, mulch and things like that.","M|Well, they do have, uh the, the, they have a couple of areas where you can go to and, and you can, uh uh, uh, mulch and things like that."
10,A,Yeah. We're going there tomorrow.,A|Yeah. We're going there tomorrow.
11,M,Okay.,M|Okay.
12,A,Uh-huh We're  packing and getting ready to go to .,A|Uh-huh We're  packing and getting ready to go to .
13,M,"Oh. Well, we're,  going to have to go again.","M|Oh. Well, we're,  going to have to go again."
14,A,Uh-huh.,A|Uh-huh.
15,M,"And, uh, I grew up in New York,","M|And, uh, I grew up in New York,"
16,A,"Yeah. Oh, okay. Yeah, you do then.","A|Yeah. Oh, okay. Yeah, you do then."
17,M,"But, uh, I've lived here all my life.","M|But, uh, I've lived here all my life."
18,A,Is it really?,A|Is it really?
19,M,"Yeah, it is.","M|Yeah, it is."
20,A,I would not imagine that.,A|I would not imagine that.
21,M,Yeah.,M|Yeah.
22,A,Huh.,A|Huh.
23,M,"You know, that's, that is one of the worst I have ever seen.","M|You know, that's, that is one of the worst I have ever seen."
24,A,Huh. You learn  something every day.,A|Huh. You learn  something every day.
25,M,Yeah.,M|Yeah.
26,A,"Uh-huh. Yeah, I've seen that.","A|Uh-huh. Yeah, I've seen that."
27,M,"And, uh.","M|And, uh."
28,A,Huh.,A|Huh.
29,M,"And, uh  it's really, really bad.","M|And, uh  it's really, really bad."
30,A,Huh-uh.,A|Huh-uh.
31,M,I don't know.,M|I don't know.
32,A,Huh. No,A|Huh. No
33,M,"Huh, I don't know.","M|Huh, I don't know."
34,A,"Oh, yeah Yeah.","A|Oh, yeah Yeah."
35,M,"and, uh, we have a lot, a lot more cow manure in our area than we do in the north","M|and, uh, we have a lot, a lot more cow manure in our area than we do in the north"
36,A,Uh-huh.,A|Uh-huh.
37,M,"They have, uh, a lot more vegetable to them.","M|They have, uh, a lot more vegetable to them."
38,A,"Yeah, that's true.","A|Yeah, that's true."
39,M,"But, uh.","M|But, uh."
40,A,"Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?","A|Right. Huh. And, of course, I doubt if there's any, you can buy regular anymore. You buy unleaded. Right?"
