,Speaker,Utterance,Unified
5,M,"Oh, no.","M|Oh, no."
6,A,"So if they would come up, curbside recycling,","A|So if they would come up, curbside recycling,"
7,M,"Yeah, that's true.","M|Yeah, that's true."
8,A,"Well, now have they moved them behind Wal-Mart?","A|Well, now have they moved them behind Wal-Mart?"
9,M,"Yeah, they, they have, they've moved them, I think they moved the other one, um, to a different place, and, uh, they're trying to, to put some recycling there, and it's just, uh.","M|Yeah, they, they have, they've moved them, I think they moved the other one, um, to a different place, and, uh, they're trying to, to put some recycling there, and it's just, uh."
10,A,"Oh, God.","A|Oh, God."
11,M,"They're, they're really trying to, trying to start that trend.","M|They're, they're really trying to, trying to start that trend."
12,A,"Oh. That's really nice to know, because we were doing the same thing. Because to take it to a Metco , you have to take it when they're open, you know, which is always a real pain.","A|Oh. That's really nice to know, because we were doing the same thing. Because to take it to a Metco , you have to take it when they're open, you know, which is always a real pain."
13,M,"Yeah, we've, I've had to stop and think about that because, um, I don't know, it's just, I just, it, it seems ridiculous.","M|Yeah, we've, I've had to stop and think about that because, um, I don't know, it's just, I just, it, it seems ridiculous."
14,A,"And so when that thing came up in Wal-Mart parking lot, we thought, oh, this is great. And we started taking them up there. And then, all the sudden, it disappeared, you know I didn't know. And we're going, oh, no, there goes our recycling place.","A|And so when that thing came up in Wal-Mart parking lot, we thought, oh, this is great. And we started taking them up there. And then, all the sudden, it disappeared, you know I didn't know. And we're going, oh, no, there goes our recycling place."
15,M,Yeah.,M|Yeah.
16,A,"That's really nice to find out that it's behind there Well, we pretty much do, um, plastic milk cartons and, um, um, um, newspapers. I couldn't even think of what you call them.","A|That's really nice to find out that it's behind there Well, we pretty much do, um, plastic milk cartons and, um, um, um, newspapers. I couldn't even think of what you call them."
17,M,"Oh, really?","M|Oh, really?"
18,A,"Plastic milk cartons, newspapers and cans, and glass, I guess, is the four, is really the four things that we do.","A|Plastic milk cartons, newspapers and cans, and glass, I guess, is the four, is really the four things that we do."
19,M,Uh-huh.,M|Uh-huh.
20,A,Yeah. Yeah.,A|Yeah. Yeah.
21,M,I guess we've got to wait a little bit.,M|I guess we've got to wait a little bit.
22,A,"And really, that's about, that's really about it. Is there anything, any place else that really takes anything other than that, that you know of?","A|And really, that's about, that's really about it. Is there anything, any place else that really takes anything other than that, that you know of?"
23,M,"Uh, we, uh, we have, uh.","M|Uh, we, uh, we have, uh."
24,A,"Oh, really.","A|Oh, really."
25,M,Uh-huh.,M|Uh-huh.
26,A,I know.,A|I know.
27,M,so.,M|so.
28,A,"I know. I know. We're kind of the same way. You know, at first, you know, you, at first it was a real, it was a real hassle, and I'm wondering are we really going to do this, but you kind of get, I guess, into a little routine, you know, where it becomes, is automatic, now, to throw, different things in different places,","A|I know. I know. We're kind of the same way. You know, at first, you know, you, at first it was a real, it was a real hassle, and I'm wondering are we really going to do this, but you kind of get, I guess, into a little routine, you know, where it becomes, is automatic, now, to throw, different things in different places,"
29,M,Uh-huh.,M|Uh-huh.
30,A,"you know. So I just go, you know, we have a pretty good size pantry in our kitchen and I've just got three trash cans sitting in there, you know, we just kind of dump things in each one, if, you know, if we get them,","A|you know. So I just go, you know, we have a pretty good size pantry in our kitchen and I've just got three trash cans sitting in there, you know, we just kind of dump things in each one, if, you know, if we get them,"
31,M,Uh-huh.,M|Uh-huh.
32,A,so.,A|so.
33,M,"Well, I think that's really important.","M|Well, I think that's really important."
34,A,"Oh, they do, too. And they're impossible to crush. I mean, you can't get the down to any size, you know. If you get four milk cartons and that fills up trash bag, you know pretty easily, so. You know,","A|Oh, they do, too. And they're impossible to crush. I mean, you can't get the down to any size, you know. If you get four milk cartons and that fills up trash bag, you know pretty easily, so. You know,"
35,M,"Well, I don't know.","M|Well, I don't know."
36,A,"Oh, really.","A|Oh, really."
37,M,"Yeah, and I, and, and it's, it's been a real problem for me.","M|Yeah, and I, and, and it's, it's been a real problem for me."
38,A,Yeah. Yeah.,A|Yeah. Yeah.
39,M,"And, uh, they were real convenient and, uh.","M|And, uh, they were real convenient and, uh."
40,A,"Oh, that will be good.","A|Oh, that will be good."
41,M,so.,M|so.
42,A,Sure. Let somebody get something out of it.,A|Sure. Let somebody get something out of it.
43,M,"Yeah, yeah, it's a real good idea.","M|Yeah, yeah, it's a real good idea."
44,A,Yeah,A|Yeah
45,M,"I mean, that's just, that, that just isn't right.","M|I mean, that's just, that, that just isn't right."
46,A,"Ha-ha Well, I was kind of hoping with, you know, do you work for T I?","A|Ha-ha Well, I was kind of hoping with, you know, do you work for T I?"
47,M,"Yeah, I do.","M|Yeah, I do."
48,A,"No. Yeah. There was a, T I has got this organization called T A D which is T I'ers Against Drugs. And, you know, we're recycling aluminum cans up here and, uh, just what you would buy out of the machines and drink here and there was crushers out in all of the hallways you know, and that's, they use the money from that to fund this T I'ers Against Drugs Program. It's, you know, T I doesn't give them any money, all, everything is made from that. And they had talked about having a thing like, one Saturday a month, you could come and drop your aluminum cans off from home, you know,","A|No. Yeah. There was a, T I has got this organization called T A D which is T I'ers Against Drugs. And, you know, we're recycling aluminum cans up here and, uh, just what you would buy out of the machines and drink here and there was crushers out in all of the hallways you know, and that's, they use the money from that to fund this T I'ers Against Drugs Program. It's, you know, T I doesn't give them any money, all, everything is made from that. And they had talked about having a thing like, one Saturday a month, you could come and drop your aluminum cans off from home, you know,"
49,M,Yeah.,M|Yeah.
50,A,"And I'm kind of like, yeah. I shall, they would do that because at least somebody was getting the money out of it, you know. That was going to use it for good, so,","A|And I'm kind of like, yeah. I shall, they would do that because at least somebody was getting the money out of it, you know. That was going to use it for good, so,"
51,M,"Well, I think that's a great idea.","M|Well, I think that's a great idea."
52,A,Sounds like you have a little one just like I do,A|Sounds like you have a little one just like I do
53,M,"Yeah, I do.","M|Yeah, I do."
54,A,Yeah. Mine was two in December,A|Yeah. Mine was two in December
55,M,"Oh, my goodness.","M|Oh, my goodness."
56,A,"Well, it was good to talk to you.","A|Well, it was good to talk to you."
57,M,It was good talking to you too.,M|It was good talking to you too.
58,A,"Oh, do they really. Curbside pick up?","A|Oh, do they really. Curbside pick up?"
59,M,"Oh yeah, and, uh, it's, it, it is really weird. They have, uh a little bit of a strangler down there.","M|Oh yeah, and, uh, it's, it, it is really weird. They have, uh a little bit of a strangler down there."
60,A,I really hope they do that in Louisville. It would make it a lot easier on all of us. Talk to you later.,A|I really hope they do that in Louisville. It would make it a lot easier on all of us. Talk to you later.
61,M,All righty.,M|All righty.
62,A,Bye-bye.,A|Bye-bye.
